Date,Close,Index
2015-11-09,17003.0,NIFTY BANK
2015-11-10,16836.0,NIFTY BANK
2015-11-11,16956.0,NIFTY BANK
2015-11-13,16933.0,NIFTY BANK
2015-11-16,17185.0,NIFTY BANK
2015-11-17,17140.0,NIFTY BANK
2015-11-18,16812.0,NIFTY BANK
2015-11-19,17072.0,NIFTY BANK
2015-11-20,17056.0,NIFTY BANK
2015-11-23,17060.0,NIFTY BANK
2015-11-24,16989.0,NIFTY BANK
2015-11-26,17037.0,NIFTY BANK
2015-11-27,17371.0,NIFTY BANK
2015-11-30,17430.0,NIFTY BANK
2015-12-01,17399.0,NIFTY BANK
2015-12-02,17218.0,NIFTY BANK
2015-12-03,17110.0,NIFTY BANK
2015-12-04,16897.0,NIFTY BANK
2015-12-07,16947.0,NIFTY BANK
2015-12-08,16801.0,NIFTY BANK
2015-12-09,16661.0,NIFTY BANK
2015-12-10,16711.0,NIFTY BANK
2015-12-11,16342.0,NIFTY BANK
2015-12-14,16351.0,NIFTY BANK
2015-12-15,16399.0,NIFTY BANK
2015-12-16,16579.0,NIFTY BANK
2015-12-17,16742.0,NIFTY BANK
2015-12-18,16594.0,NIFTY BANK
2015-12-21,16825.0,NIFTY BANK
2015-12-22,16749.0,NIFTY BANK
2015-12-23,16882.0,NIFTY BANK
2015-12-24,16811.0,NIFTY BANK
2015-12-28,16979.0,NIFTY BANK
2015-12-29,16991.0,NIFTY BANK
2015-12-30,16918.0,NIFTY BANK
2015-12-31,16922.0,NIFTY BANK
2016-01-01,17039.0,NIFTY BANK
2016-01-04,16599.0,NIFTY BANK
2016-01-05,16542.0,NIFTY BANK
2016-01-06,16433.0,NIFTY BANK
2016-01-07,16074.0,NIFTY BANK
2016-01-08,16143.0,NIFTY BANK
2016-01-11,16016.0,NIFTY BANK
2016-01-12,15735.0,NIFTY BANK
2016-01-13,15872.0,NIFTY BANK
2016-01-14,15610.0,NIFTY BANK
2016-01-15,15206.0,NIFTY BANK
2016-01-18,15021.0,NIFTY BANK
2016-01-19,15270.0,NIFTY BANK
2016-01-20,14936.0,NIFTY BANK
2016-01-21,15101.0,NIFTY BANK
2016-01-22,15498.0,NIFTY BANK
2016-01-25,15561.0,NIFTY BANK
2016-01-27,15535.0,NIFTY BANK
2016-01-28,15381.0,NIFTY BANK
2016-01-29,15522.0,NIFTY BANK
2016-02-01,15314.0,NIFTY BANK
2016-02-02,15068.0,NIFTY BANK
2016-02-03,14834.0,NIFTY BANK
2016-02-04,14869.0,NIFTY BANK
2016-02-05,15162.0,NIFTY BANK
2016-02-08,15047.0,NIFTY BANK
2016-02-09,14875.0,NIFTY BANK
2016-02-10,14588.0,NIFTY BANK
2016-02-11,14029.0,NIFTY BANK
2016-02-12,13972.0,NIFTY BANK
2016-02-15,14445.0,NIFTY BANK
2016-02-16,14166.0,NIFTY BANK
2016-02-17,14120.0,NIFTY BANK
2016-02-18,14298.0,NIFTY BANK
2016-02-19,14344.0,NIFTY BANK
2016-02-22,14385.0,NIFTY BANK
2016-02-23,14008.0,NIFTY BANK
2016-02-24,13794.0,NIFTY BANK
2016-02-25,13556.0,NIFTY BANK
2016-02-26,13791.0,NIFTY BANK
2016-02-29,13946.0,NIFTY BANK
2016-03-01,14413.0,NIFTY BANK
2016-03-02,15092.0,NIFTY BANK
2016-03-03,15178.0,NIFTY BANK
2016-03-04,15339.0,NIFTY BANK
2016-03-08,15146.0,NIFTY BANK
2016-03-09,15279.0,NIFTY BANK
2016-03-10,15181.0,NIFTY BANK
2016-03-11,15168.0,NIFTY BANK
2016-03-14,15278.0,NIFTY BANK
2016-03-15,15327.0,NIFTY BANK
2016-03-16,15462.0,NIFTY BANK
2016-03-17,15444.0,NIFTY BANK
2016-03-18,15655.0,NIFTY BANK
2016-03-21,15926.0,NIFTY BANK
2016-03-22,15936.0,NIFTY BANK
2016-03-23,15888.0,NIFTY BANK
2016-03-28,15605.0,NIFTY BANK
2016-03-29,15666.0,NIFTY BANK
2016-03-30,16135.0,NIFTY BANK
2016-03-31,16142.0,NIFTY BANK
2016-04-01,16175.0,NIFTY BANK
2016-04-04,16191.0,NIFTY BANK
2016-04-05,15695.0,NIFTY BANK
2016-04-06,15637.0,NIFTY BANK
2016-04-07,15531.0,NIFTY BANK
2016-04-08,15568.0,NIFTY BANK
2016-04-11,15818.0,NIFTY BANK
2016-04-12,15880.0,NIFTY BANK
2016-04-13,16279.0,NIFTY BANK
2016-04-18,16223.0,NIFTY BANK
2016-04-20,16350.0,NIFTY BANK
2016-04-21,16637.0,NIFTY BANK
2016-04-22,16703.0,NIFTY BANK
2016-04-25,16679.0,NIFTY BANK
2016-04-26,17003.0,NIFTY BANK
2016-04-27,16873.0,NIFTY BANK
2016-04-28,16717.0,NIFTY BANK
2016-04-29,16795.0,NIFTY BANK
2016-05-02,16543.0,NIFTY BANK
2016-05-03,16389.0,NIFTY BANK
2016-05-04,16274.0,NIFTY BANK
2016-05-05,16281.0,NIFTY BANK
2016-05-06,16297.0,NIFTY BANK
2016-05-09,16686.0,NIFTY BANK
2016-05-10,16785.0,NIFTY BANK
2016-05-11,16754.0,NIFTY BANK
2016-05-12,16924.0,NIFTY BANK
2016-05-13,16717.0,NIFTY BANK
2016-05-16,16738.0,NIFTY BANK
2016-05-17,16763.0,NIFTY BANK
2016-05-18,16729.0,NIFTY BANK
2016-05-19,16565.0,NIFTY BANK
2016-05-20,16481.0,NIFTY BANK
2016-05-23,16408.0,NIFTY BANK
2016-05-24,16457.0,NIFTY BANK
2016-05-25,16997.0,NIFTY BANK
2016-05-26,17359.0,NIFTY BANK
2016-05-27,17512.0,NIFTY BANK
2016-05-30,17521.0,NIFTY BANK
2016-05-31,17621.0,NIFTY BANK
2016-06-01,17423.0,NIFTY BANK
2016-06-02,17568.0,NIFTY BANK
2016-06-03,17681.0,NIFTY BANK
2016-06-06,17671.0,NIFTY BANK
2016-06-07,17948.0,NIFTY BANK
2016-06-08,17947.0,NIFTY BANK
2016-06-09,17888.0,NIFTY BANK
2016-06-10,17829.0,NIFTY BANK
2016-06-13,17594.0,NIFTY BANK
2016-06-14,17672.0,NIFTY BANK
2016-06-15,17918.0,NIFTY BANK
2016-06-16,17671.0,NIFTY BANK
2016-06-17,17696.0,NIFTY BANK
2016-06-20,17719.0,NIFTY BANK
2016-06-21,17619.0,NIFTY BANK
2016-06-22,17626.0,NIFTY BANK
2016-06-23,17892.0,NIFTY BANK
2016-06-24,17426.0,NIFTY BANK
2016-06-27,17515.0,NIFTY BANK
2016-06-28,17562.0,NIFTY BANK
2016-06-29,17690.0,NIFTY BANK
2016-06-30,17935.0,NIFTY BANK
2016-07-01,17986.0,NIFTY BANK
2016-07-04,18098.0,NIFTY BANK
2016-07-05,18004.0,NIFTY BANK
2016-07-07,18085.0,NIFTY BANK
2016-07-08,18016.0,NIFTY BANK
2016-07-11,18391.0,NIFTY BANK
2016-07-12,18668.0,NIFTY BANK
2016-07-13,18619.0,NIFTY BANK
2016-07-14,18864.0,NIFTY BANK
2016-07-15,18954.0,NIFTY BANK
2016-07-18,18923.0,NIFTY BANK
2016-07-19,18905.0,NIFTY BANK
2016-07-20,18968.0,NIFTY BANK
2016-07-21,18674.0,NIFTY BANK
2016-07-22,18690.0,NIFTY BANK
2016-07-25,18990.0,NIFTY BANK
2016-07-26,18861.0,NIFTY BANK
2016-07-27,19022.0,NIFTY BANK
2016-07-28,19077.0,NIFTY BANK
2016-07-29,18953.0,NIFTY BANK
2016-08-01,18741.0,NIFTY BANK
2016-08-02,18708.0,NIFTY BANK
2016-08-03,18602.0,NIFTY BANK
2016-08-04,18572.0,NIFTY BANK
2016-08-05,18926.0,NIFTY BANK
2016-08-08,18939.0,NIFTY BANK
2016-08-09,18933.0,NIFTY BANK
2016-08-10,18648.0,NIFTY BANK
2016-08-11,18640.0,NIFTY BANK
2016-08-12,18964.0,NIFTY BANK
2016-08-16,19002.0,NIFTY BANK
2016-08-17,19041.0,NIFTY BANK
2016-08-18,19353.0,NIFTY BANK
2016-08-19,19415.0,NIFTY BANK
2016-08-22,19330.0,NIFTY BANK
2016-08-23,19342.0,NIFTY BANK
2016-08-24,19356.0,NIFTY BANK
2016-08-25,19304.0,NIFTY BANK
2016-08-26,19196.0,NIFTY BANK
2016-08-29,19217.0,NIFTY BANK
2016-08-30,19532.0,NIFTY BANK
2016-08-31,19788.0,NIFTY BANK
2016-09-01,19789.0,NIFTY BANK
2016-09-02,19883.0,NIFTY BANK
2016-09-06,20426.0,NIFTY BANK
2016-09-07,20407.0,NIFTY BANK
2016-09-08,20417.0,NIFTY BANK
2016-09-09,20245.0,NIFTY BANK
2016-09-12,19791.0,NIFTY BANK
2016-09-14,19909.0,NIFTY BANK
2016-09-15,19838.0,NIFTY BANK
2016-09-16,19855.0,NIFTY BANK
2016-09-19,19907.0,NIFTY BANK
