Date,Close,Index
2015-11-09,2374.0,NIFTY COMMODITIES
2015-11-10,2304.0,NIFTY COMMODITIES
2015-11-11,2319.0,NIFTY COMMODITIES
2015-11-13,2310.0,NIFTY COMMODITIES
2015-11-16,2316.0,NIFTY COMMODITIES
2015-11-17,2322.0,NIFTY COMMODITIES
2015-11-18,2307.0,NIFTY COMMODITIES
2015-11-19,2334.0,NIFTY COMMODITIES
2015-11-20,2350.0,NIFTY COMMODITIES
2015-11-23,2338.0,NIFTY COMMODITIES
2015-11-24,2343.0,NIFTY COMMODITIES
2015-11-26,2363.0,NIFTY COMMODITIES
2015-11-27,2365.0,NIFTY COMMODITIES
2015-11-30,2355.0,NIFTY COMMODITIES
2015-12-01,2395.0,NIFTY COMMODITIES
2015-12-02,2401.0,NIFTY COMMODITIES
2015-12-03,2381.0,NIFTY COMMODITIES
2015-12-04,2362.0,NIFTY COMMODITIES
2015-12-07,2354.0,NIFTY COMMODITIES
2015-12-08,2309.0,NIFTY COMMODITIES
2015-12-09,2259.0,NIFTY COMMODITIES
2015-12-10,2295.0,NIFTY COMMODITIES
2015-12-11,2280.0,NIFTY COMMODITIES
2015-12-14,2300.0,NIFTY COMMODITIES
2015-12-15,2313.0,NIFTY COMMODITIES
2015-12-16,2338.0,NIFTY COMMODITIES
2015-12-17,2371.0,NIFTY COMMODITIES
2015-12-18,2352.0,NIFTY COMMODITIES
2015-12-21,2373.0,NIFTY COMMODITIES
2015-12-22,2366.0,NIFTY COMMODITIES
2015-12-23,2397.0,NIFTY COMMODITIES
2015-12-24,2406.0,NIFTY COMMODITIES
2015-12-28,2416.0,NIFTY COMMODITIES
2015-12-29,2420.0,NIFTY COMMODITIES
2015-12-30,2414.0,NIFTY COMMODITIES
2015-12-31,2432.0,NIFTY COMMODITIES
2016-01-01,2449.0,NIFTY COMMODITIES
2016-01-04,2415.0,NIFTY COMMODITIES
2016-01-05,2444.0,NIFTY COMMODITIES
2016-01-06,2442.0,NIFTY COMMODITIES
2016-01-07,2363.0,NIFTY COMMODITIES
2016-01-08,2389.0,NIFTY COMMODITIES
2016-01-11,2383.0,NIFTY COMMODITIES
2016-01-12,2363.0,NIFTY COMMODITIES
2016-01-13,2363.0,NIFTY COMMODITIES
2016-01-14,2342.0,NIFTY COMMODITIES
2016-01-15,2302.0,NIFTY COMMODITIES
2016-01-18,2250.0,NIFTY COMMODITIES
2016-01-19,2269.0,NIFTY COMMODITIES
2016-01-20,2211.0,NIFTY COMMODITIES
2016-01-21,2195.0,NIFTY COMMODITIES
2016-01-22,2252.0,NIFTY COMMODITIES
2016-01-25,2264.0,NIFTY COMMODITIES
2016-01-27,2270.0,NIFTY COMMODITIES
2016-01-28,2275.0,NIFTY COMMODITIES
2016-01-29,2316.0,NIFTY COMMODITIES
2016-02-01,2320.0,NIFTY COMMODITIES
2016-02-02,2251.0,NIFTY COMMODITIES
2016-02-03,2208.0,NIFTY COMMODITIES
2016-02-04,2226.0,NIFTY COMMODITIES
2016-02-05,2258.0,NIFTY COMMODITIES
2016-02-08,2235.0,NIFTY COMMODITIES
2016-02-09,2216.0,NIFTY COMMODITIES
2016-02-10,2212.0,NIFTY COMMODITIES
2016-02-11,2137.0,NIFTY COMMODITIES
2016-02-12,2115.0,NIFTY COMMODITIES
2016-02-15,2211.0,NIFTY COMMODITIES
2016-02-16,2177.0,NIFTY COMMODITIES
