Date,Close,Index
2015-11-09,6968.0,NIFTY FINANCIAL SERVICES
2015-11-10,6897.0,NIFTY FINANCIAL SERVICES
2015-11-11,6945.0,NIFTY FINANCIAL SERVICES
2015-11-13,6942.0,NIFTY FINANCIAL SERVICES
2015-11-16,7001.0,NIFTY FINANCIAL SERVICES
2015-11-17,7018.0,NIFTY FINANCIAL SERVICES
2015-11-18,6890.0,NIFTY FINANCIAL SERVICES
2015-11-19,7015.0,NIFTY FINANCIAL SERVICES
2015-11-20,6999.0,NIFTY FINANCIAL SERVICES
2015-11-23,6979.0,NIFTY FINANCIAL SERVICES
2015-11-24,6998.0,NIFTY FINANCIAL SERVICES
2015-11-26,7018.0,NIFTY FINANCIAL SERVICES
2015-11-27,7126.0,NIFTY FINANCIAL SERVICES
2015-11-30,7109.0,NIFTY FINANCIAL SERVICES
2015-12-01,7122.0,NIFTY FINANCIAL SERVICES
2015-12-02,7058.0,NIFTY FINANCIAL SERVICES
2015-12-03,7005.0,NIFTY FINANCIAL SERVICES
2015-12-04,6899.0,NIFTY FINANCIAL SERVICES
2015-12-07,6928.0,NIFTY FINANCIAL SERVICES
2015-12-08,6865.0,NIFTY FINANCIAL SERVICES
2015-12-09,6803.0,NIFTY FINANCIAL SERVICES
2015-12-10,6855.0,NIFTY FINANCIAL SERVICES
2015-12-11,6742.0,NIFTY FINANCIAL SERVICES
2015-12-14,6765.0,NIFTY FINANCIAL SERVICES
2015-12-15,6802.0,NIFTY FINANCIAL SERVICES
2015-12-16,6873.0,NIFTY FINANCIAL SERVICES
2015-12-17,6956.0,NIFTY FINANCIAL SERVICES
2015-12-18,6891.0,NIFTY FINANCIAL SERVICES
2015-12-21,6976.0,NIFTY FINANCIAL SERVICES
2015-12-22,6954.0,NIFTY FINANCIAL SERVICES
2015-12-23,7006.0,NIFTY FINANCIAL SERVICES
2015-12-24,6968.0,NIFTY FINANCIAL SERVICES
2015-12-28,7014.0,NIFTY FINANCIAL SERVICES
2015-12-29,7032.0,NIFTY FINANCIAL SERVICES
2015-12-30,7006.0,NIFTY FINANCIAL SERVICES
