Date,Close,Index
2021-08-09,9021.0,NIFTY HEALTHCARE INDEX
2021-08-10,9037.0,NIFTY HEALTHCARE INDEX
2021-08-11,8929.0,NIFTY HEALTHCARE INDEX
2021-08-12,8894.0,NIFTY HEALTHCARE INDEX
2021-08-13,8826.0,NIFTY HEALTHCARE INDEX
2021-08-16,8850.0,NIFTY HEALTHCARE INDEX
2021-08-17,9002.0,NIFTY HEALTHCARE INDEX
2021-08-18,9000.0,NIFTY HEALTHCARE INDEX
2021-08-20,8821.0,NIFTY HEALTHCARE INDEX
2021-08-23,8784.0,NIFTY HEALTHCARE INDEX
2021-08-24,8896.0,NIFTY HEALTHCARE INDEX
2021-08-25,8867.0,NIFTY HEALTHCARE INDEX
2021-08-26,8812.0,NIFTY HEALTHCARE INDEX
2021-08-27,8914.0,NIFTY HEALTHCARE INDEX
2021-08-30,9036.0,NIFTY HEALTHCARE INDEX
2021-08-31,9163.0,NIFTY HEALTHCARE INDEX
2021-09-01,9167.0,NIFTY HEALTHCARE INDEX
2021-09-02,9219.0,NIFTY HEALTHCARE INDEX
2021-09-03,9230.0,NIFTY HEALTHCARE INDEX
2021-09-06,9220.0,NIFTY HEALTHCARE INDEX
2021-09-07,9151.0,NIFTY HEALTHCARE INDEX
2021-09-08,9125.0,NIFTY HEALTHCARE INDEX
2021-09-09,9106.0,NIFTY HEALTHCARE INDEX
2021-09-13,9135.0,NIFTY HEALTHCARE INDEX
2021-09-14,9162.0,NIFTY HEALTHCARE INDEX
2021-09-15,9208.0,NIFTY HEALTHCARE INDEX
2021-09-16,9200.0,NIFTY HEALTHCARE INDEX
2021-09-17,9106.0,NIFTY HEALTHCARE INDEX
2021-09-20,8945.0,NIFTY HEALTHCARE INDEX
2021-09-21,9031.0,NIFTY HEALTHCARE INDEX
2021-09-22,9066.0,NIFTY HEALTHCARE INDEX
2021-09-23,9135.0,NIFTY HEALTHCARE INDEX
2021-09-24,8999.0,NIFTY HEALTHCARE INDEX
2021-09-27,8886.0,NIFTY HEALTHCARE INDEX
2021-09-28,8842.0,NIFTY HEALTHCARE INDEX
2021-09-29,8945.0,NIFTY HEALTHCARE INDEX
2021-09-30,8978.0,NIFTY HEALTHCARE INDEX
2021-10-01,9034.0,NIFTY HEALTHCARE INDEX
2021-10-04,9163.0,NIFTY HEALTHCARE INDEX
2021-10-05,9098.0,NIFTY HEALTHCARE INDEX
2021-10-06,8932.0,NIFTY HEALTHCARE INDEX
2021-10-07,9001.0,NIFTY HEALTHCARE INDEX
2021-10-08,8968.0,NIFTY HEALTHCARE INDEX
2021-10-11,9032.0,NIFTY HEALTHCARE INDEX
2021-10-12,9037.0,NIFTY HEALTHCARE INDEX
2021-10-13,9075.0,NIFTY HEALTHCARE INDEX
2021-10-14,9088.0,NIFTY HEALTHCARE INDEX
2021-10-18,9013.0,NIFTY HEALTHCARE INDEX
2021-10-19,8900.0,NIFTY HEALTHCARE INDEX
2021-10-20,8768.0,NIFTY HEALTHCARE INDEX
2021-10-21,8749.0,NIFTY HEALTHCARE INDEX
2021-10-22,8594.0,NIFTY HEALTHCARE INDEX
2021-10-25,8618.0,NIFTY HEALTHCARE INDEX
2021-10-26,8677.0,NIFTY HEALTHCARE INDEX
2021-10-27,8747.0,NIFTY HEALTHCARE INDEX
2021-10-28,8572.0,NIFTY HEALTHCARE INDEX
2021-10-29,8613.0,NIFTY HEALTHCARE INDEX
2021-11-01,8736.0,NIFTY HEALTHCARE INDEX
2021-11-02,8686.0,NIFTY HEALTHCARE INDEX
2021-11-03,8653.0,NIFTY HEALTHCARE INDEX
2021-11-04,8691.0,NIFTY HEALTHCARE INDEX
2021-11-08,8635.0,NIFTY HEALTHCARE INDEX
2021-11-09,8678.0,NIFTY HEALTHCARE INDEX
2021-11-10,8704.0,NIFTY HEALTHCARE INDEX
2021-11-11,8596.0,NIFTY HEALTHCARE INDEX
2021-11-12,8663.0,NIFTY HEALTHCARE INDEX
2021-11-15,8847.0,NIFTY HEALTHCARE INDEX
2021-11-16,8750.0,NIFTY HEALTHCARE INDEX
2021-11-17,8772.0,NIFTY HEALTHCARE INDEX
2021-11-18,8664.0,NIFTY HEALTHCARE INDEX
2021-11-22,8472.0,NIFTY HEALTHCARE INDEX
2021-11-23,8618.0,NIFTY HEALTHCARE INDEX
2021-11-24,8566.0,NIFTY HEALTHCARE INDEX
2021-11-25,8703.0,NIFTY HEALTHCARE INDEX
2021-11-26,8856.0,NIFTY HEALTHCARE INDEX
2021-11-29,8789.0,NIFTY HEALTHCARE INDEX
2021-11-30,8792.0,NIFTY HEALTHCARE INDEX
2021-12-01,8629.0,NIFTY HEALTHCARE INDEX
2021-12-02,8705.0,NIFTY HEALTHCARE INDEX
2021-12-03,8602.0,NIFTY HEALTHCARE INDEX
2021-12-06,8440.0,NIFTY HEALTHCARE INDEX
2021-12-07,8460.0,NIFTY HEALTHCARE INDEX
2021-12-08,8582.0,NIFTY HEALTHCARE INDEX
2021-12-09,8564.0,NIFTY HEALTHCARE INDEX
2021-12-10,8562.0,NIFTY HEALTHCARE INDEX
2021-12-13,8547.0,NIFTY HEALTHCARE INDEX
2021-12-14,8629.0,NIFTY HEALTHCARE INDEX
2021-12-15,8599.0,NIFTY HEALTHCARE INDEX
2021-12-16,8532.0,NIFTY HEALTHCARE INDEX
2021-12-17,8354.0,NIFTY HEALTHCARE INDEX
2021-12-20,8310.0,NIFTY HEALTHCARE INDEX
2021-12-21,8400.0,NIFTY HEALTHCARE INDEX
