Date,Close,Index
2015-11-09,3506.0,NIFTY INDIA CONSUMPTION
2015-11-10,3484.0,NIFTY INDIA CONSUMPTION
2015-11-11,3497.0,NIFTY INDIA CONSUMPTION
2015-11-13,3443.0,NIFTY INDIA CONSUMPTION
2015-11-16,3447.0,NIFTY INDIA CONSUMPTION
2015-11-17,3477.0,NIFTY INDIA CONSUMPTION
2015-11-18,3464.0,NIFTY INDIA CONSUMPTION
2015-11-19,3513.0,NIFTY INDIA CONSUMPTION
2015-11-20,3534.0,NIFTY INDIA CONSUMPTION
2015-11-23,3544.0,NIFTY INDIA CONSUMPTION
2015-11-24,3541.0,NIFTY INDIA CONSUMPTION
2015-11-26,3566.0,NIFTY INDIA CONSUMPTION
2015-11-27,3564.0,NIFTY INDIA CONSUMPTION
2015-11-30,3547.0,NIFTY INDIA CONSUMPTION
2015-12-01,3562.0,NIFTY INDIA CONSUMPTION
2015-12-02,3577.0,NIFTY INDIA CONSUMPTION
2015-12-03,3544.0,NIFTY INDIA CONSUMPTION
2015-12-04,3508.0,NIFTY INDIA CONSUMPTION
2015-12-07,3501.0,NIFTY INDIA CONSUMPTION
2015-12-08,3484.0,NIFTY INDIA CONSUMPTION
2015-12-09,3437.0,NIFTY INDIA CONSUMPTION
2015-12-10,3466.0,NIFTY INDIA CONSUMPTION
2015-12-11,3443.0,NIFTY INDIA CONSUMPTION
2015-12-14,3476.0,NIFTY INDIA CONSUMPTION
2015-12-15,3509.0,NIFTY INDIA CONSUMPTION
2015-12-16,3492.0,NIFTY INDIA CONSUMPTION
2015-12-17,3538.0,NIFTY INDIA CONSUMPTION
2015-12-18,3523.0,NIFTY INDIA CONSUMPTION
2015-12-21,3556.0,NIFTY INDIA CONSUMPTION
2015-12-22,3541.0,NIFTY INDIA CONSUMPTION
2015-12-23,3560.0,NIFTY INDIA CONSUMPTION
2015-12-24,3572.0,NIFTY INDIA CONSUMPTION
2015-12-28,3573.0,NIFTY INDIA CONSUMPTION
2015-12-29,3584.0,NIFTY INDIA CONSUMPTION
2015-12-30,3575.0,NIFTY INDIA CONSUMPTION
2015-12-31,3606.0,NIFTY INDIA CONSUMPTION
2016-01-01,3612.0,NIFTY INDIA CONSUMPTION
2016-01-04,3563.0,NIFTY INDIA CONSUMPTION
2016-01-05,3568.0,NIFTY INDIA CONSUMPTION
2016-01-06,3526.0,NIFTY INDIA CONSUMPTION
2016-01-07,3440.0,NIFTY INDIA CONSUMPTION
2016-01-08,3441.0,NIFTY INDIA CONSUMPTION
2016-01-11,3419.0,NIFTY INDIA CONSUMPTION
2016-01-12,3413.0,NIFTY INDIA CONSUMPTION
2016-01-13,3417.0,NIFTY INDIA CONSUMPTION
2016-01-14,3406.0,NIFTY INDIA CONSUMPTION
2016-01-15,3345.0,NIFTY INDIA CONSUMPTION
2016-01-18,3301.0,NIFTY INDIA CONSUMPTION
2016-01-19,3326.0,NIFTY INDIA CONSUMPTION
2016-01-20,3283.0,NIFTY INDIA CONSUMPTION
2016-01-21,3234.0,NIFTY INDIA CONSUMPTION
2016-01-22,3288.0,NIFTY INDIA CONSUMPTION
2016-01-25,3281.0,NIFTY INDIA CONSUMPTION
