Date,Close,Index
2022-01-10,7224.0,NIFTY INDIA DIGITAL
2022-01-11,7177.0,NIFTY INDIA DIGITAL
2022-01-12,7285.0,NIFTY INDIA DIGITAL
2022-01-14,7301.0,NIFTY INDIA DIGITAL
2022-01-13,7263.0,NIFTY INDIA DIGITAL
2022-01-17,7276.0,NIFTY INDIA DIGITAL
2022-01-19,6979.0,NIFTY INDIA DIGITAL
2022-01-24,6437.0,NIFTY INDIA DIGITAL
2022-01-21,6739.0,NIFTY INDIA DIGITAL
2022-01-25,6445.0,NIFTY INDIA DIGITAL
2022-01-27,6250.0,NIFTY INDIA DIGITAL
2022-01-28,6318.0,NIFTY INDIA DIGITAL
2022-02-01,6588.0,NIFTY INDIA DIGITAL
2022-02-02,6688.0,NIFTY INDIA DIGITAL
2022-02-04,6563.0,NIFTY INDIA DIGITAL
2022-02-07,6469.0,NIFTY INDIA DIGITAL
2022-02-08,6440.0,NIFTY INDIA DIGITAL
2022-02-09,6524.0,NIFTY INDIA DIGITAL
2022-02-11,6393.0,NIFTY INDIA DIGITAL
2022-02-10,6580.0,NIFTY INDIA DIGITAL
2022-02-14,6201.0,NIFTY INDIA DIGITAL
2022-02-15,6405.0,NIFTY INDIA DIGITAL
2022-02-16,6393.0,NIFTY INDIA DIGITAL
2022-02-17,6349.0,NIFTY INDIA DIGITAL
2022-02-18,6293.0,NIFTY INDIA DIGITAL
2022-02-21,6281.0,NIFTY INDIA DIGITAL
2022-02-22,6211.0,NIFTY INDIA DIGITAL
2022-02-23,6229.0,NIFTY INDIA DIGITAL
2022-02-24,5894.0,NIFTY INDIA DIGITAL
2022-02-25,6121.0,NIFTY INDIA DIGITAL
2022-02-28,6149.0,NIFTY INDIA DIGITAL
2022-03-02,6138.0,NIFTY INDIA DIGITAL
2022-03-03,6191.0,NIFTY INDIA DIGITAL
2022-03-04,6077.0,NIFTY INDIA DIGITAL
2022-03-07,6007.0,NIFTY INDIA DIGITAL
2022-03-09,6238.0,NIFTY INDIA DIGITAL
2022-03-10,6268.0,NIFTY INDIA DIGITAL
2022-03-11,6267.0,NIFTY INDIA DIGITAL
2022-03-14,6302.0,NIFTY INDIA DIGITAL
2022-03-15,6196.0,NIFTY INDIA DIGITAL
2022-03-16,6303.0,NIFTY INDIA DIGITAL
2022-03-17,6324.0,NIFTY INDIA DIGITAL
2022-03-21,6293.0,NIFTY INDIA DIGITAL
2022-03-22,6377.0,NIFTY INDIA DIGITAL
2022-03-24,6398.0,NIFTY INDIA DIGITAL
2022-03-25,6367.0,NIFTY INDIA DIGITAL
2022-03-23,6369.0,NIFTY INDIA DIGITAL
2022-03-28,6353.0,NIFTY INDIA DIGITAL
2022-03-30,6436.0,NIFTY INDIA DIGITAL
2022-03-29,6380.0,NIFTY INDIA DIGITAL
2022-03-31,6397.0,NIFTY INDIA DIGITAL
2022-04-01,6471.0,NIFTY INDIA DIGITAL
2022-04-05,6610.0,NIFTY INDIA DIGITAL
2022-04-04,6586.0,NIFTY INDIA DIGITAL
2022-04-06,6555.0,NIFTY INDIA DIGITAL
2022-04-07,6531.0,NIFTY INDIA DIGITAL
2022-04-08,6558.0,NIFTY INDIA DIGITAL
2022-04-11,6540.0,NIFTY INDIA DIGITAL
2022-04-12,6412.0,NIFTY INDIA DIGITAL
2022-04-13,6403.0,NIFTY INDIA DIGITAL
2022-04-18,6242.0,NIFTY INDIA DIGITAL
2022-04-19,6118.0,NIFTY INDIA DIGITAL
2022-04-20,6154.0,NIFTY INDIA DIGITAL
2022-04-21,6188.0,NIFTY INDIA DIGITAL
2022-04-22,6167.0,NIFTY INDIA DIGITAL
2022-04-25,6001.0,NIFTY INDIA DIGITAL
2022-04-26,6050.0,NIFTY INDIA DIGITAL
2022-04-27,5960.0,NIFTY INDIA DIGITAL
2022-04-28,6006.0,NIFTY INDIA DIGITAL
2022-04-29,5949.0,NIFTY INDIA DIGITAL
2022-05-02,5873.0,NIFTY INDIA DIGITAL
2022-05-04,5728.0,NIFTY INDIA DIGITAL
2022-05-06,5617.0,NIFTY INDIA DIGITAL
2022-05-10,5441.0,NIFTY INDIA DIGITAL
2022-05-11,5376.0,NIFTY INDIA DIGITAL
2022-05-12,5263.0,NIFTY INDIA DIGITAL
2022-05-13,5305.0,NIFTY INDIA DIGITAL
2022-05-17,5490.0,NIFTY INDIA DIGITAL
2022-05-18,5452.0,NIFTY INDIA DIGITAL
2022-05-20,5316.0,NIFTY INDIA DIGITAL
2022-05-23,5337.0,NIFTY INDIA DIGITAL
2022-05-24,5302.0,NIFTY INDIA DIGITAL
2022-05-25,5153.0,NIFTY INDIA DIGITAL
2022-05-26,5196.0,NIFTY INDIA DIGITAL
2022-05-27,5322.0,NIFTY INDIA DIGITAL
2022-05-31,5586.0,NIFTY INDIA DIGITAL
2022-06-01,5523.0,NIFTY INDIA DIGITAL
2022-06-02,5529.0,NIFTY INDIA DIGITAL
2022-06-03,5496.0,NIFTY INDIA DIGITAL
2022-06-06,5444.0,NIFTY INDIA DIGITAL
2022-06-07,5363.0,NIFTY INDIA DIGITAL
2022-06-08,5357.0,NIFTY INDIA DIGITAL
2022-06-09,5417.0,NIFTY INDIA DIGITAL
2022-06-10,5336.0,NIFTY INDIA DIGITAL
2022-06-13,5191.0,NIFTY INDIA DIGITAL
2022-06-14,5211.0,NIFTY INDIA DIGITAL
2022-06-15,5194.0,NIFTY INDIA DIGITAL
2022-06-16,5059.0,NIFTY INDIA DIGITAL
