Date,Close,Index
2022-01-10,8129.0,NIFTY INDIA MANUFACTURING
2022-01-11,8097.0,NIFTY INDIA MANUFACTURING
2022-01-12,8178.0,NIFTY INDIA MANUFACTURING
2022-01-13,8273.0,NIFTY INDIA MANUFACTURING
2022-01-14,8281.0,NIFTY INDIA MANUFACTURING
2022-01-17,8328.0,NIFTY INDIA MANUFACTURING
2022-01-19,8192.0,NIFTY INDIA MANUFACTURING
2022-01-21,8018.0,NIFTY INDIA MANUFACTURING
2022-01-24,7748.0,NIFTY INDIA MANUFACTURING
2022-01-25,7843.0,NIFTY INDIA MANUFACTURING
2022-01-27,7768.0,NIFTY INDIA MANUFACTURING
2022-01-28,7808.0,NIFTY INDIA MANUFACTURING
2022-02-01,7997.0,NIFTY INDIA MANUFACTURING
2022-02-02,8052.0,NIFTY INDIA MANUFACTURING
2022-02-04,7990.0,NIFTY INDIA MANUFACTURING
2022-02-07,7913.0,NIFTY INDIA MANUFACTURING
2022-02-08,7928.0,NIFTY INDIA MANUFACTURING
2022-02-09,8039.0,NIFTY INDIA MANUFACTURING
2022-02-10,8055.0,NIFTY INDIA MANUFACTURING
2022-02-11,7962.0,NIFTY INDIA MANUFACTURING
2022-02-14,7698.0,NIFTY INDIA MANUFACTURING
2022-02-15,7881.0,NIFTY INDIA MANUFACTURING
2022-02-16,7877.0,NIFTY INDIA MANUFACTURING
2022-02-17,7875.0,NIFTY INDIA MANUFACTURING
2022-02-18,7822.0,NIFTY INDIA MANUFACTURING
2022-02-21,7739.0,NIFTY INDIA MANUFACTURING
2022-02-22,7687.0,NIFTY INDIA MANUFACTURING
2022-02-23,7706.0,NIFTY INDIA MANUFACTURING
2022-02-24,7324.0,NIFTY INDIA MANUFACTURING
2022-02-25,7582.0,NIFTY INDIA MANUFACTURING
2022-02-28,7698.0,NIFTY INDIA MANUFACTURING
2022-03-02,7660.0,NIFTY INDIA MANUFACTURING
2022-03-03,7616.0,NIFTY INDIA MANUFACTURING
