Date,Close,Index
2015-11-09,2741.0,NIFTY INFRASTRUCTURE
2015-11-10,2690.0,NIFTY INFRASTRUCTURE
2015-11-11,2715.0,NIFTY INFRASTRUCTURE
2015-11-13,2687.0,NIFTY INFRASTRUCTURE
2015-11-16,2715.0,NIFTY INFRASTRUCTURE
2015-11-17,2713.0,NIFTY INFRASTRUCTURE
2015-11-18,2702.0,NIFTY INFRASTRUCTURE
2015-11-19,2731.0,NIFTY INFRASTRUCTURE
2015-11-20,2744.0,NIFTY INFRASTRUCTURE
2015-11-23,2749.0,NIFTY INFRASTRUCTURE
2015-11-24,2729.0,NIFTY INFRASTRUCTURE
2015-11-26,2748.0,NIFTY INFRASTRUCTURE
2015-11-27,2768.0,NIFTY INFRASTRUCTURE
2015-11-30,2771.0,NIFTY INFRASTRUCTURE
2015-12-01,2754.0,NIFTY INFRASTRUCTURE
2015-12-02,2745.0,NIFTY INFRASTRUCTURE
2015-12-03,2729.0,NIFTY INFRASTRUCTURE
2015-12-04,2697.0,NIFTY INFRASTRUCTURE
2015-12-07,2700.0,NIFTY INFRASTRUCTURE
2015-12-08,2660.0,NIFTY INFRASTRUCTURE
2015-12-09,2621.0,NIFTY INFRASTRUCTURE
2015-12-10,2646.0,NIFTY INFRASTRUCTURE
2015-12-11,2602.0,NIFTY INFRASTRUCTURE
2015-12-14,2611.0,NIFTY INFRASTRUCTURE
2015-12-15,2618.0,NIFTY INFRASTRUCTURE
2015-12-16,2649.0,NIFTY INFRASTRUCTURE
2015-12-17,2681.0,NIFTY INFRASTRUCTURE
2015-12-18,2677.0,NIFTY INFRASTRUCTURE
2015-12-21,2698.0,NIFTY INFRASTRUCTURE
2015-12-22,2692.0,NIFTY INFRASTRUCTURE
2015-12-23,2725.0,NIFTY INFRASTRUCTURE
2015-12-24,2746.0,NIFTY INFRASTRUCTURE
2015-12-28,2753.0,NIFTY INFRASTRUCTURE
2015-12-29,2754.0,NIFTY INFRASTRUCTURE
2015-12-30,2753.0,NIFTY INFRASTRUCTURE
2015-12-31,2769.0,NIFTY INFRASTRUCTURE
2016-01-01,2793.0,NIFTY INFRASTRUCTURE
2016-01-04,2726.0,NIFTY INFRASTRUCTURE
2016-01-05,2724.0,NIFTY INFRASTRUCTURE
2016-01-06,2699.0,NIFTY INFRASTRUCTURE
2016-01-07,2625.0,NIFTY INFRASTRUCTURE
2016-01-08,2632.0,NIFTY INFRASTRUCTURE
2016-01-11,2617.0,NIFTY INFRASTRUCTURE
2016-01-12,2609.0,NIFTY INFRASTRUCTURE
2016-01-13,2563.0,NIFTY INFRASTRUCTURE
2016-01-14,2530.0,NIFTY INFRASTRUCTURE
2016-01-15,2444.0,NIFTY INFRASTRUCTURE
2016-01-18,2403.0,NIFTY INFRASTRUCTURE
