Date,Close,Index
2019-01-14,6257.0,NIFTY MIDCAP 150
2019-01-15,6290.0,NIFTY MIDCAP 150
2019-01-16,6280.0,NIFTY MIDCAP 150
2019-01-17,6264.0,NIFTY MIDCAP 150
2019-01-18,6233.0,NIFTY MIDCAP 150
2019-01-21,6190.0,NIFTY MIDCAP 150
2019-01-22,6182.0,NIFTY MIDCAP 150
2019-01-23,6168.0,NIFTY MIDCAP 150
2019-01-24,6150.0,NIFTY MIDCAP 150
2019-01-25,6069.0,NIFTY MIDCAP 150
2019-01-28,5966.0,NIFTY MIDCAP 150
2019-01-29,5979.0,NIFTY MIDCAP 150
2019-01-30,6013.0,NIFTY MIDCAP 150
2019-01-31,6045.0,NIFTY MIDCAP 150
2019-02-01,6076.0,NIFTY MIDCAP 150
2019-02-04,6036.0,NIFTY MIDCAP 150
2019-02-05,5991.0,NIFTY MIDCAP 150
2019-02-06,5997.0,NIFTY MIDCAP 150
2019-02-07,6037.0,NIFTY MIDCAP 150
2019-02-08,5967.0,NIFTY MIDCAP 150
2019-02-11,5875.0,NIFTY MIDCAP 150
2019-02-12,5866.0,NIFTY MIDCAP 150
2019-02-13,5849.0,NIFTY MIDCAP 150
2019-02-14,5873.0,NIFTY MIDCAP 150
2019-02-15,5825.0,NIFTY MIDCAP 150
2019-02-18,5763.0,NIFTY MIDCAP 150
2019-02-19,5790.0,NIFTY MIDCAP 150
2019-02-20,5841.0,NIFTY MIDCAP 150
2019-02-21,5895.0,NIFTY MIDCAP 150
2019-02-22,5923.0,NIFTY MIDCAP 150
2019-02-25,5945.0,NIFTY MIDCAP 150
2019-02-26,5939.0,NIFTY MIDCAP 150
2019-02-27,5963.0,NIFTY MIDCAP 150
2019-02-28,5993.0,NIFTY MIDCAP 150
2019-03-01,6069.0,NIFTY MIDCAP 150
2019-03-05,6193.0,NIFTY MIDCAP 150
2019-03-06,6220.0,NIFTY MIDCAP 150
2019-03-07,6204.0,NIFTY MIDCAP 150
2019-03-08,6198.0,NIFTY MIDCAP 150
2019-03-11,6318.0,NIFTY MIDCAP 150
2019-03-12,6354.0,NIFTY MIDCAP 150
2019-03-13,6324.0,NIFTY MIDCAP 150
2019-03-14,6325.0,NIFTY MIDCAP 150
2019-03-15,6365.0,NIFTY MIDCAP 150
2019-03-18,6344.0,NIFTY MIDCAP 150
2019-03-19,6378.0,NIFTY MIDCAP 150
2019-03-20,6354.0,NIFTY MIDCAP 150
2019-03-22,6327.0,NIFTY MIDCAP 150
