Date,Close,Index
2015-11-09,9614.0,NIFTY MNC
2015-11-10,9547.0,NIFTY MNC
2015-11-11,9620.0,NIFTY MNC
2015-11-13,9435.0,NIFTY MNC
2015-11-16,9395.0,NIFTY MNC
2015-11-17,9465.0,NIFTY MNC
2015-11-18,9369.0,NIFTY MNC
2015-11-19,9489.0,NIFTY MNC
2015-11-20,9568.0,NIFTY MNC
2015-11-23,9504.0,NIFTY MNC
2015-11-24,9464.0,NIFTY MNC
2015-11-26,9416.0,NIFTY MNC
2015-11-27,9445.0,NIFTY MNC
2015-11-30,9401.0,NIFTY MNC
2015-12-01,9507.0,NIFTY MNC
2015-12-02,9505.0,NIFTY MNC
2015-12-03,9425.0,NIFTY MNC
2015-12-04,9384.0,NIFTY MNC
2015-12-07,9440.0,NIFTY MNC
2015-12-08,9366.0,NIFTY MNC
2015-12-09,9206.0,NIFTY MNC
2015-12-10,9269.0,NIFTY MNC
2015-12-11,9235.0,NIFTY MNC
2015-12-14,9378.0,NIFTY MNC
2015-12-15,9500.0,NIFTY MNC
2015-12-16,9473.0,NIFTY MNC
2015-12-17,9560.0,NIFTY MNC
2015-12-18,9498.0,NIFTY MNC
2015-12-21,9539.0,NIFTY MNC
2015-12-22,9497.0,NIFTY MNC
2015-12-23,9562.0,NIFTY MNC
2015-12-24,9558.0,NIFTY MNC
2015-12-28,9579.0,NIFTY MNC
2015-12-29,9558.0,NIFTY MNC
2015-12-30,9515.0,NIFTY MNC
2015-12-31,9558.0,NIFTY MNC
2016-01-01,9601.0,NIFTY MNC
2016-01-04,9521.0,NIFTY MNC
2016-01-05,9493.0,NIFTY MNC
2016-01-06,9412.0,NIFTY MNC
2016-01-07,9103.0,NIFTY MNC
2016-01-08,9061.0,NIFTY MNC
2016-01-11,9048.0,NIFTY MNC
2016-01-12,9085.0,NIFTY MNC
2016-01-13,9102.0,NIFTY MNC
2016-01-14,9045.0,NIFTY MNC
2016-01-15,8892.0,NIFTY MNC
2016-01-18,8789.0,NIFTY MNC
2016-01-19,8805.0,NIFTY MNC
2016-01-20,8610.0,NIFTY MNC
2016-01-21,8418.0,NIFTY MNC
2016-01-22,8549.0,NIFTY MNC
2016-01-25,8569.0,NIFTY MNC
2016-01-27,8518.0,NIFTY MNC
2016-01-28,8570.0,NIFTY MNC
2016-01-29,8682.0,NIFTY MNC
2016-02-01,8613.0,NIFTY MNC
2016-02-02,8517.0,NIFTY MNC
2016-02-03,8500.0,NIFTY MNC
2016-02-04,8611.0,NIFTY MNC
2016-02-05,8655.0,NIFTY MNC
2016-02-08,8610.0,NIFTY MNC
2016-02-09,8498.0,NIFTY MNC
2016-02-10,8437.0,NIFTY MNC
2016-02-11,8209.0,NIFTY MNC
2016-02-12,8211.0,NIFTY MNC
2016-02-15,8420.0,NIFTY MNC
2016-02-16,8306.0,NIFTY MNC
2016-02-17,8373.0,NIFTY MNC
2016-02-18,8405.0,NIFTY MNC
2016-02-19,8380.0,NIFTY MNC
2016-02-22,8501.0,NIFTY MNC
2016-02-23,8398.0,NIFTY MNC
2016-02-24,8344.0,NIFTY MNC
2016-02-25,8266.0,NIFTY MNC
2016-02-26,8316.0,NIFTY MNC
2016-02-29,8155.0,NIFTY MNC
2016-03-01,8334.0,NIFTY MNC
2016-03-02,8489.0,NIFTY MNC
2016-03-03,8548.0,NIFTY MNC
2016-03-04,8565.0,NIFTY MNC
2016-03-08,8464.0,NIFTY MNC
2016-03-09,8564.0,NIFTY MNC
2016-03-10,8542.0,NIFTY MNC
2016-03-11,8583.0,NIFTY MNC
2016-03-14,8628.0,NIFTY MNC
2016-03-15,8588.0,NIFTY MNC
2016-03-16,8602.0,NIFTY MNC
2016-03-17,8656.0,NIFTY MNC
2016-03-18,8730.0,NIFTY MNC
2016-03-21,8923.0,NIFTY MNC
2016-03-22,8975.0,NIFTY MNC
2016-03-23,9009.0,NIFTY MNC
2016-03-28,8871.0,NIFTY MNC
2016-03-29,8889.0,NIFTY MNC
2016-03-30,8942.0,NIFTY MNC
2016-03-31,8966.0,NIFTY MNC
2016-04-01,8970.0,NIFTY MNC
2016-04-04,8965.0,NIFTY MNC
2016-04-05,8804.0,NIFTY MNC
2016-04-06,8834.0,NIFTY MNC
2016-04-07,8710.0,NIFTY MNC
2016-04-08,8684.0,NIFTY MNC
2016-04-11,8778.0,NIFTY MNC
2016-04-12,8885.0,NIFTY MNC
2016-04-13,9085.0,NIFTY MNC
2016-04-18,9110.0,NIFTY MNC
2016-04-20,9128.0,NIFTY MNC
2016-04-21,9085.0,NIFTY MNC
2016-04-22,9092.0,NIFTY MNC
2016-04-25,9035.0,NIFTY MNC
2016-04-26,9160.0,NIFTY MNC
2016-04-27,9177.0,NIFTY MNC
2016-04-28,8999.0,NIFTY MNC
2016-04-29,9031.0,NIFTY MNC
2016-05-02,9062.0,NIFTY MNC
2016-05-03,9012.0,NIFTY MNC
2016-05-04,8935.0,NIFTY MNC
2016-05-05,8976.0,NIFTY MNC
2016-05-06,8996.0,NIFTY MNC
2016-05-09,9023.0,NIFTY MNC
2016-05-10,9056.0,NIFTY MNC
2016-05-11,9087.0,NIFTY MNC
2016-05-12,9106.0,NIFTY MNC
2016-05-13,8992.0,NIFTY MNC
2016-05-16,9050.0,NIFTY MNC
2016-05-17,9064.0,NIFTY MNC
2016-05-18,8969.0,NIFTY MNC
2016-05-19,8895.0,NIFTY MNC
2016-05-20,8861.0,NIFTY MNC
2016-05-23,8830.0,NIFTY MNC
2016-05-24,8858.0,NIFTY MNC
2016-05-25,9021.0,NIFTY MNC
2016-05-26,9126.0,NIFTY MNC
2016-05-27,9194.0,NIFTY MNC
2016-05-30,9187.0,NIFTY MNC
2016-05-31,9215.0,NIFTY MNC
2016-06-01,9201.0,NIFTY MNC
2016-06-02,9262.0,NIFTY MNC
2016-06-03,9323.0,NIFTY MNC
2016-06-06,9262.0,NIFTY MNC
2016-06-07,9346.0,NIFTY MNC
2016-06-08,9380.0,NIFTY MNC
2016-06-09,9301.0,NIFTY MNC
2016-06-10,9266.0,NIFTY MNC
2016-06-13,9260.0,NIFTY MNC
2016-06-14,9222.0,NIFTY MNC
2016-06-15,9322.0,NIFTY MNC
2016-06-16,9259.0,NIFTY MNC
2016-06-17,9274.0,NIFTY MNC
2016-06-20,9326.0,NIFTY MNC
2016-06-21,9312.0,NIFTY MNC
2016-06-22,9289.0,NIFTY MNC
2016-06-23,9342.0,NIFTY MNC
2016-06-24,9178.0,NIFTY MNC
2016-06-27,9205.0,NIFTY MNC
2016-06-28,9362.0,NIFTY MNC
2016-06-29,9468.0,NIFTY MNC
2016-06-30,9565.0,NIFTY MNC
2016-07-01,9596.0,NIFTY MNC
2016-07-04,9607.0,NIFTY MNC
2016-07-05,9596.0,NIFTY MNC
2016-07-07,9676.0,NIFTY MNC
2016-07-08,9684.0,NIFTY MNC
2016-07-11,9813.0,NIFTY MNC
2016-07-12,9881.0,NIFTY MNC
2016-07-13,9853.0,NIFTY MNC
2016-07-14,9931.0,NIFTY MNC
2016-07-15,9961.0,NIFTY MNC
2016-07-18,9907.0,NIFTY MNC
2016-07-19,9880.0,NIFTY MNC
2016-07-20,9949.0,NIFTY MNC
2016-07-21,9943.0,NIFTY MNC
2016-07-22,9978.0,NIFTY MNC
2016-07-25,10091.0,NIFTY MNC
2016-07-26,9994.0,NIFTY MNC
2016-07-27,10030.0,NIFTY MNC
2016-07-28,10184.0,NIFTY MNC
2016-07-29,10203.0,NIFTY MNC
2016-08-01,10206.0,NIFTY MNC
2016-08-02,10164.0,NIFTY MNC
2016-08-03,10011.0,NIFTY MNC
2016-08-04,10061.0,NIFTY MNC
2016-08-05,10213.0,NIFTY MNC
2016-08-08,10376.0,NIFTY MNC
2016-08-09,10306.0,NIFTY MNC
2016-08-10,10155.0,NIFTY MNC
2016-08-11,10220.0,NIFTY MNC
2016-08-12,10265.0,NIFTY MNC
2016-08-16,10218.0,NIFTY MNC
2016-08-17,10224.0,NIFTY MNC
2016-08-18,10237.0,NIFTY MNC
2016-08-19,10271.0,NIFTY MNC
2016-08-22,10241.0,NIFTY MNC
2016-08-23,10215.0,NIFTY MNC
2016-08-24,10294.0,NIFTY MNC
2016-08-25,10223.0,NIFTY MNC
2016-08-26,10210.0,NIFTY MNC
2016-08-29,10207.0,NIFTY MNC
2016-08-30,10404.0,NIFTY MNC
2016-08-31,10360.0,NIFTY MNC
2016-09-01,10358.0,NIFTY MNC
2016-09-02,10383.0,NIFTY MNC
2016-09-06,10583.0,NIFTY MNC
2016-09-07,10589.0,NIFTY MNC
2016-09-08,10716.0,NIFTY MNC
2016-09-09,10565.0,NIFTY MNC
2016-09-12,10361.0,NIFTY MNC
2016-09-14,10377.0,NIFTY MNC
2016-09-15,10397.0,NIFTY MNC
2016-09-16,10445.0,NIFTY MNC
2016-09-19,10419.0,NIFTY MNC
2016-09-20,10412.0,NIFTY MNC
2016-09-21,10416.0,NIFTY MNC
2016-09-22,10494.0,NIFTY MNC
2016-09-23,10478.0,NIFTY MNC
2016-09-26,10363.0,NIFTY MNC
2016-09-27,10362.0,NIFTY MNC
2016-09-28,10397.0,NIFTY MNC
2016-09-29,10179.0,NIFTY MNC
2016-09-30,10271.0,NIFTY MNC
2016-10-03,10486.0,NIFTY MNC
2016-10-04,10503.0,NIFTY MNC
2016-10-05,10554.0,NIFTY MNC
2016-10-06,10582.0,NIFTY MNC
2016-10-07,10515.0,NIFTY MNC
2016-10-10,10540.0,NIFTY MNC
2016-10-13,10418.0,NIFTY MNC
