Date,Close,Index
2015-11-09,3148.0,NIFTY PSU BANK
2015-11-10,3107.0,NIFTY PSU BANK
2015-11-11,3128.0,NIFTY PSU BANK
2015-11-13,3107.0,NIFTY PSU BANK
2015-11-16,3194.0,NIFTY PSU BANK
2015-11-17,3178.0,NIFTY PSU BANK
2015-11-18,3088.0,NIFTY PSU BANK
2015-11-19,3120.0,NIFTY PSU BANK
2015-11-20,3122.0,NIFTY PSU BANK
2015-11-23,3111.0,NIFTY PSU BANK
2015-11-24,3091.0,NIFTY PSU BANK
2015-11-26,3108.0,NIFTY PSU BANK
2015-11-27,3217.0,NIFTY PSU BANK
2015-11-30,3235.0,NIFTY PSU BANK
2015-12-01,3227.0,NIFTY PSU BANK
2015-12-02,3156.0,NIFTY PSU BANK
2015-12-03,3111.0,NIFTY PSU BANK
2015-12-04,3085.0,NIFTY PSU BANK
2015-12-07,3060.0,NIFTY PSU BANK
2015-12-08,3011.0,NIFTY PSU BANK
2015-12-09,2982.0,NIFTY PSU BANK
2015-12-10,2953.0,NIFTY PSU BANK
2015-12-11,2886.0,NIFTY PSU BANK
2015-12-14,2883.0,NIFTY PSU BANK
2015-12-15,2882.0,NIFTY PSU BANK
2015-12-16,2893.0,NIFTY PSU BANK
2015-12-17,2936.0,NIFTY PSU BANK
2015-12-18,2904.0,NIFTY PSU BANK
2015-12-21,2942.0,NIFTY PSU BANK
2015-12-22,2907.0,NIFTY PSU BANK
2015-12-23,2927.0,NIFTY PSU BANK
2015-12-24,2909.0,NIFTY PSU BANK
2015-12-28,2922.0,NIFTY PSU BANK
2015-12-29,2909.0,NIFTY PSU BANK
2015-12-30,2878.0,NIFTY PSU BANK
2015-12-31,2864.0,NIFTY PSU BANK
2016-01-01,2908.0,NIFTY PSU BANK
2016-01-04,2807.0,NIFTY PSU BANK
2016-01-05,2768.0,NIFTY PSU BANK
2016-01-06,2758.0,NIFTY PSU BANK
2016-01-07,2646.0,NIFTY PSU BANK
2016-01-08,2646.0,NIFTY PSU BANK
2016-01-11,2591.0,NIFTY PSU BANK
2016-01-12,2521.0,NIFTY PSU BANK
2016-01-13,2513.0,NIFTY PSU BANK
2016-01-14,2456.0,NIFTY PSU BANK
2016-01-15,2313.0,NIFTY PSU BANK
2016-01-18,2274.0,NIFTY PSU BANK
2016-01-19,2299.0,NIFTY PSU BANK
2016-01-20,2193.0,NIFTY PSU BANK
2016-01-21,2227.0,NIFTY PSU BANK
2016-01-22,2339.0,NIFTY PSU BANK
2016-01-25,2318.0,NIFTY PSU BANK
2016-01-27,2347.0,NIFTY PSU BANK
2016-01-28,2344.0,NIFTY PSU BANK
2016-01-29,2293.0,NIFTY PSU BANK
2016-02-01,2215.0,NIFTY PSU BANK
2016-02-02,2182.0,NIFTY PSU BANK
2016-02-03,2141.0,NIFTY PSU BANK
2016-02-04,2124.0,NIFTY PSU BANK
2016-02-05,2201.0,NIFTY PSU BANK
2016-02-08,2248.0,NIFTY PSU BANK
2016-02-09,2165.0,NIFTY PSU BANK
2016-02-10,2049.0,NIFTY PSU BANK
2016-02-11,1984.0,NIFTY PSU BANK
2016-02-12,1968.0,NIFTY PSU BANK
2016-02-15,2156.0,NIFTY PSU BANK
2016-02-16,2023.0,NIFTY PSU BANK
2016-02-17,2065.0,NIFTY PSU BANK
2016-02-18,2073.0,NIFTY PSU BANK
2016-02-19,2126.0,NIFTY PSU BANK
2016-02-22,2124.0,NIFTY PSU BANK
2016-02-23,2046.0,NIFTY PSU BANK
2016-02-24,2031.0,NIFTY PSU BANK
2016-02-25,1984.0,NIFTY PSU BANK
2016-02-26,2021.0,NIFTY PSU BANK
2016-02-29,2037.0,NIFTY PSU BANK
2016-03-01,2090.0,NIFTY PSU BANK
2016-03-02,2298.0,NIFTY PSU BANK
2016-03-03,2313.0,NIFTY PSU BANK
2016-03-04,2389.0,NIFTY PSU BANK
2016-03-08,2327.0,NIFTY PSU BANK
2016-03-09,2335.0,NIFTY PSU BANK
2016-03-10,2296.0,NIFTY PSU BANK
2016-03-11,2294.0,NIFTY PSU BANK
2016-03-14,2311.0,NIFTY PSU BANK
2016-03-15,2349.0,NIFTY PSU BANK
2016-03-16,2349.0,NIFTY PSU BANK
2016-03-17,2356.0,NIFTY PSU BANK
2016-03-18,2409.0,NIFTY PSU BANK
2016-03-21,2474.0,NIFTY PSU BANK
2016-03-22,2473.0,NIFTY PSU BANK
2016-03-23,2455.0,NIFTY PSU BANK
2016-03-28,2360.0,NIFTY PSU BANK
2016-03-29,2372.0,NIFTY PSU BANK
2016-03-30,2470.0,NIFTY PSU BANK
2016-03-31,2449.0,NIFTY PSU BANK
2016-04-01,2500.0,NIFTY PSU BANK
2016-04-04,2483.0,NIFTY PSU BANK
2016-04-05,2356.0,NIFTY PSU BANK
2016-04-06,2342.0,NIFTY PSU BANK
2016-04-07,2321.0,NIFTY PSU BANK
2016-04-08,2332.0,NIFTY PSU BANK
2016-04-11,2401.0,NIFTY PSU BANK
2016-04-12,2399.0,NIFTY PSU BANK
2016-04-13,2448.0,NIFTY PSU BANK
2016-04-18,2389.0,NIFTY PSU BANK
2016-04-20,2414.0,NIFTY PSU BANK
2016-04-21,2501.0,NIFTY PSU BANK
2016-04-22,2563.0,NIFTY PSU BANK
2016-04-25,2520.0,NIFTY PSU BANK
2016-04-26,2566.0,NIFTY PSU BANK
2016-04-27,2525.0,NIFTY PSU BANK
2016-04-28,2483.0,NIFTY PSU BANK
2016-04-29,2444.0,NIFTY PSU BANK
2016-05-02,2403.0,NIFTY PSU BANK
2016-05-03,2372.0,NIFTY PSU BANK
2016-05-04,2312.0,NIFTY PSU BANK
2016-05-05,2314.0,NIFTY PSU BANK
2016-05-06,2352.0,NIFTY PSU BANK
2016-05-09,2412.0,NIFTY PSU BANK
2016-05-10,2423.0,NIFTY PSU BANK
2016-05-11,2370.0,NIFTY PSU BANK
2016-05-12,2400.0,NIFTY PSU BANK
2016-05-13,2354.0,NIFTY PSU BANK
2016-05-16,2241.0,NIFTY PSU BANK
2016-05-17,2244.0,NIFTY PSU BANK
2016-05-18,2281.0,NIFTY PSU BANK
2016-05-19,2196.0,NIFTY PSU BANK
2016-05-20,2175.0,NIFTY PSU BANK
2016-05-23,2139.0,NIFTY PSU BANK
2016-05-24,2140.0,NIFTY PSU BANK
2016-05-25,2208.0,NIFTY PSU BANK
2016-05-26,2289.0,NIFTY PSU BANK
2016-05-27,2400.0,NIFTY PSU BANK
2016-05-30,2424.0,NIFTY PSU BANK
2016-05-31,2495.0,NIFTY PSU BANK
2016-06-01,2416.0,NIFTY PSU BANK
2016-06-02,2446.0,NIFTY PSU BANK
2016-06-03,2398.0,NIFTY PSU BANK
2016-06-06,2430.0,NIFTY PSU BANK
2016-06-07,2530.0,NIFTY PSU BANK
2016-06-08,2553.0,NIFTY PSU BANK
2016-06-09,2558.0,NIFTY PSU BANK
2016-06-10,2519.0,NIFTY PSU BANK
2016-06-13,2479.0,NIFTY PSU BANK
2016-06-14,2557.0,NIFTY PSU BANK
2016-06-15,2634.0,NIFTY PSU BANK
2016-06-16,2648.0,NIFTY PSU BANK
2016-06-17,2634.0,NIFTY PSU BANK
2016-06-20,2666.0,NIFTY PSU BANK
2016-06-21,2646.0,NIFTY PSU BANK
2016-06-22,2632.0,NIFTY PSU BANK
2016-06-23,2686.0,NIFTY PSU BANK
2016-06-24,2619.0,NIFTY PSU BANK
2016-06-27,2693.0,NIFTY PSU BANK
2016-06-28,2693.0,NIFTY PSU BANK
2016-06-29,2705.0,NIFTY PSU BANK
2016-06-30,2725.0,NIFTY PSU BANK
2016-07-01,2742.0,NIFTY PSU BANK
2016-07-04,2812.0,NIFTY PSU BANK
2016-07-05,2823.0,NIFTY PSU BANK
2016-07-07,2796.0,NIFTY PSU BANK
2016-07-08,2770.0,NIFTY PSU BANK
2016-07-11,2876.0,NIFTY PSU BANK
2016-07-12,2887.0,NIFTY PSU BANK
2016-07-13,2882.0,NIFTY PSU BANK
2016-07-14,2958.0,NIFTY PSU BANK
2016-07-15,2955.0,NIFTY PSU BANK
2016-07-18,2900.0,NIFTY PSU BANK
2016-07-19,2908.0,NIFTY PSU BANK
2016-07-20,2914.0,NIFTY PSU BANK
2016-07-21,2832.0,NIFTY PSU BANK
2016-07-22,2797.0,NIFTY PSU BANK
2016-07-25,2898.0,NIFTY PSU BANK
2016-07-26,2865.0,NIFTY PSU BANK
2016-07-27,2895.0,NIFTY PSU BANK
2016-07-28,2896.0,NIFTY PSU BANK
2016-07-29,2863.0,NIFTY PSU BANK
2016-08-01,2825.0,NIFTY PSU BANK
2016-08-02,2845.0,NIFTY PSU BANK
2016-08-03,2824.0,NIFTY PSU BANK
2016-08-04,2844.0,NIFTY PSU BANK
2016-08-05,2915.0,NIFTY PSU BANK
2016-08-08,2905.0,NIFTY PSU BANK
2016-08-09,2926.0,NIFTY PSU BANK
2016-08-10,2878.0,NIFTY PSU BANK
2016-08-11,2797.0,NIFTY PSU BANK
2016-08-12,2961.0,NIFTY PSU BANK
2016-08-16,2984.0,NIFTY PSU BANK
2016-08-17,2996.0,NIFTY PSU BANK
2016-08-18,3029.0,NIFTY PSU BANK
2016-08-19,3136.0,NIFTY PSU BANK
2016-08-22,3100.0,NIFTY PSU BANK
2016-08-23,3113.0,NIFTY PSU BANK
2016-08-24,3109.0,NIFTY PSU BANK
2016-08-25,3070.0,NIFTY PSU BANK
2016-08-26,3019.0,NIFTY PSU BANK
2016-08-29,3045.0,NIFTY PSU BANK
2016-08-30,3109.0,NIFTY PSU BANK
2016-08-31,3110.0,NIFTY PSU BANK
2016-09-01,3087.0,NIFTY PSU BANK
2016-09-02,3129.0,NIFTY PSU BANK
2016-09-06,3202.0,NIFTY PSU BANK
2016-09-07,3299.0,NIFTY PSU BANK
2016-09-08,3323.0,NIFTY PSU BANK
2016-09-09,3288.0,NIFTY PSU BANK
2016-09-12,3132.0,NIFTY PSU BANK
2016-09-14,3213.0,NIFTY PSU BANK
2016-09-15,3183.0,NIFTY PSU BANK
2016-09-16,3154.0,NIFTY PSU BANK
2016-09-19,3174.0,NIFTY PSU BANK
2016-09-20,3161.0,NIFTY PSU BANK
2016-09-21,3123.0,NIFTY PSU BANK
2016-09-22,3212.0,NIFTY PSU BANK
2016-09-23,3176.0,NIFTY PSU BANK
2016-09-26,3143.0,NIFTY PSU BANK
2016-09-27,3112.0,NIFTY PSU BANK
2016-09-28,3188.0,NIFTY PSU BANK
2016-09-29,3067.0,NIFTY PSU BANK
2016-09-30,3130.0,NIFTY PSU BANK
2016-10-03,3188.0,NIFTY PSU BANK
2016-10-04,3246.0,NIFTY PSU BANK
2016-10-05,3252.0,NIFTY PSU BANK
2016-10-06,3193.0,NIFTY PSU BANK
2016-10-07,3211.0,NIFTY PSU BANK
2016-10-10,3185.0,NIFTY PSU BANK
2016-10-13,3081.0,NIFTY PSU BANK
2016-10-14,3103.0,NIFTY PSU BANK
2016-10-17,3090.0,NIFTY PSU BANK
2016-10-18,3152.0,NIFTY PSU BANK
2016-10-19,3142.0,NIFTY PSU BANK
2016-10-20,3209.0,NIFTY PSU BANK
2016-10-21,3196.0,NIFTY PSU BANK
2016-10-24,3242.0,NIFTY PSU BANK
2016-10-25,3220.0,NIFTY PSU BANK
2016-10-26,3180.0,NIFTY PSU BANK
2016-10-27,3144.0,NIFTY PSU BANK
2016-10-28,3177.0,NIFTY PSU BANK
2016-10-30,3174.0,NIFTY PSU BANK
2016-11-01,3178.0,NIFTY PSU BANK
2016-11-02,3067.0,NIFTY PSU BANK
2016-11-03,3006.0,NIFTY PSU BANK
2016-11-04,2961.0,NIFTY PSU BANK
2016-11-07,3076.0,NIFTY PSU BANK
2016-11-08,3073.0,NIFTY PSU BANK
2016-11-09,3138.0,NIFTY PSU BANK
2016-11-10,3412.0,NIFTY PSU BANK
2016-11-11,3320.0,NIFTY PSU BANK
2016-11-15,3395.0,NIFTY PSU BANK
2016-11-16,3373.0,NIFTY PSU BANK
2016-11-17,3377.0,NIFTY PSU BANK
2016-11-18,3383.0,NIFTY PSU BANK
2016-11-21,3150.0,NIFTY PSU BANK
2016-11-22,3154.0,NIFTY PSU BANK
2016-11-23,3163.0,NIFTY PSU BANK
2016-11-24,3202.0,NIFTY PSU BANK
2016-11-25,3209.0,NIFTY PSU BANK
2016-11-28,3127.0,NIFTY PSU BANK
2016-11-29,3114.0,NIFTY PSU BANK
2016-11-30,3180.0,NIFTY PSU BANK
2016-12-01,3141.0,NIFTY PSU BANK
2016-12-02,3114.0,NIFTY PSU BANK
2016-12-05,3147.0,NIFTY PSU BANK
2016-12-06,3161.0,NIFTY PSU BANK
2016-12-07,3110.0,NIFTY PSU BANK
2016-12-08,3153.0,NIFTY PSU BANK
2016-12-09,3231.0,NIFTY PSU BANK
2016-12-12,3181.0,NIFTY PSU BANK
2016-12-13,3200.0,NIFTY PSU BANK
2016-12-14,3159.0,NIFTY PSU BANK
2016-12-15,3183.0,NIFTY PSU BANK
2016-12-16,3169.0,NIFTY PSU BANK
2016-12-19,3135.0,NIFTY PSU BANK
2016-12-20,3055.0,NIFTY PSU BANK
2016-12-21,3060.0,NIFTY PSU BANK
2016-12-22,3002.0,NIFTY PSU BANK
2016-12-23,2991.0,NIFTY PSU BANK
2016-12-26,2911.0,NIFTY PSU BANK
2016-12-27,2961.0,NIFTY PSU BANK
2016-12-28,2948.0,NIFTY PSU BANK
2016-12-29,2948.0,NIFTY PSU BANK
2016-12-30,2982.0,NIFTY PSU BANK
2017-01-02,2922.0,NIFTY PSU BANK
2017-01-03,2940.0,NIFTY PSU BANK
2017-01-04,2916.0,NIFTY PSU BANK
2017-01-05,2954.0,NIFTY PSU BANK
2017-01-06,2970.0,NIFTY PSU BANK
2017-01-09,2982.0,NIFTY PSU BANK
2017-01-10,2993.0,NIFTY PSU BANK
2017-01-11,3062.0,NIFTY PSU BANK
2017-01-12,3054.0,NIFTY PSU BANK
2017-01-13,3048.0,NIFTY PSU BANK
2017-01-16,3100.0,NIFTY PSU BANK
2017-01-17,3106.0,NIFTY PSU BANK
2017-01-18,3126.0,NIFTY PSU BANK
2017-01-19,3137.0,NIFTY PSU BANK
2017-01-20,3040.0,NIFTY PSU BANK
2017-01-23,3073.0,NIFTY PSU BANK
2017-01-24,3091.0,NIFTY PSU BANK
2017-01-25,3153.0,NIFTY PSU BANK
2017-01-27,3234.0,NIFTY PSU BANK
2017-01-30,3223.0,NIFTY PSU BANK
2017-01-31,3174.0,NIFTY PSU BANK
2017-02-01,3300.0,NIFTY PSU BANK
2017-02-02,3348.0,NIFTY PSU BANK
2017-02-03,3445.0,NIFTY PSU BANK
2017-02-06,3432.0,NIFTY PSU BANK
2017-02-07,3450.0,NIFTY PSU BANK
2017-02-08,3440.0,NIFTY PSU BANK
2017-02-09,3404.0,NIFTY PSU BANK
2017-02-10,3414.0,NIFTY PSU BANK
2017-02-13,3312.0,NIFTY PSU BANK
2017-02-14,3308.0,NIFTY PSU BANK
2017-02-15,3260.0,NIFTY PSU BANK
2017-02-16,3284.0,NIFTY PSU BANK
