Date,Close,Index
2018-02-05,10179.0,NIFTY100 LOW VOLATILITY 30
2018-02-06,8076.0,NIFTY100 LOW VOLATILITY 30
2018-02-07,8053.0,NIFTY100 LOW VOLATILITY 30
2018-02-08,8142.0,NIFTY100 LOW VOLATILITY 30
2018-02-09,8085.0,NIFTY100 LOW VOLATILITY 30
2018-02-12,8148.0,NIFTY100 LOW VOLATILITY 30
2018-02-14,8130.0,NIFTY100 LOW VOLATILITY 30
2018-02-15,8134.0,NIFTY100 LOW VOLATILITY 30
2018-02-16,8099.0,NIFTY100 LOW VOLATILITY 30
2018-02-19,8035.0,NIFTY100 LOW VOLATILITY 30
2018-02-20,8034.0,NIFTY100 LOW VOLATILITY 30
2018-02-21,8051.0,NIFTY100 LOW VOLATILITY 30
2018-02-22,8013.0,NIFTY100 LOW VOLATILITY 30
2018-02-23,8074.0,NIFTY100 LOW VOLATILITY 30
2018-02-26,8116.0,NIFTY100 LOW VOLATILITY 30
2018-02-27,8104.0,NIFTY100 LOW VOLATILITY 30
2018-02-28,8081.0,NIFTY100 LOW VOLATILITY 30
2018-03-01,8084.0,NIFTY100 LOW VOLATILITY 30
2018-03-05,8032.0,NIFTY100 LOW VOLATILITY 30
2018-03-06,7969.0,NIFTY100 LOW VOLATILITY 30
2018-03-07,7936.0,NIFTY100 LOW VOLATILITY 30
2018-03-08,7964.0,NIFTY100 LOW VOLATILITY 30
2018-03-09,7968.0,NIFTY100 LOW VOLATILITY 30
2018-03-12,8079.0,NIFTY100 LOW VOLATILITY 30
2018-03-13,8060.0,NIFTY100 LOW VOLATILITY 30
2018-03-14,8066.0,NIFTY100 LOW VOLATILITY 30
2018-03-15,8055.0,NIFTY100 LOW VOLATILITY 30
2018-03-16,7950.0,NIFTY100 LOW VOLATILITY 30
2018-03-19,7880.0,NIFTY100 LOW VOLATILITY 30
2018-03-20,7895.0,NIFTY100 LOW VOLATILITY 30
2018-03-21,7918.0,NIFTY100 LOW VOLATILITY 30
2018-03-22,7882.0,NIFTY100 LOW VOLATILITY 30
2018-03-23,7858.0,NIFTY100 LOW VOLATILITY 30
2018-03-26,7902.0,NIFTY100 LOW VOLATILITY 30
2018-03-27,7935.0,NIFTY100 LOW VOLATILITY 30
2018-03-28,7937.0,NIFTY100 LOW VOLATILITY 30
2018-04-03,8112.0,NIFTY100 LOW VOLATILITY 30
2018-04-04,8037.0,NIFTY100 LOW VOLATILITY 30
2018-04-05,8135.0,NIFTY100 LOW VOLATILITY 30
2018-04-06,8134.0,NIFTY100 LOW VOLATILITY 30
2018-04-09,8172.0,NIFTY100 LOW VOLATILITY 30
2018-04-10,8146.0,NIFTY100 LOW VOLATILITY 30
2018-04-11,8186.0,NIFTY100 LOW VOLATILITY 30
2018-04-12,8232.0,NIFTY100 LOW VOLATILITY 30
2018-04-13,8250.0,NIFTY100 LOW VOLATILITY 30
2018-04-16,8327.0,NIFTY100 LOW VOLATILITY 30
2018-04-17,8346.0,NIFTY100 LOW VOLATILITY 30
2018-04-18,8349.0,NIFTY100 LOW VOLATILITY 30
2018-04-19,8388.0,NIFTY100 LOW VOLATILITY 30
2018-04-20,8449.0,NIFTY100 LOW VOLATILITY 30
2018-04-23,8491.0,NIFTY100 LOW VOLATILITY 30
2018-04-24,8472.0,NIFTY100 LOW VOLATILITY 30
2018-04-25,8477.0,NIFTY100 LOW VOLATILITY 30
2018-04-26,8508.0,NIFTY100 LOW VOLATILITY 30
2018-04-27,8495.0,NIFTY100 LOW VOLATILITY 30
2018-04-30,8565.0,NIFTY100 LOW VOLATILITY 30
2018-05-02,8523.0,NIFTY100 LOW VOLATILITY 30
2018-05-03,8472.0,NIFTY100 LOW VOLATILITY 30
2018-05-04,8413.0,NIFTY100 LOW VOLATILITY 30
2018-05-07,8469.0,NIFTY100 LOW VOLATILITY 30
2018-05-08,8448.0,NIFTY100 LOW VOLATILITY 30
2018-05-09,8448.0,NIFTY100 LOW VOLATILITY 30
2018-05-10,8417.0,NIFTY100 LOW VOLATILITY 30
2018-05-11,8466.0,NIFTY100 LOW VOLATILITY 30
2018-05-14,8479.0,NIFTY100 LOW VOLATILITY 30
2018-05-15,8479.0,NIFTY100 LOW VOLATILITY 30
2018-05-16,8475.0,NIFTY100 LOW VOLATILITY 30
2018-05-17,8438.0,NIFTY100 LOW VOLATILITY 30
2018-05-18,8405.0,NIFTY100 LOW VOLATILITY 30
2018-05-21,8342.0,NIFTY100 LOW VOLATILITY 30
2018-05-22,8360.0,NIFTY100 LOW VOLATILITY 30
2018-05-23,8302.0,NIFTY100 LOW VOLATILITY 30
2018-05-24,8335.0,NIFTY100 LOW VOLATILITY 30
2018-05-25,8401.0,NIFTY100 LOW VOLATILITY 30
2018-05-28,8420.0,NIFTY100 LOW VOLATILITY 30
2018-05-29,8412.0,NIFTY100 LOW VOLATILITY 30
2018-05-30,8418.0,NIFTY100 LOW VOLATILITY 30
2018-05-31,8509.0,NIFTY100 LOW VOLATILITY 30
2018-06-01,8460.0,NIFTY100 LOW VOLATILITY 30
2018-06-04,8409.0,NIFTY100 LOW VOLATILITY 30
2018-06-05,8361.0,NIFTY100 LOW VOLATILITY 30
2018-06-06,8429.0,NIFTY100 LOW VOLATILITY 30
2018-06-07,8482.0,NIFTY100 LOW VOLATILITY 30
2018-06-08,8462.0,NIFTY100 LOW VOLATILITY 30
2018-06-11,8473.0,NIFTY100 LOW VOLATILITY 30
2018-06-12,8513.0,NIFTY100 LOW VOLATILITY 30
2018-06-13,8540.0,NIFTY100 LOW VOLATILITY 30
2018-06-14,8518.0,NIFTY100 LOW VOLATILITY 30
2018-06-15,8532.0,NIFTY100 LOW VOLATILITY 30
2018-06-18,8497.0,NIFTY100 LOW VOLATILITY 30
2018-06-19,8413.0,NIFTY100 LOW VOLATILITY 30
2018-06-20,8439.0,NIFTY100 LOW VOLATILITY 30
2018-06-21,8386.0,NIFTY100 LOW VOLATILITY 30
2018-06-22,8436.0,NIFTY100 LOW VOLATILITY 30
2018-06-25,8415.0,NIFTY100 LOW VOLATILITY 30
2018-06-26,8448.0,NIFTY100 LOW VOLATILITY 30
2018-06-27,8403.0,NIFTY100 LOW VOLATILITY 30
2018-06-28,8338.0,NIFTY100 LOW VOLATILITY 30
2018-06-29,8434.0,NIFTY100 LOW VOLATILITY 30
2018-07-02,8384.0,NIFTY100 LOW VOLATILITY 30
2018-07-03,8423.0,NIFTY100 LOW VOLATILITY 30
2018-07-04,8470.0,NIFTY100 LOW VOLATILITY 30
2018-07-05,8505.0,NIFTY100 LOW VOLATILITY 30
2018-07-06,8503.0,NIFTY100 LOW VOLATILITY 30
2018-07-09,8572.0,NIFTY100 LOW VOLATILITY 30
2018-07-10,8636.0,NIFTY100 LOW VOLATILITY 30
2018-07-11,8633.0,NIFTY100 LOW VOLATILITY 30
2018-07-12,8652.0,NIFTY100 LOW VOLATILITY 30
2018-07-13,8657.0,NIFTY100 LOW VOLATILITY 30
2018-07-16,8612.0,NIFTY100 LOW VOLATILITY 30
2018-07-17,8629.0,NIFTY100 LOW VOLATILITY 30
2018-07-18,8603.0,NIFTY100 LOW VOLATILITY 30
2018-07-19,8573.0,NIFTY100 LOW VOLATILITY 30
2018-07-20,8562.0,NIFTY100 LOW VOLATILITY 30
2018-07-23,8589.0,NIFTY100 LOW VOLATILITY 30
2018-07-24,8652.0,NIFTY100 LOW VOLATILITY 30
2018-07-25,8629.0,NIFTY100 LOW VOLATILITY 30
2018-07-26,8631.0,NIFTY100 LOW VOLATILITY 30
2018-07-27,8688.0,NIFTY100 LOW VOLATILITY 30
2018-07-30,8700.0,NIFTY100 LOW VOLATILITY 30
2018-07-31,8786.0,NIFTY100 LOW VOLATILITY 30
2018-08-01,8792.0,NIFTY100 LOW VOLATILITY 30
2018-08-02,8740.0,NIFTY100 LOW VOLATILITY 30
2018-08-03,8794.0,NIFTY100 LOW VOLATILITY 30
2018-08-06,8777.0,NIFTY100 LOW VOLATILITY 30
2018-08-07,8797.0,NIFTY100 LOW VOLATILITY 30
2018-08-08,8820.0,NIFTY100 LOW VOLATILITY 30
2018-08-09,8824.0,NIFTY100 LOW VOLATILITY 30
2018-08-10,8820.0,NIFTY100 LOW VOLATILITY 30
2018-08-13,8808.0,NIFTY100 LOW VOLATILITY 30
2018-08-14,8867.0,NIFTY100 LOW VOLATILITY 30
2018-08-16,8831.0,NIFTY100 LOW VOLATILITY 30
2018-08-17,8890.0,NIFTY100 LOW VOLATILITY 30
2018-08-20,8935.0,NIFTY100 LOW VOLATILITY 30
2018-08-21,8976.0,NIFTY100 LOW VOLATILITY 30
2018-08-23,9030.0,NIFTY100 LOW VOLATILITY 30
2018-08-24,8996.0,NIFTY100 LOW VOLATILITY 30
2018-08-27,9079.0,NIFTY100 LOW VOLATILITY 30
2018-08-28,9107.0,NIFTY100 LOW VOLATILITY 30
2018-08-29,9066.0,NIFTY100 LOW VOLATILITY 30
2018-08-30,9089.0,NIFTY100 LOW VOLATILITY 30
2018-08-31,9149.0,NIFTY100 LOW VOLATILITY 30
2018-09-03,9056.0,NIFTY100 LOW VOLATILITY 30
2018-09-04,8942.0,NIFTY100 LOW VOLATILITY 30
2018-09-05,8919.0,NIFTY100 LOW VOLATILITY 30
2018-09-06,8983.0,NIFTY100 LOW VOLATILITY 30
2018-09-07,9063.0,NIFTY100 LOW VOLATILITY 30
2018-09-10,8928.0,NIFTY100 LOW VOLATILITY 30
2018-09-11,8825.0,NIFTY100 LOW VOLATILITY 30
2018-09-12,8897.0,NIFTY100 LOW VOLATILITY 30
2018-09-14,9008.0,NIFTY100 LOW VOLATILITY 30
2018-09-17,8940.0,NIFTY100 LOW VOLATILITY 30
2018-09-18,8887.0,NIFTY100 LOW VOLATILITY 30
2018-09-19,8851.0,NIFTY100 LOW VOLATILITY 30
2018-09-21,8790.0,NIFTY100 LOW VOLATILITY 30
2018-09-24,8654.0,NIFTY100 LOW VOLATILITY 30
2018-09-25,8741.0,NIFTY100 LOW VOLATILITY 30
2018-09-26,8672.0,NIFTY100 LOW VOLATILITY 30
2018-09-27,8652.0,NIFTY100 LOW VOLATILITY 30
2018-09-28,8592.0,NIFTY100 LOW VOLATILITY 30
2018-10-01,8663.0,NIFTY100 LOW VOLATILITY 30
2018-10-03,8527.0,NIFTY100 LOW VOLATILITY 30
2018-10-04,8364.0,NIFTY100 LOW VOLATILITY 30
2018-10-05,8241.0,NIFTY100 LOW VOLATILITY 30
2018-10-08,8230.0,NIFTY100 LOW VOLATILITY 30
2018-10-09,8186.0,NIFTY100 LOW VOLATILITY 30
2018-10-10,8265.0,NIFTY100 LOW VOLATILITY 30
2018-10-11,8124.0,NIFTY100 LOW VOLATILITY 30
2018-10-12,8309.0,NIFTY100 LOW VOLATILITY 30
2018-10-15,8309.0,NIFTY100 LOW VOLATILITY 30
2018-10-16,8362.0,NIFTY100 LOW VOLATILITY 30
2018-10-17,8298.0,NIFTY100 LOW VOLATILITY 30
2018-10-19,8196.0,NIFTY100 LOW VOLATILITY 30
2018-10-22,8142.0,NIFTY100 LOW VOLATILITY 30
2018-10-23,8046.0,NIFTY100 LOW VOLATILITY 30
2018-10-24,8083.0,NIFTY100 LOW VOLATILITY 30
2018-10-25,8060.0,NIFTY100 LOW VOLATILITY 30
2018-10-26,7992.0,NIFTY100 LOW VOLATILITY 30
2018-10-29,8073.0,NIFTY100 LOW VOLATILITY 30
2018-10-30,8038.0,NIFTY100 LOW VOLATILITY 30
2018-10-31,8163.0,NIFTY100 LOW VOLATILITY 30
2018-11-01,8118.0,NIFTY100 LOW VOLATILITY 30
2018-11-02,8216.0,NIFTY100 LOW VOLATILITY 30
2018-11-05,8193.0,NIFTY100 LOW VOLATILITY 30
2018-11-06,8174.0,NIFTY100 LOW VOLATILITY 30
2018-11-07,8236.0,NIFTY100 LOW VOLATILITY 30
2018-11-09,8286.0,NIFTY100 LOW VOLATILITY 30
2018-11-12,8213.0,NIFTY100 LOW VOLATILITY 30
2018-11-13,8278.0,NIFTY100 LOW VOLATILITY 30
2018-11-14,8284.0,NIFTY100 LOW VOLATILITY 30
2018-11-15,8308.0,NIFTY100 LOW VOLATILITY 30
2018-11-16,8371.0,NIFTY100 LOW VOLATILITY 30
2018-11-19,8429.0,NIFTY100 LOW VOLATILITY 30
2018-11-20,8341.0,NIFTY100 LOW VOLATILITY 30
2018-11-21,8298.0,NIFTY100 LOW VOLATILITY 30
2018-11-22,8246.0,NIFTY100 LOW VOLATILITY 30
2018-11-26,8357.0,NIFTY100 LOW VOLATILITY 30
2018-11-27,8384.0,NIFTY100 LOW VOLATILITY 30
2018-11-28,8412.0,NIFTY100 LOW VOLATILITY 30
2018-11-29,8487.0,NIFTY100 LOW VOLATILITY 30
2018-11-30,8528.0,NIFTY100 LOW VOLATILITY 30
2018-12-03,8574.0,NIFTY100 LOW VOLATILITY 30
2018-12-04,8567.0,NIFTY100 LOW VOLATILITY 30
2018-12-05,8515.0,NIFTY100 LOW VOLATILITY 30
2018-12-06,8364.0,NIFTY100 LOW VOLATILITY 30
2018-12-07,8438.0,NIFTY100 LOW VOLATILITY 30
2018-12-10,8292.0,NIFTY100 LOW VOLATILITY 30
2018-12-11,8369.0,NIFTY100 LOW VOLATILITY 30
2018-12-12,8539.0,NIFTY100 LOW VOLATILITY 30
2018-12-13,8609.0,NIFTY100 LOW VOLATILITY 30
2018-12-14,8625.0,NIFTY100 LOW VOLATILITY 30
2018-12-17,8673.0,NIFTY100 LOW VOLATILITY 30
2018-12-18,8690.0,NIFTY100 LOW VOLATILITY 30
2018-12-19,8753.0,NIFTY100 LOW VOLATILITY 30
2018-12-20,8733.0,NIFTY100 LOW VOLATILITY 30
2018-12-21,8597.0,NIFTY100 LOW VOLATILITY 30
2018-12-24,8499.0,NIFTY100 LOW VOLATILITY 30
2018-12-26,8512.0,NIFTY100 LOW VOLATILITY 30
2018-12-27,8557.0,NIFTY100 LOW VOLATILITY 30
2018-12-28,8587.0,NIFTY100 LOW VOLATILITY 30
2018-12-31,8605.0,NIFTY100 LOW VOLATILITY 30
2019-01-01,8593.0,NIFTY100 LOW VOLATILITY 30
2019-01-02,8508.0,NIFTY100 LOW VOLATILITY 30
2019-01-03,8437.0,NIFTY100 LOW VOLATILITY 30
2019-01-04,8450.0,NIFTY100 LOW VOLATILITY 30
2019-01-07,8484.0,NIFTY100 LOW VOLATILITY 30
2019-01-08,8468.0,NIFTY100 LOW VOLATILITY 30
2019-01-09,8490.0,NIFTY100 LOW VOLATILITY 30
2019-01-10,8480.0,NIFTY100 LOW VOLATILITY 30
2019-01-11,8461.0,NIFTY100 LOW VOLATILITY 30
2019-01-14,8416.0,NIFTY100 LOW VOLATILITY 30
2019-01-15,8525.0,NIFTY100 LOW VOLATILITY 30
2019-01-16,8519.0,NIFTY100 LOW VOLATILITY 30
