Date,Close,Index
2018-07-16,2688.0,NIFTY100 QUALITY 30
2018-07-17,2695.0,NIFTY100 QUALITY 30
2018-07-18,2694.0,NIFTY100 QUALITY 30
2018-07-19,2695.0,NIFTY100 QUALITY 30
2018-07-20,2697.0,NIFTY100 QUALITY 30
2018-07-23,2714.0,NIFTY100 QUALITY 30
2018-07-24,2728.0,NIFTY100 QUALITY 30
2018-07-25,2720.0,NIFTY100 QUALITY 30
2018-07-26,2710.0,NIFTY100 QUALITY 30
2018-07-27,2733.0,NIFTY100 QUALITY 30
2018-07-30,2733.0,NIFTY100 QUALITY 30
2018-07-31,2763.0,NIFTY100 QUALITY 30
2018-08-01,2764.0,NIFTY100 QUALITY 30
2018-08-02,2743.0,NIFTY100 QUALITY 30
2018-08-03,2763.0,NIFTY100 QUALITY 30
2018-08-06,2762.0,NIFTY100 QUALITY 30
2018-08-07,2778.0,NIFTY100 QUALITY 30
2018-08-08,2784.0,NIFTY100 QUALITY 30
2018-08-09,2784.0,NIFTY100 QUALITY 30
2018-08-10,2789.0,NIFTY100 QUALITY 30
2018-08-13,2774.0,NIFTY100 QUALITY 30
2018-08-14,2795.0,NIFTY100 QUALITY 30
2018-08-16,2795.0,NIFTY100 QUALITY 30
2018-08-17,2816.0,NIFTY100 QUALITY 30
2018-08-20,2819.0,NIFTY100 QUALITY 30
2018-08-21,2829.0,NIFTY100 QUALITY 30
2018-08-23,2849.0,NIFTY100 QUALITY 30
2018-08-24,2828.0,NIFTY100 QUALITY 30
2018-08-27,2848.0,NIFTY100 QUALITY 30
2018-08-28,2846.0,NIFTY100 QUALITY 30
2018-08-29,2836.0,NIFTY100 QUALITY 30
2018-08-30,2835.0,NIFTY100 QUALITY 30
2018-08-31,2842.0,NIFTY100 QUALITY 30
2018-09-03,2814.0,NIFTY100 QUALITY 30
2018-09-04,2767.0,NIFTY100 QUALITY 30
2018-09-05,2755.0,NIFTY100 QUALITY 30
2018-09-06,2754.0,NIFTY100 QUALITY 30
2018-09-07,2772.0,NIFTY100 QUALITY 30
2018-09-10,2731.0,NIFTY100 QUALITY 30
2018-09-11,2685.0,NIFTY100 QUALITY 30
2018-09-12,2708.0,NIFTY100 QUALITY 30
2018-09-14,2738.0,NIFTY100 QUALITY 30
2018-09-17,2713.0,NIFTY100 QUALITY 30
2018-09-18,2701.0,NIFTY100 QUALITY 30
2018-09-19,2683.0,NIFTY100 QUALITY 30
2018-09-21,2629.0,NIFTY100 QUALITY 30
2018-09-24,2584.0,NIFTY100 QUALITY 30
2018-09-25,2604.0,NIFTY100 QUALITY 30
2018-09-26,2590.0,NIFTY100 QUALITY 30
2018-09-27,2575.0,NIFTY100 QUALITY 30
2018-09-28,2543.0,NIFTY100 QUALITY 30
2018-10-01,2585.0,NIFTY100 QUALITY 30
2018-10-03,2551.0,NIFTY100 QUALITY 30
2018-10-04,2484.0,NIFTY100 QUALITY 30
2018-10-05,2448.0,NIFTY100 QUALITY 30
2018-10-08,2450.0,NIFTY100 QUALITY 30
2018-10-09,2419.0,NIFTY100 QUALITY 30
2018-10-10,2474.0,NIFTY100 QUALITY 30
2018-10-11,2433.0,NIFTY100 QUALITY 30
2018-10-12,2490.0,NIFTY100 QUALITY 30
2018-10-15,2495.0,NIFTY100 QUALITY 30
2018-10-16,2507.0,NIFTY100 QUALITY 30
2018-10-17,2467.0,NIFTY100 QUALITY 30
2018-10-19,2443.0,NIFTY100 QUALITY 30
2018-10-22,2442.0,NIFTY100 QUALITY 30
2018-10-23,2412.0,NIFTY100 QUALITY 30
2018-10-24,2426.0,NIFTY100 QUALITY 30
2018-10-25,2414.0,NIFTY100 QUALITY 30
2018-10-26,2397.0,NIFTY100 QUALITY 30
2018-10-29,2431.0,NIFTY100 QUALITY 30
2018-10-30,2435.0,NIFTY100 QUALITY 30
2018-10-31,2472.0,NIFTY100 QUALITY 30
2018-11-01,2467.0,NIFTY100 QUALITY 30
2018-11-02,2496.0,NIFTY100 QUALITY 30
2018-11-05,2492.0,NIFTY100 QUALITY 30
2018-11-06,2489.0,NIFTY100 QUALITY 30
2018-11-07,2506.0,NIFTY100 QUALITY 30
2018-11-09,2521.0,NIFTY100 QUALITY 30
2018-11-12,2497.0,NIFTY100 QUALITY 30
2018-11-13,2517.0,NIFTY100 QUALITY 30
2018-11-14,2526.0,NIFTY100 QUALITY 30
2018-11-15,2540.0,NIFTY100 QUALITY 30
2018-11-16,2547.0,NIFTY100 QUALITY 30
