Date,Close,Index
2018-02-05,11760.0,NIFTY50 EQUAL WEIGHT
2018-02-06,12590.0,NIFTY50 EQUAL WEIGHT
2018-02-07,12587.0,NIFTY50 EQUAL WEIGHT
2018-02-08,12716.0,NIFTY50 EQUAL WEIGHT
2018-02-09,12606.0,NIFTY50 EQUAL WEIGHT
2018-02-12,12702.0,NIFTY50 EQUAL WEIGHT
2018-02-14,12644.0,NIFTY50 EQUAL WEIGHT
2018-02-15,12675.0,NIFTY50 EQUAL WEIGHT
2018-02-16,12555.0,NIFTY50 EQUAL WEIGHT
2018-02-19,12421.0,NIFTY50 EQUAL WEIGHT
2018-02-20,12427.0,NIFTY50 EQUAL WEIGHT
2018-02-21,12437.0,NIFTY50 EQUAL WEIGHT
2018-02-22,12401.0,NIFTY50 EQUAL WEIGHT
2018-02-23,12554.0,NIFTY50 EQUAL WEIGHT
2018-02-26,12670.0,NIFTY50 EQUAL WEIGHT
2018-02-27,12626.0,NIFTY50 EQUAL WEIGHT
2018-02-28,12559.0,NIFTY50 EQUAL WEIGHT
2018-03-01,12536.0,NIFTY50 EQUAL WEIGHT
2018-03-05,12397.0,NIFTY50 EQUAL WEIGHT
2018-03-06,12298.0,NIFTY50 EQUAL WEIGHT
2018-03-07,12182.0,NIFTY50 EQUAL WEIGHT
2018-03-08,12238.0,NIFTY50 EQUAL WEIGHT
2018-03-09,12200.0,NIFTY50 EQUAL WEIGHT
2018-03-12,12414.0,NIFTY50 EQUAL WEIGHT
2018-03-13,12465.0,NIFTY50 EQUAL WEIGHT
2018-03-14,12443.0,NIFTY50 EQUAL WEIGHT
2018-03-15,12384.0,NIFTY50 EQUAL WEIGHT
2018-03-16,12179.0,NIFTY50 EQUAL WEIGHT
2018-03-19,12009.0,NIFTY50 EQUAL WEIGHT
2018-03-20,12069.0,NIFTY50 EQUAL WEIGHT
2018-03-21,12068.0,NIFTY50 EQUAL WEIGHT
2018-03-22,11996.0,NIFTY50 EQUAL WEIGHT
2018-03-23,11883.0,NIFTY50 EQUAL WEIGHT
2018-03-26,12009.0,NIFTY50 EQUAL WEIGHT
2018-03-27,12103.0,NIFTY50 EQUAL WEIGHT
2018-03-28,12047.0,NIFTY50 EQUAL WEIGHT
2018-04-03,12229.0,NIFTY50 EQUAL WEIGHT
2018-04-04,12077.0,NIFTY50 EQUAL WEIGHT
2018-04-05,12322.0,NIFTY50 EQUAL WEIGHT
2018-04-06,12340.0,NIFTY50 EQUAL WEIGHT
2018-04-09,12531.0,NIFTY50 EQUAL WEIGHT
2018-04-10,12424.0,NIFTY50 EQUAL WEIGHT
2018-04-11,12406.0,NIFTY50 EQUAL WEIGHT
2018-04-12,12416.0,NIFTY50 EQUAL WEIGHT
2018-04-13,12443.0,NIFTY50 EQUAL WEIGHT
2018-04-16,12514.0,NIFTY50 EQUAL WEIGHT
2018-04-17,12521.0,NIFTY50 EQUAL WEIGHT
2018-04-18,12501.0,NIFTY50 EQUAL WEIGHT
2018-04-19,12554.0,NIFTY50 EQUAL WEIGHT
2018-04-20,12544.0,NIFTY50 EQUAL WEIGHT
2018-04-23,12584.0,NIFTY50 EQUAL WEIGHT
2018-04-24,12578.0,NIFTY50 EQUAL WEIGHT
2018-04-25,12515.0,NIFTY50 EQUAL WEIGHT
2018-04-26,12537.0,NIFTY50 EQUAL WEIGHT
2018-04-27,12620.0,NIFTY50 EQUAL WEIGHT
2018-04-30,12670.0,NIFTY50 EQUAL WEIGHT
2018-05-02,12562.0,NIFTY50 EQUAL WEIGHT
2018-05-03,12514.0,NIFTY50 EQUAL WEIGHT
2018-05-04,12433.0,NIFTY50 EQUAL WEIGHT
2018-05-07,12546.0,NIFTY50 EQUAL WEIGHT
2018-05-08,12556.0,NIFTY50 EQUAL WEIGHT
2018-05-09,12564.0,NIFTY50 EQUAL WEIGHT
2018-05-10,12512.0,NIFTY50 EQUAL WEIGHT
2018-05-11,12596.0,NIFTY50 EQUAL WEIGHT
2018-05-14,12578.0,NIFTY50 EQUAL WEIGHT
2018-05-15,12571.0,NIFTY50 EQUAL WEIGHT
2018-05-16,12509.0,NIFTY50 EQUAL WEIGHT
2018-05-17,12480.0,NIFTY50 EQUAL WEIGHT
2018-05-18,12365.0,NIFTY50 EQUAL WEIGHT
2018-05-21,12240.0,NIFTY50 EQUAL WEIGHT
2018-05-22,12309.0,NIFTY50 EQUAL WEIGHT
2018-05-23,12157.0,NIFTY50 EQUAL WEIGHT
2018-05-24,12204.0,NIFTY50 EQUAL WEIGHT
2018-05-25,12356.0,NIFTY50 EQUAL WEIGHT
2018-05-28,12487.0,NIFTY50 EQUAL WEIGHT
2018-05-29,12431.0,NIFTY50 EQUAL WEIGHT
2018-05-30,12409.0,NIFTY50 EQUAL WEIGHT
2018-05-31,12499.0,NIFTY50 EQUAL WEIGHT
2018-06-01,12436.0,NIFTY50 EQUAL WEIGHT
2018-06-04,12360.0,NIFTY50 EQUAL WEIGHT
2018-06-05,12291.0,NIFTY50 EQUAL WEIGHT
2018-06-06,12424.0,NIFTY50 EQUAL WEIGHT
2018-06-07,12517.0,NIFTY50 EQUAL WEIGHT
2018-06-08,12554.0,NIFTY50 EQUAL WEIGHT
2018-06-11,12594.0,NIFTY50 EQUAL WEIGHT
2018-06-12,12648.0,NIFTY50 EQUAL WEIGHT
2018-06-13,12679.0,NIFTY50 EQUAL WEIGHT
2018-06-14,12627.0,NIFTY50 EQUAL WEIGHT
2018-06-15,12624.0,NIFTY50 EQUAL WEIGHT
2018-06-18,12613.0,NIFTY50 EQUAL WEIGHT
2018-06-19,12485.0,NIFTY50 EQUAL WEIGHT
2018-06-20,12510.0,NIFTY50 EQUAL WEIGHT
2018-06-21,12440.0,NIFTY50 EQUAL WEIGHT
2018-06-22,12538.0,NIFTY50 EQUAL WEIGHT
2018-06-25,12456.0,NIFTY50 EQUAL WEIGHT
2018-06-26,12466.0,NIFTY50 EQUAL WEIGHT
