Date,Close,Index
2015-11-09,3562.0,NIFTY50 VALUE 20
2015-11-10,3507.0,NIFTY50 VALUE 20
2015-11-11,3527.0,NIFTY50 VALUE 20
2015-11-13,3502.0,NIFTY50 VALUE 20
2015-11-16,3507.0,NIFTY50 VALUE 20
2015-11-17,3504.0,NIFTY50 VALUE 20
2015-11-18,3437.0,NIFTY50 VALUE 20
2015-11-19,3492.0,NIFTY50 VALUE 20
2015-11-20,3511.0,NIFTY50 VALUE 20
2015-11-23,3518.0,NIFTY50 VALUE 20
2015-11-24,3511.0,NIFTY50 VALUE 20
2015-11-26,3536.0,NIFTY50 VALUE 20
2015-11-27,3567.0,NIFTY50 VALUE 20
2015-11-30,3577.0,NIFTY50 VALUE 20
2015-12-01,3581.0,NIFTY50 VALUE 20
2015-12-02,3563.0,NIFTY50 VALUE 20
2015-12-03,3531.0,NIFTY50 VALUE 20
2015-12-04,3496.0,NIFTY50 VALUE 20
2015-12-07,3489.0,NIFTY50 VALUE 20
2015-12-08,3462.0,NIFTY50 VALUE 20
2015-12-09,3419.0,NIFTY50 VALUE 20
2015-12-10,3454.0,NIFTY50 VALUE 20
2015-12-11,3425.0,NIFTY50 VALUE 20
2015-12-14,3433.0,NIFTY50 VALUE 20
2015-12-15,3452.0,NIFTY50 VALUE 20
2015-12-16,3492.0,NIFTY50 VALUE 20
2015-12-17,3534.0,NIFTY50 VALUE 20
2015-12-18,3490.0,NIFTY50 VALUE 20
2015-12-21,3536.0,NIFTY50 VALUE 20
2015-12-22,3518.0,NIFTY50 VALUE 20
2015-12-23,3563.0,NIFTY50 VALUE 20
2015-12-24,3555.0,NIFTY50 VALUE 20
2015-12-28,3587.0,NIFTY50 VALUE 20
2015-12-29,3590.0,NIFTY50 VALUE 20
2015-12-30,3556.0,NIFTY50 VALUE 20
2015-12-31,3580.0,NIFTY50 VALUE 20
2016-01-01,3580.0,NIFTY50 VALUE 20
2016-01-04,3509.0,NIFTY50 VALUE 20
2016-01-05,3506.0,NIFTY50 VALUE 20
2016-01-06,3501.0,NIFTY50 VALUE 20
2016-01-07,3427.0,NIFTY50 VALUE 20
2016-01-08,3443.0,NIFTY50 VALUE 20
2016-01-11,3422.0,NIFTY50 VALUE 20
2016-01-12,3392.0,NIFTY50 VALUE 20
2016-01-13,3426.0,NIFTY50 VALUE 20
2016-01-14,3420.0,NIFTY50 VALUE 20
2016-01-15,3371.0,NIFTY50 VALUE 20
2016-01-18,3326.0,NIFTY50 VALUE 20
2016-01-19,3371.0,NIFTY50 VALUE 20
2016-01-20,3310.0,NIFTY50 VALUE 20
2016-01-21,3310.0,NIFTY50 VALUE 20
2016-01-22,3375.0,NIFTY50 VALUE 20
2016-01-25,3381.0,NIFTY50 VALUE 20
2016-01-27,3381.0,NIFTY50 VALUE 20
2016-01-28,3376.0,NIFTY50 VALUE 20
2016-01-29,3429.0,NIFTY50 VALUE 20
2016-02-01,3400.0,NIFTY50 VALUE 20
2016-02-02,3351.0,NIFTY50 VALUE 20
2016-02-03,3304.0,NIFTY50 VALUE 20
2016-02-04,3321.0,NIFTY50 VALUE 20
2016-02-05,3351.0,NIFTY50 VALUE 20
2016-02-08,3319.0,NIFTY50 VALUE 20
2016-02-09,3266.0,NIFTY50 VALUE 20
2016-02-10,3248.0,NIFTY50 VALUE 20
2016-02-11,3147.0,NIFTY50 VALUE 20
2016-02-12,3137.0,NIFTY50 VALUE 20
2016-02-15,3240.0,NIFTY50 VALUE 20
2016-02-16,3187.0,NIFTY50 VALUE 20
2016-02-17,3209.0,NIFTY50 VALUE 20
2016-02-18,3250.0,NIFTY50 VALUE 20
2016-02-19,3271.0,NIFTY50 VALUE 20
2016-02-22,3287.0,NIFTY50 VALUE 20
2016-02-23,3222.0,NIFTY50 VALUE 20
2016-02-24,3193.0,NIFTY50 VALUE 20
2016-02-25,3169.0,NIFTY50 VALUE 20
2016-02-26,3190.0,NIFTY50 VALUE 20
2016-02-29,3157.0,NIFTY50 VALUE 20
2016-03-01,3261.0,NIFTY50 VALUE 20
2016-03-02,3365.0,NIFTY50 VALUE 20
2016-03-03,3403.0,NIFTY50 VALUE 20
2016-03-04,3412.0,NIFTY50 VALUE 20
2016-03-08,3400.0,NIFTY50 VALUE 20
2016-03-09,3419.0,NIFTY50 VALUE 20
2016-03-10,3379.0,NIFTY50 VALUE 20
2016-03-11,3384.0,NIFTY50 VALUE 20
2016-03-14,3399.0,NIFTY50 VALUE 20
2016-03-15,3389.0,NIFTY50 VALUE 20
2016-03-16,3407.0,NIFTY50 VALUE 20
2016-03-17,3428.0,NIFTY50 VALUE 20
2016-03-18,3484.0,NIFTY50 VALUE 20
2016-03-21,3523.0,NIFTY50 VALUE 20
2016-03-22,3527.0,NIFTY50 VALUE 20
2016-03-23,3528.0,NIFTY50 VALUE 20
2016-03-28,3480.0,NIFTY50 VALUE 20
2016-03-29,3483.0,NIFTY50 VALUE 20
2016-03-30,3559.0,NIFTY50 VALUE 20
2016-03-31,3558.0,NIFTY50 VALUE 20
2016-04-01,3534.0,NIFTY50 VALUE 20
2016-04-04,3563.0,NIFTY50 VALUE 20
2016-04-05,3484.0,NIFTY50 VALUE 20
2016-04-06,3478.0,NIFTY50 VALUE 20
2016-04-07,3459.0,NIFTY50 VALUE 20
2016-04-08,3448.0,NIFTY50 VALUE 20
2016-04-11,3509.0,NIFTY50 VALUE 20
2016-04-12,3531.0,NIFTY50 VALUE 20
2016-04-13,3588.0,NIFTY50 VALUE 20
2016-04-18,3608.0,NIFTY50 VALUE 20
2016-04-20,3603.0,NIFTY50 VALUE 20
2016-04-21,3628.0,NIFTY50 VALUE 20
2016-04-22,3626.0,NIFTY50 VALUE 20
2016-04-25,3612.0,NIFTY50 VALUE 20
2016-04-26,3642.0,NIFTY50 VALUE 20
2016-04-27,3635.0,NIFTY50 VALUE 20
2016-04-28,3575.0,NIFTY50 VALUE 20
2016-04-29,3553.0,NIFTY50 VALUE 20
2016-05-02,3522.0,NIFTY50 VALUE 20
2016-05-03,3475.0,NIFTY50 VALUE 20
2016-05-04,3455.0,NIFTY50 VALUE 20
2016-05-05,3451.0,NIFTY50 VALUE 20
2016-05-06,3454.0,NIFTY50 VALUE 20
2016-05-09,3513.0,NIFTY50 VALUE 20
2016-05-10,3527.0,NIFTY50 VALUE 20
2016-05-11,3508.0,NIFTY50 VALUE 20
2016-05-12,3544.0,NIFTY50 VALUE 20
2016-05-13,3501.0,NIFTY50 VALUE 20
2016-05-16,3490.0,NIFTY50 VALUE 20
2016-05-17,3505.0,NIFTY50 VALUE 20
2016-05-18,3501.0,NIFTY50 VALUE 20
2016-05-19,3464.0,NIFTY50 VALUE 20
2016-05-20,3438.0,NIFTY50 VALUE 20
2016-05-23,3416.0,NIFTY50 VALUE 20
2016-05-24,3424.0,NIFTY50 VALUE 20
2016-05-25,3502.0,NIFTY50 VALUE 20
2016-05-26,3548.0,NIFTY50 VALUE 20
2016-05-27,3597.0,NIFTY50 VALUE 20
2016-05-30,3628.0,NIFTY50 VALUE 20
2016-05-31,3605.0,NIFTY50 VALUE 20
2016-06-01,3610.0,NIFTY50 VALUE 20
2016-06-02,3636.0,NIFTY50 VALUE 20
2016-06-03,3649.0,NIFTY50 VALUE 20
2016-06-06,3632.0,NIFTY50 VALUE 20
2016-06-07,3670.0,NIFTY50 VALUE 20
2016-06-08,3675.0,NIFTY50 VALUE 20
2016-06-09,3653.0,NIFTY50 VALUE 20
2016-06-10,3633.0,NIFTY50 VALUE 20
2016-06-13,3601.0,NIFTY50 VALUE 20
2016-06-14,3598.0,NIFTY50 VALUE 20
2016-06-15,3644.0,NIFTY50 VALUE 20
2016-06-16,3614.0,NIFTY50 VALUE 20
2016-06-17,3624.0,NIFTY50 VALUE 20
2016-06-20,3666.0,NIFTY50 VALUE 20
2016-06-21,3655.0,NIFTY50 VALUE 20
2016-06-22,3653.0,NIFTY50 VALUE 20
2016-06-23,3670.0,NIFTY50 VALUE 20
2016-06-24,3584.0,NIFTY50 VALUE 20
2016-06-27,3568.0,NIFTY50 VALUE 20
2016-06-28,3566.0,NIFTY50 VALUE 20
2016-06-29,3608.0,NIFTY50 VALUE 20
2016-06-30,3649.0,NIFTY50 VALUE 20
2016-07-01,3658.0,NIFTY50 VALUE 20
2016-07-04,3698.0,NIFTY50 VALUE 20
2016-07-05,3678.0,NIFTY50 VALUE 20
2016-07-07,3651.0,NIFTY50 VALUE 20
2016-07-08,3638.0,NIFTY50 VALUE 20
2016-07-11,3700.0,NIFTY50 VALUE 20
2016-07-12,3740.0,NIFTY50 VALUE 20
2016-07-13,3761.0,NIFTY50 VALUE 20
2016-07-14,3783.0,NIFTY50 VALUE 20
2016-07-15,3728.0,NIFTY50 VALUE 20
2016-07-18,3706.0,NIFTY50 VALUE 20
2016-07-19,3726.0,NIFTY50 VALUE 20
2016-07-20,3736.0,NIFTY50 VALUE 20
2016-07-21,3699.0,NIFTY50 VALUE 20
2016-07-22,3700.0,NIFTY50 VALUE 20
2016-07-25,3743.0,NIFTY50 VALUE 20
2016-07-26,3730.0,NIFTY50 VALUE 20
2016-07-27,3745.0,NIFTY50 VALUE 20
2016-07-28,3753.0,NIFTY50 VALUE 20
2016-07-29,3727.0,NIFTY50 VALUE 20
2016-08-01,3731.0,NIFTY50 VALUE 20
2016-08-02,3723.0,NIFTY50 VALUE 20
2016-08-03,3695.0,NIFTY50 VALUE 20
2016-08-04,3696.0,NIFTY50 VALUE 20
2016-08-05,3755.0,NIFTY50 VALUE 20
2016-08-08,3767.0,NIFTY50 VALUE 20
2016-08-09,3772.0,NIFTY50 VALUE 20
2016-08-10,3732.0,NIFTY50 VALUE 20
2016-08-11,3745.0,NIFTY50 VALUE 20
2016-08-12,3788.0,NIFTY50 VALUE 20
2016-08-16,3769.0,NIFTY50 VALUE 20
2016-08-17,3754.0,NIFTY50 VALUE 20
2016-08-18,3771.0,NIFTY50 VALUE 20
2016-08-19,3772.0,NIFTY50 VALUE 20
2016-08-22,3745.0,NIFTY50 VALUE 20
2016-08-23,3755.0,NIFTY50 VALUE 20
2016-08-24,3760.0,NIFTY50 VALUE 20
2016-08-25,3730.0,NIFTY50 VALUE 20
2016-08-26,3709.0,NIFTY50 VALUE 20
2016-08-29,3734.0,NIFTY50 VALUE 20
2016-08-30,3788.0,NIFTY50 VALUE 20
2016-08-31,3777.0,NIFTY50 VALUE 20
2016-09-01,3762.0,NIFTY50 VALUE 20
2016-09-02,3761.0,NIFTY50 VALUE 20
2016-09-06,3823.0,NIFTY50 VALUE 20
2016-09-07,3831.0,NIFTY50 VALUE 20
2016-09-08,3823.0,NIFTY50 VALUE 20
2016-09-09,3811.0,NIFTY50 VALUE 20
2016-09-12,3764.0,NIFTY50 VALUE 20
2016-09-14,3771.0,NIFTY50 VALUE 20
2016-09-15,3763.0,NIFTY50 VALUE 20
2016-09-16,3789.0,NIFTY50 VALUE 20
2016-09-19,3810.0,NIFTY50 VALUE 20
2016-09-20,3791.0,NIFTY50 VALUE 20
2016-09-21,3794.0,NIFTY50 VALUE 20
2016-09-22,3823.0,NIFTY50 VALUE 20
2016-09-23,3798.0,NIFTY50 VALUE 20
2016-09-26,3757.0,NIFTY50 VALUE 20
2016-09-27,3752.0,NIFTY50 VALUE 20
2016-09-28,3758.0,NIFTY50 VALUE 20
2016-09-29,3697.0,NIFTY50 VALUE 20
2016-09-30,3717.0,NIFTY50 VALUE 20
2016-10-03,3754.0,NIFTY50 VALUE 20
2016-10-04,3782.0,NIFTY50 VALUE 20
2016-10-05,3758.0,NIFTY50 VALUE 20
2016-10-06,3747.0,NIFTY50 VALUE 20
2016-10-07,3738.0,NIFTY50 VALUE 20
2016-10-10,3740.0,NIFTY50 VALUE 20
2016-10-13,3686.0,NIFTY50 VALUE 20
2016-10-14,3691.0,NIFTY50 VALUE 20
2016-10-17,3701.0,NIFTY50 VALUE 20
2016-10-18,3770.0,NIFTY50 VALUE 20
2016-10-19,3766.0,NIFTY50 VALUE 20
2016-10-20,3793.0,NIFTY50 VALUE 20
2016-10-21,3785.0,NIFTY50 VALUE 20
2016-10-24,3797.0,NIFTY50 VALUE 20
2016-10-25,3788.0,NIFTY50 VALUE 20
