TYPE,INDEX,ETF,EXTRACT_DATA
BROAD MARKET INDEX,NIFTY 100,NIF100BEES,1
BROAD MARKET INDEX,NIFTY 200,-,0
BROAD MARKET INDEX,NIFTY 50,NIFTYBEES,1
BROAD MARKET INDEX,NIFTY 500,ICICI500.NS,2
BROAD MARKET INDEX,NIFTY LARGEMIDCAP 250,-,1
BROAD MARKET INDEX,NIFTY MICROCAP 250,-,1
BROAD MARKET INDEX,NIFTY MIDCAP 100,MOM100,1
BROAD MARKET INDEX,NIFTY MIDCAP 150,MID150BEES,1
BROAD MARKET INDEX,NIFTY MIDCAP 50,KOTAKMID50,1
BROAD MARKET INDEX,NIFTY MIDCAP SELECT,ICICIMCAP.NS,2
BROAD MARKET INDEX,NIFTY MIDSML 400,-,0
BROAD MARKET INDEX,NIFTY NEXT 50,JUNIORBEES,1
BROAD MARKET INDEX,NIFTY SMALLCAP 100,-,0
BROAD MARKET INDEX,NIFTY SMALLCAP 250,NIFTY SMLCAP 250,1
BROAD MARKET INDEX,NIFTY SMALLCAP 50,-,1
BROAD MARKET INDEX,NIFTY TOTAL MKT,-,0
BROAD MARKET INDEX,NIFTY500 MULTICAP,-,0
GOLD,DOMESTIC PRICE OF GOLD INDEX,GOLDBEES.NS,2
INTERNATIONAL,HANG SENG INDEX,HNGSNGBEES.NS,0
INTERNATIONAL,HANG SENG TECH TOTAL RETURNS INDEX,MAHKTECH,0
INTERNATIONAL,NASDAQ100,MON100,0
INTERNATIONAL,NASDAR Q50 TOTAL RETURN INDEX,MONQ50,0
INTERNATIONAL,NYSE FANG,MAFANG,0
OTHER,S&P BSE BHARAT 22 INDEX,ICICIB22.NS,2
SECTORAL INDEX,NIFTY AUTO,AUTOBEES,1
SECTORAL INDEX,NIFTY BANK,BANKBEES,1
SECTORAL INDEX,NIFTY CONUMER DURABLES,-,0
SECTORAL INDEX,NIFTY FINANCIAL SERVICES,MAFSETF,1
SECTORAL INDEX,NIFTY FINANCIAL SERVICES 25/50,-,0
SECTORAL INDEX,NIFTY FINANCIAL SERVICES EX-BANK,-,0
SECTORAL INDEX,NIFTY FMCG,ICICIFMCG,1
SECTORAL INDEX,NIFTY HEALTHCARE INDEX,ICICIPHARM,1
SECTORAL INDEX,NIFTY IT,ITBEES,1
SECTORAL INDEX,NIFTY MEDIA,-,0
SECTORAL INDEX,NIFTY METAL,-,0
SECTORAL INDEX,NIFTY MIDSMALL FINANCIAL SERVICES,-,0
SECTORAL INDEX,NIFTY MIDSMALL HEALTHCARE,-,0
SECTORAL INDEX,NIFTY MIDSMALL IT & TELECOM,-,0
SECTORAL INDEX,NIFTY OIL AND GAS,-,0
SECTORAL INDEX,NIFTY PHARMA,PHARMABEES,1
SECTORAL INDEX,NIFTY PRIVATE BANK,ICICIBANKP,1
SECTORAL INDEX,NIFTY PSU BANK,PSUBNKBEES,1
SECTORAL INDEX,NIFTY REALTY,-,0
SILVER,DOMESTIC PRICE OF SILVER,SILVERBEES.NS,2
STRATEGY INDEX,NIFTY 100 ALPHA 30,-,0
STRATEGY INDEX,NIFTY 200 ALPHA 30,-,0
STRATEGY INDEX,NIFTY200 MOMENTUM 30,MOMOMENTUM,1
STRATEGY INDEX,NIFTY 500 VALUE 50,-,0
STRATEGY INDEX,NIFTY ALPHA 50,KOTAKALPHA,1
STRATEGY INDEX,NIFTY ALPHA QUALITY LOW VOLATILITY 30,ICICIALPLV,0
STRATEGY INDEX,NIFTY ALPHA QUALITY VALUE LOW VOLATILITY 30,-,0
STRATEGY INDEX,NIFTY DIVIDEND OPPORTUNITIES 50,DIVOPPBEES,1
STRATEGY INDEX,NIFTY GROWTH SECTORS 15,-,0
STRATEGY INDEX,NIFTY HIGH BETA 50,-,0
STRATEGY INDEX,NIFTY LOW VOLATILITY 50,-,0
STRATEGY INDEX,NIFTY MIDCAP 150 MOMENTUM 50,-,0
STRATEGY INDEX,NIFTY MIDCAP150 QUALITY 50,DSPQ50ETF,1
STRATEGY INDEX,NIFTY SMALLCAP 250 QUALITY 50,-,0
STRATEGY INDEX,NIFTY100 EQUAL WEIGHT,-,1
STRATEGY INDEX,NIFTY100 LOW VOLATILITY 30,ICICILOVOL,1
STRATEGY INDEX,NIFTY100 QUALITY 30,,1
STRATEGY INDEX,NIFTY200 QUALITY 30,SBIETFQLTY,1
STRATEGY INDEX,NIFTY50 EQUAL WEIGHT,DSPNEWETF,1
STRATEGY INDEX,NIFTY50 VALUE 20,ICICINV20,1
THEMATIC INDEX,NIFTY ADITYA BIRLA GROUP,-,0
THEMATIC INDEX,NIFTY COMMODITIES,-,1
