Date,Close,Index
2018-05-11,14.9,ICICI500.NS
2018-05-18,14.6,ICICI500.NS
2018-05-25,14.8,ICICI500.NS
2018-06-01,14.9,ICICI500.NS
2018-06-08,14.9,ICICI500.NS
2018-06-15,14.6,ICICI500.NS
2018-06-22,14.7,ICICI500.NS
2018-06-29,14.6,ICICI500.NS
2018-07-06,14.6,ICICI500.NS
2018-07-13,14.8,ICICI500.NS
2018-07-20,14.8,ICICI500.NS
2018-07-27,15.2,ICICI500.NS
2018-08-03,15.3,ICICI500.NS
2018-08-10,15.5,ICICI500.NS
2018-08-17,15.6,ICICI500.NS
2018-08-24,15.7,ICICI500.NS
2018-08-31,15.8,ICICI500.NS
2018-09-07,15.6,ICICI500.NS
2018-09-14,15.6,ICICI500.NS
2018-09-21,14.9,ICICI500.NS
2018-09-28,14.5,ICICI500.NS
2018-10-05,15.0,ICICI500.NS
2018-10-12,14.0,ICICI500.NS
2018-10-19,14.0,ICICI500.NS
2018-10-26,13.6,ICICI500.NS
2018-11-02,14.3,ICICI500.NS
2018-11-09,14.4,ICICI500.NS
2018-11-16,14.4,ICICI500.NS
2018-11-23,14.1,ICICI500.NS
2018-11-30,14.6,ICICI500.NS
2018-12-07,14.3,ICICI500.NS
2018-12-14,14.8,ICICI500.NS
2018-12-21,14.6,ICICI500.NS
2018-12-28,14.6,ICICI500.NS
2019-01-04,14.5,ICICI500.NS
2019-01-11,14.6,ICICI500.NS
2019-01-18,14.6,ICICI500.NS
2019-01-25,15.0,ICICI500.NS
2019-02-01,14.5,ICICI500.NS
2019-02-08,14.8,ICICI500.NS
2019-02-15,14.2,ICICI500.NS
2019-02-22,14.3,ICICI500.NS
2019-03-01,14.7,ICICI500.NS
2019-03-08,14.7,ICICI500.NS
2019-03-15,15.2,ICICI500.NS
2019-03-22,15.2,ICICI500.NS
2019-03-29,15.3,ICICI500.NS
2019-04-05,15.5,ICICI500.NS
2019-04-12,15.4,ICICI500.NS
2019-04-19,15.5,ICICI500.NS
2019-04-26,15.5,ICICI500.NS
2019-05-03,15.4,ICICI500.NS
2019-05-10,14.9,ICICI500.NS
2019-05-17,15.0,ICICI500.NS
2019-05-24,15.5,ICICI500.NS
2019-05-31,15.6,ICICI500.NS
2019-06-07,15.6,ICICI500.NS
2019-06-14,15.5,ICICI500.NS
2019-06-21,15.4,ICICI500.NS
2019-06-28,15.5,ICICI500.NS
2019-07-05,15.5,ICICI500.NS
2019-07-12,15.2,ICICI500.NS
2019-07-19,15.0,ICICI500.NS
2019-07-26,14.8,ICICI500.NS
2019-08-02,14.4,ICICI500.NS
2019-08-09,14.6,ICICI500.NS
2019-08-16,14.5,ICICI500.NS
2019-08-23,14.2,ICICI500.NS
2019-08-30,14.5,ICICI500.NS
2019-09-06,14.4,ICICI500.NS
2019-09-13,14.7,ICICI500.NS
2019-09-20,14.9,ICICI500.NS
2019-09-27,15.2,ICICI500.NS
2019-10-04,14.8,ICICI500.NS
2019-10-11,14.9,ICICI500.NS
2019-10-18,15.3,ICICI500.NS
2019-10-25,15.2,ICICI500.NS
2019-11-01,15.7,ICICI500.NS
2019-11-08,15.7,ICICI500.NS
2019-11-15,15.7,ICICI500.NS
2019-11-22,15.7,ICICI500.NS
2019-11-29,15.9,ICICI500.NS
2019-12-06,15.6,ICICI500.NS
2019-12-13,15.9,ICICI500.NS
2019-12-20,16.0,ICICI500.NS
2019-12-27,16.0,ICICI500.NS
2020-01-03,16.0,ICICI500.NS
2020-01-10,16.3,ICICI500.NS
2020-01-17,16.4,ICICI500.NS
2020-01-24,16.4,ICICI500.NS
2020-01-31,16.0,ICICI500.NS
2020-02-07,16.2,ICICI500.NS
2020-02-14,16.2,ICICI500.NS
2020-02-21,16.1,ICICI500.NS
2020-02-28,15.0,ICICI500.NS
2020-03-06,14.7,ICICI500.NS
2020-03-13,13.3,ICICI500.NS
2020-03-20,11.7,ICICI500.NS
2020-03-27,12.4,ICICI500.NS
2020-04-03,11.2,ICICI500.NS
2020-04-10,12.3,ICICI500.NS
2020-04-17,12.1,ICICI500.NS
2020-04-24,12.2,ICICI500.NS
2020-05-01,12.6,ICICI500.NS
2020-05-08,12.2,ICICI500.NS
2020-05-15,12.1,ICICI500.NS
2020-05-22,12.1,ICICI500.NS
2020-05-29,12.6,ICICI500.NS
2020-06-05,13.4,ICICI500.NS
2020-06-12,13.3,ICICI500.NS
2020-06-19,13.6,ICICI500.NS
2020-06-26,14.0,ICICI500.NS
2020-07-03,14.1,ICICI500.NS
2020-07-10,14.4,ICICI500.NS
2020-07-17,14.4,ICICI500.NS
2020-07-24,14.7,ICICI500.NS
2020-07-31,14.7,ICICI500.NS
2020-08-07,15.0,ICICI500.NS
2020-08-14,15.1,ICICI500.NS
2020-08-21,15.4,ICICI500.NS
2020-08-28,15.7,ICICI500.NS
2020-09-04,15.4,ICICI500.NS
2020-09-11,15.4,ICICI500.NS
2020-09-18,15.7,ICICI500.NS
2020-09-25,15.0,ICICI500.NS
2020-10-02,15.4,ICICI500.NS
2020-10-09,15.9,ICICI500.NS
2020-10-16,15.7,ICICI500.NS
2020-10-23,16.0,ICICI500.NS
2020-10-30,15.7,ICICI500.NS
2020-11-06,16.4,ICICI500.NS
2020-11-13,16.9,ICICI500.NS
2020-11-20,17.2,ICICI500.NS
2020-11-27,17.5,ICICI500.NS
2020-12-04,17.9,ICICI500.NS
2020-12-11,18.2,ICICI500.NS
2020-12-18,18.6,ICICI500.NS
2020-12-25,18.4,ICICI500.NS
2021-01-01,19.0,ICICI500.NS
2021-01-08,19.4,ICICI500.NS
2021-01-15,19.6,ICICI500.NS
2021-01-22,19.4,ICICI500.NS
2021-01-29,18.5,ICICI500.NS
2021-02-05,20.1,ICICI500.NS
2021-02-12,20.5,ICICI500.NS
2021-02-19,20.4,ICICI500.NS
2021-02-26,20.2,ICICI500.NS
2021-03-05,20.6,ICICI500.NS
2021-03-12,20.7,ICICI500.NS
2021-03-19,20.0,ICICI500.NS
2021-03-26,20.0,ICICI500.NS
2021-04-02,20.4,ICICI500.NS
2021-04-09,20.6,ICICI500.NS
2021-04-16,20.3,ICICI500.NS
2021-04-23,19.8,ICICI500.NS
2021-04-30,20.3,ICICI500.NS
2021-05-07,20.7,ICICI500.NS
2021-05-14,20.5,ICICI500.NS
2021-05-21,21.2,ICICI500.NS
2021-05-28,21.5,ICICI500.NS
2021-06-04,22.0,ICICI500.NS
2021-06-11,22.3,ICICI500.NS
2021-06-18,22.0,ICICI500.NS
2021-06-25,22.3,ICICI500.NS
