Date,Close,Index
2015-11-13,16933.0,NIFTY BANK
2015-11-20,17056.0,NIFTY BANK
2015-11-27,17371.0,NIFTY BANK
2015-12-04,16897.0,NIFTY BANK
2015-12-11,16342.0,NIFTY BANK
2015-12-18,16594.0,NIFTY BANK
2015-12-25,16811.0,NIFTY BANK
2016-01-01,17039.0,NIFTY BANK
2016-01-08,16143.0,NIFTY BANK
2016-01-15,15206.0,NIFTY BANK
2016-01-22,15498.0,NIFTY BANK
2016-01-29,15522.0,NIFTY BANK
2016-02-05,15162.0,NIFTY BANK
2016-02-12,13972.0,NIFTY BANK
2016-02-19,14344.0,NIFTY BANK
2016-02-26,13791.0,NIFTY BANK
2016-03-04,15339.0,NIFTY BANK
2016-03-11,15168.0,NIFTY BANK
2016-03-18,15655.0,NIFTY BANK
2016-03-25,15888.0,NIFTY BANK
2016-04-01,16175.0,NIFTY BANK
2016-04-08,15568.0,NIFTY BANK
2016-04-15,16279.0,NIFTY BANK
2016-04-22,16703.0,NIFTY BANK
2016-04-29,16795.0,NIFTY BANK
2016-05-06,16297.0,NIFTY BANK
2016-05-13,16717.0,NIFTY BANK
2016-05-20,16481.0,NIFTY BANK
2016-05-27,17512.0,NIFTY BANK
2016-06-03,17681.0,NIFTY BANK
2016-06-10,17829.0,NIFTY BANK
2016-06-17,17696.0,NIFTY BANK
2016-06-24,17426.0,NIFTY BANK
2016-07-01,17986.0,NIFTY BANK
2016-07-08,18016.0,NIFTY BANK
2016-07-15,18954.0,NIFTY BANK
2016-07-22,18690.0,NIFTY BANK
2016-07-29,18953.0,NIFTY BANK
2016-08-05,18926.0,NIFTY BANK
2016-08-12,18964.0,NIFTY BANK
2016-08-19,19415.0,NIFTY BANK
2016-08-26,19196.0,NIFTY BANK
2016-09-02,19883.0,NIFTY BANK
2016-09-09,20245.0,NIFTY BANK
2016-09-16,19855.0,NIFTY BANK
2016-09-23,19902.0,NIFTY BANK
2016-09-30,19286.0,NIFTY BANK
2016-10-07,19400.0,NIFTY BANK
2016-10-14,19020.0,NIFTY BANK
2016-10-21,19711.0,NIFTY BANK
2016-10-28,19556.0,NIFTY BANK
2016-11-04,19058.0,NIFTY BANK
2016-11-11,19739.0,NIFTY BANK
2016-11-18,18959.0,NIFTY BANK
2016-11-25,18507.0,NIFTY BANK
2016-12-02,18248.0,NIFTY BANK
2016-12-09,18696.0,NIFTY BANK
2016-12-16,18313.0,NIFTY BANK
2016-12-23,17884.0,NIFTY BANK
2016-12-30,18177.0,NIFTY BANK
2017-01-06,18264.0,NIFTY BANK
2017-01-13,18912.0,NIFTY BANK
2017-01-20,18821.0,NIFTY BANK
2017-01-27,19708.0,NIFTY BANK
2017-02-03,20197.0,NIFTY BANK
2017-02-10,20214.0,NIFTY BANK
2017-02-17,20551.0,NIFTY BANK
2017-02-24,20877.0,NIFTY BANK
2017-03-03,20496.0,NIFTY BANK
2017-03-10,20728.0,NIFTY BANK
2017-03-17,21175.0,NIFTY BANK
2017-03-24,21123.0,NIFTY BANK
2017-03-31,21444.0,NIFTY BANK
2017-04-07,21431.0,NIFTY BANK
2017-04-14,21687.0,NIFTY BANK
2017-04-21,21551.0,NIFTY BANK
2017-04-28,22358.0,NIFTY BANK
2017-05-05,22605.0,NIFTY BANK
2017-05-12,22672.0,NIFTY BANK
2017-05-19,22770.0,NIFTY BANK
2017-05-26,23362.0,NIFTY BANK
2017-06-02,23376.0,NIFTY BANK
2017-06-09,23691.0,NIFTY BANK
2017-06-16,23503.0,NIFTY BANK
2017-06-23,23543.0,NIFTY BANK
2017-06-30,23211.0,NIFTY BANK
2017-07-07,23449.0,NIFTY BANK
2017-07-14,23938.0,NIFTY BANK
2017-07-21,24257.0,NIFTY BANK
2017-07-28,24811.0,NIFTY BANK
2017-08-04,24827.0,NIFTY BANK
2017-08-11,23986.0,NIFTY BANK
2017-08-18,24074.0,NIFTY BANK
2017-08-25,24274.0,NIFTY BANK
2017-09-01,24434.0,NIFTY BANK
2017-09-08,24371.0,NIFTY BANK
2017-09-15,24844.0,NIFTY BANK
2017-09-22,24369.0,NIFTY BANK
2017-09-29,24053.0,NIFTY BANK
2017-10-06,24190.0,NIFTY BANK
2017-10-13,24689.0,NIFTY BANK
2017-10-20,24010.0,NIFTY BANK
2017-10-27,24840.0,NIFTY BANK
2017-11-03,25651.0,NIFTY BANK
2017-11-10,25499.0,NIFTY BANK
2017-11-17,25728.0,NIFTY BANK
2017-11-24,25780.0,NIFTY BANK
2017-12-01,25192.0,NIFTY BANK
2017-12-08,25321.0,NIFTY BANK
2017-12-15,25440.0,NIFTY BANK
2017-12-22,25649.0,NIFTY BANK
2017-12-29,25539.0,NIFTY BANK
2018-01-05,25602.0,NIFTY BANK
2018-01-12,25749.0,NIFTY BANK
2018-01-19,26910.0,NIFTY BANK
2018-01-26,27446.0,NIFTY BANK
2018-02-02,26451.0,NIFTY BANK
2018-02-09,25464.0,NIFTY BANK
2018-02-16,25164.0,NIFTY BANK
2018-02-23,25302.0,NIFTY BANK
2018-03-02,24903.0,NIFTY BANK
2018-03-09,24296.0,NIFTY BANK
2018-03-16,24490.0,NIFTY BANK
2018-03-23,23670.0,NIFTY BANK
2018-03-30,24263.0,NIFTY BANK
2018-04-06,24873.0,NIFTY BANK
2018-04-13,25201.0,NIFTY BANK
2018-04-20,24944.0,NIFTY BANK
2018-04-27,25395.0,NIFTY BANK
2018-05-04,25645.0,NIFTY BANK
2018-05-11,26413.0,NIFTY BANK
2018-05-18,25876.0,NIFTY BANK
2018-05-25,26274.0,NIFTY BANK
2018-06-01,26693.0,NIFTY BANK
2018-06-08,26451.0,NIFTY BANK
2018-06-15,26417.0,NIFTY BANK
2018-06-22,26767.0,NIFTY BANK
2018-06-29,26364.0,NIFTY BANK
2018-07-06,26494.0,NIFTY BANK
2018-07-13,26936.0,NIFTY BANK
2018-07-20,26873.0,NIFTY BANK
2018-07-27,27634.0,NIFTY BANK
2018-08-03,27696.0,NIFTY BANK
2018-08-10,28124.0,NIFTY BANK
2018-08-17,28129.0,NIFTY BANK
2018-08-24,27835.0,NIFTY BANK
2018-08-31,28062.0,NIFTY BANK
2018-09-07,27481.0,NIFTY BANK
2018-09-14,27164.0,NIFTY BANK
2018-09-21,25597.0,NIFTY BANK
2018-09-28,25120.0,NIFTY BANK
2018-10-05,24443.0,NIFTY BANK
2018-10-12,25396.0,NIFTY BANK
2018-10-19,25086.0,NIFTY BANK
2018-10-26,24421.0,NIFTY BANK
2018-11-02,25702.0,NIFTY BANK
2018-11-09,25771.0,NIFTY BANK
2018-11-16,26246.0,NIFTY BANK
2018-11-23,25999.0,NIFTY BANK
2018-11-30,26863.0,NIFTY BANK
2018-12-07,26594.0,NIFTY BANK
2018-12-14,26826.0,NIFTY BANK
2018-12-21,26870.0,NIFTY BANK
2018-12-28,27125.0,NIFTY BANK
2019-01-04,27195.0,NIFTY BANK
2019-01-11,27454.0,NIFTY BANK
2019-01-18,27457.0,NIFTY BANK
2019-01-25,27115.0,NIFTY BANK
2019-02-01,27086.0,NIFTY BANK
2019-02-08,27294.0,NIFTY BANK
2019-02-15,26794.0,NIFTY BANK
2019-02-22,26868.0,NIFTY BANK
2019-03-01,27044.0,NIFTY BANK
2019-03-08,27762.0,NIFTY BANK
2019-03-15,29381.0,NIFTY BANK
2019-03-22,29582.0,NIFTY BANK
2019-03-29,30427.0,NIFTY BANK
2019-04-05,30085.0,NIFTY BANK
2019-04-12,29939.0,NIFTY BANK
2019-04-19,30223.0,NIFTY BANK
2019-04-26,30014.0,NIFTY BANK
2019-05-03,29954.0,NIFTY BANK
2019-05-10,29040.0,NIFTY BANK
2019-05-17,29450.0,NIFTY BANK
2019-05-24,31213.0,NIFTY BANK
2019-05-31,31375.0,NIFTY BANK
2019-06-07,31067.0,NIFTY BANK
2019-06-14,30614.0,NIFTY BANK
2019-06-21,30628.0,NIFTY BANK
2019-06-28,31105.0,NIFTY BANK
2019-07-05,31476.0,NIFTY BANK
2019-07-12,30601.0,NIFTY BANK
2019-07-19,29770.0,NIFTY BANK
2019-07-26,29325.0,NIFTY BANK
2019-08-02,28367.0,NIFTY BANK
2019-08-09,28367.0,NIFTY BANK
2019-08-16,28367.0,NIFTY BANK
2019-08-23,28367.0,NIFTY BANK
2019-08-30,28367.0,NIFTY BANK
