Date,Close,Index
2015-11-13,2004.0,NIFTY CPSE
2015-11-20,2038.0,NIFTY CPSE
2015-11-27,2073.0,NIFTY CPSE
2015-12-04,2047.0,NIFTY CPSE
2015-12-11,1930.0,NIFTY CPSE
2015-12-18,1984.0,NIFTY CPSE
2015-12-25,2040.0,NIFTY CPSE
2016-01-01,2098.0,NIFTY CPSE
2016-01-08,2031.0,NIFTY CPSE
2016-01-15,1931.0,NIFTY CPSE
2016-01-22,1878.0,NIFTY CPSE
2016-01-29,1944.0,NIFTY CPSE
2016-02-05,1911.0,NIFTY CPSE
2016-02-12,1736.0,NIFTY CPSE
2016-02-19,1802.0,NIFTY CPSE
2016-02-26,1788.0,NIFTY CPSE
2016-03-04,1840.0,NIFTY CPSE
2016-03-11,1824.0,NIFTY CPSE
2016-03-18,1838.0,NIFTY CPSE
2016-03-25,1852.0,NIFTY CPSE
2016-04-01,1819.0,NIFTY CPSE
2016-04-08,1809.0,NIFTY CPSE
2016-04-15,1844.0,NIFTY CPSE
2016-04-22,1887.0,NIFTY CPSE
2016-04-29,1896.0,NIFTY CPSE
2016-05-06,1850.0,NIFTY CPSE
2016-05-13,1843.0,NIFTY CPSE
2016-05-20,1841.0,NIFTY CPSE
2016-05-27,1863.0,NIFTY CPSE
2016-06-03,1905.0,NIFTY CPSE
2016-06-10,1916.0,NIFTY CPSE
2016-06-17,1919.0,NIFTY CPSE
2016-06-24,1913.0,NIFTY CPSE
2016-07-01,2021.0,NIFTY CPSE
2016-07-08,2016.0,NIFTY CPSE
2016-07-15,2074.0,NIFTY CPSE
2016-07-22,2115.0,NIFTY CPSE
2016-07-29,2116.0,NIFTY CPSE
2016-08-05,2149.0,NIFTY CPSE
2016-08-12,2149.0,NIFTY CPSE
2016-08-19,2184.0,NIFTY CPSE
2016-08-26,2189.0,NIFTY CPSE
2016-09-02,2212.0,NIFTY CPSE
2016-09-09,2245.0,NIFTY CPSE
2016-09-16,2204.0,NIFTY CPSE
2016-09-23,2259.0,NIFTY CPSE
2016-09-30,2229.0,NIFTY CPSE
2016-10-07,2329.0,NIFTY CPSE
2016-10-14,2342.0,NIFTY CPSE
2016-10-21,2374.0,NIFTY CPSE
2016-10-28,2401.0,NIFTY CPSE
2016-11-04,2295.0,NIFTY CPSE
2016-11-11,2345.0,NIFTY CPSE
2016-11-18,2301.0,NIFTY CPSE
2016-11-25,2301.0,NIFTY CPSE
2016-12-02,2339.0,NIFTY CPSE
2016-12-09,2397.0,NIFTY CPSE
2016-12-16,2320.0,NIFTY CPSE
2016-12-23,2309.0,NIFTY CPSE
2016-12-30,2346.0,NIFTY CPSE
2017-01-06,2445.0,NIFTY CPSE
2017-01-13,2497.0,NIFTY CPSE
2017-01-20,2449.0,NIFTY CPSE
2017-01-27,2582.0,NIFTY CPSE
2017-02-03,2585.0,NIFTY CPSE
2017-02-10,2564.0,NIFTY CPSE
2017-02-17,2553.0,NIFTY CPSE
2017-02-24,2590.0,NIFTY CPSE
2017-03-03,2562.0,NIFTY CPSE
2017-03-10,2535.0,NIFTY CPSE
2017-03-17,2523.0,NIFTY CPSE
2017-03-24,2546.0,NIFTY CPSE
2017-03-31,2540.0,NIFTY CPSE
2017-04-07,2585.0,NIFTY CPSE
2017-04-14,2660.0,NIFTY CPSE
2017-04-21,2645.0,NIFTY CPSE
2017-04-28,2709.0,NIFTY CPSE
2017-05-05,2695.0,NIFTY CPSE
2017-05-12,2688.0,NIFTY CPSE
2017-05-19,2659.0,NIFTY CPSE
2017-05-26,2597.0,NIFTY CPSE
2017-06-02,2538.0,NIFTY CPSE
2017-06-09,2494.0,NIFTY CPSE
2017-06-16,2459.0,NIFTY CPSE
2017-06-23,2342.0,NIFTY CPSE
2017-06-30,2332.0,NIFTY CPSE
2017-07-07,2370.0,NIFTY CPSE
2017-07-14,2382.0,NIFTY CPSE
2017-07-21,2429.0,NIFTY CPSE
2017-07-28,2386.0,NIFTY CPSE
2017-08-04,2458.0,NIFTY CPSE
2017-08-11,2366.0,NIFTY CPSE
2017-08-18,2442.0,NIFTY CPSE
2017-08-25,2434.0,NIFTY CPSE
2017-09-01,2485.0,NIFTY CPSE
2017-09-08,2488.0,NIFTY CPSE
2017-09-15,2525.0,NIFTY CPSE
2017-09-22,2474.0,NIFTY CPSE
2017-09-29,2522.0,NIFTY CPSE
2017-10-06,2590.0,NIFTY CPSE
2017-10-13,2588.0,NIFTY CPSE
2017-10-20,2586.0,NIFTY CPSE
2017-10-27,2717.0,NIFTY CPSE
2017-11-03,2752.0,NIFTY CPSE
2017-11-10,2678.0,NIFTY CPSE
2017-11-17,2599.0,NIFTY CPSE
2017-11-24,2641.0,NIFTY CPSE
2017-12-01,2587.0,NIFTY CPSE
2017-12-08,2624.0,NIFTY CPSE
2017-12-15,2642.0,NIFTY CPSE
2017-12-22,2714.0,NIFTY CPSE
2017-12-29,2683.0,NIFTY CPSE
2018-01-05,2720.0,NIFTY CPSE
2018-01-12,2789.0,NIFTY CPSE
2018-01-19,2681.0,NIFTY CPSE
2018-01-26,2779.0,NIFTY CPSE
2018-02-02,2644.0,NIFTY CPSE
2018-02-09,2609.0,NIFTY CPSE
2018-02-16,2604.0,NIFTY CPSE
2018-02-23,2603.0,NIFTY CPSE
2018-03-02,2616.0,NIFTY CPSE
2018-03-09,2515.0,NIFTY CPSE
2018-03-16,2443.0,NIFTY CPSE
2018-03-23,2375.0,NIFTY CPSE
2018-03-30,2420.0,NIFTY CPSE
2018-04-06,2424.0,NIFTY CPSE
2018-04-13,2421.0,NIFTY CPSE
2018-04-20,2419.0,NIFTY CPSE
2018-04-27,2409.0,NIFTY CPSE
2018-05-04,2374.0,NIFTY CPSE
2018-05-11,2432.0,NIFTY CPSE
2018-05-18,2359.0,NIFTY CPSE
2018-05-25,2325.0,NIFTY CPSE
2018-06-01,2387.0,NIFTY CPSE
2018-06-08,2399.0,NIFTY CPSE
2018-06-15,2314.0,NIFTY CPSE
2018-06-22,2267.0,NIFTY CPSE
2018-06-29,2222.0,NIFTY CPSE
2018-07-06,2227.0,NIFTY CPSE
2018-07-13,2213.0,NIFTY CPSE
2018-07-20,2226.0,NIFTY CPSE
2018-07-27,2301.0,NIFTY CPSE
2018-08-03,2384.0,NIFTY CPSE
2018-08-10,2354.0,NIFTY CPSE
2018-08-17,2333.0,NIFTY CPSE
2018-08-24,2367.0,NIFTY CPSE
2018-08-31,2387.0,NIFTY CPSE
2018-09-07,2337.0,NIFTY CPSE
2018-09-14,2313.0,NIFTY CPSE
2018-09-21,2346.0,NIFTY CPSE
2018-09-28,2280.0,NIFTY CPSE
2018-10-05,2023.0,NIFTY CPSE
2018-10-12,2167.0,NIFTY CPSE
2018-10-19,2153.0,NIFTY CPSE
2018-10-26,2129.0,NIFTY CPSE
2018-11-02,2179.0,NIFTY CPSE
2018-11-09,2185.0,NIFTY CPSE
2018-11-16,2164.0,NIFTY CPSE
2018-11-23,2105.0,NIFTY CPSE
2018-11-30,1968.0,NIFTY CPSE
2018-12-07,1932.0,NIFTY CPSE
2018-12-14,2018.0,NIFTY CPSE
2018-12-21,2069.0,NIFTY CPSE
2018-12-28,2072.0,NIFTY CPSE
2019-01-04,2032.0,NIFTY CPSE
2019-01-11,2025.0,NIFTY CPSE
2019-01-18,2028.0,NIFTY CPSE
2019-01-25,1966.0,NIFTY CPSE
2019-02-01,1982.0,NIFTY CPSE
2019-02-08,1933.0,NIFTY CPSE
2019-02-15,1897.0,NIFTY CPSE
2019-02-22,1996.0,NIFTY CPSE
2019-03-01,2080.0,NIFTY CPSE
2019-03-08,2119.0,NIFTY CPSE
2019-03-15,2224.0,NIFTY CPSE
2019-03-22,2191.0,NIFTY CPSE
2019-03-29,2270.0,NIFTY CPSE
2019-04-05,2244.0,NIFTY CPSE
2019-04-12,2250.0,NIFTY CPSE
2019-04-19,2273.0,NIFTY CPSE
2019-04-26,2264.0,NIFTY CPSE
2019-05-03,2281.0,NIFTY CPSE
2019-05-10,2184.0,NIFTY CPSE
2019-05-17,2180.0,NIFTY CPSE
2019-05-24,2290.0,NIFTY CPSE
2019-05-31,2344.0,NIFTY CPSE
2019-06-07,2370.0,NIFTY CPSE
2019-06-14,2340.0,NIFTY CPSE
2019-06-21,2331.0,NIFTY CPSE
2019-06-28,2365.0,NIFTY CPSE
2019-07-05,2291.0,NIFTY CPSE
2019-07-12,2169.0,NIFTY CPSE
2019-07-19,2111.0,NIFTY CPSE
2019-07-26,2055.0,NIFTY CPSE
2019-08-02,1993.0,NIFTY CPSE
2019-08-09,1993.0,NIFTY CPSE
2019-08-16,1993.0,NIFTY CPSE
2019-08-23,1993.0,NIFTY CPSE
2019-08-30,1993.0,NIFTY CPSE
2019-09-06,1993.0,NIFTY CPSE
2019-09-13,1993.0,NIFTY CPSE
2019-09-20,1993.0,NIFTY CPSE
2019-09-27,1993.0,NIFTY CPSE
2019-10-04,1993.0,NIFTY CPSE
2019-10-11,1993.0,NIFTY CPSE
2019-10-18,1993.0,NIFTY CPSE
