Date,Close,Index
2015-11-13,6942.0,NIFTY FINANCIAL SERVICES
2015-11-20,6999.0,NIFTY FINANCIAL SERVICES
2015-11-27,7126.0,NIFTY FINANCIAL SERVICES
2015-12-04,6899.0,NIFTY FINANCIAL SERVICES
2015-12-11,6742.0,NIFTY FINANCIAL SERVICES
2015-12-18,6891.0,NIFTY FINANCIAL SERVICES
2015-12-25,6968.0,NIFTY FINANCIAL SERVICES
2016-01-01,7091.0,NIFTY FINANCIAL SERVICES
2016-01-08,6723.0,NIFTY FINANCIAL SERVICES
2016-01-15,6380.0,NIFTY FINANCIAL SERVICES
2016-01-22,6471.0,NIFTY FINANCIAL SERVICES
2016-01-29,6508.0,NIFTY FINANCIAL SERVICES
2016-02-05,6389.0,NIFTY FINANCIAL SERVICES
2016-02-12,5884.0,NIFTY FINANCIAL SERVICES
2016-02-19,5954.0,NIFTY FINANCIAL SERVICES
2016-02-26,5775.0,NIFTY FINANCIAL SERVICES
2016-03-04,6356.0,NIFTY FINANCIAL SERVICES
2016-03-11,6333.0,NIFTY FINANCIAL SERVICES
2016-03-18,6451.0,NIFTY FINANCIAL SERVICES
2016-03-25,6576.0,NIFTY FINANCIAL SERVICES
2016-04-01,6590.0,NIFTY FINANCIAL SERVICES
2016-04-08,6381.0,NIFTY FINANCIAL SERVICES
2016-04-15,6646.0,NIFTY FINANCIAL SERVICES
2016-04-22,6782.0,NIFTY FINANCIAL SERVICES
2016-04-29,6725.0,NIFTY FINANCIAL SERVICES
2016-05-06,6693.0,NIFTY FINANCIAL SERVICES
2016-05-13,6825.0,NIFTY FINANCIAL SERVICES
2016-05-20,6759.0,NIFTY FINANCIAL SERVICES
2016-05-27,7189.0,NIFTY FINANCIAL SERVICES
2016-06-03,7241.0,NIFTY FINANCIAL SERVICES
2016-06-10,7236.0,NIFTY FINANCIAL SERVICES
2016-06-17,7183.0,NIFTY FINANCIAL SERVICES
2016-06-24,7090.0,NIFTY FINANCIAL SERVICES
2016-07-01,7326.0,NIFTY FINANCIAL SERVICES
2016-07-08,7385.0,NIFTY FINANCIAL SERVICES
2016-07-15,7780.0,NIFTY FINANCIAL SERVICES
2016-07-22,7715.0,NIFTY FINANCIAL SERVICES
2016-07-29,7838.0,NIFTY FINANCIAL SERVICES
2016-08-05,7766.0,NIFTY FINANCIAL SERVICES
2016-08-12,7846.0,NIFTY FINANCIAL SERVICES
2016-08-19,7948.0,NIFTY FINANCIAL SERVICES
2016-08-26,7899.0,NIFTY FINANCIAL SERVICES
2016-09-02,8207.0,NIFTY FINANCIAL SERVICES
2016-09-09,8295.0,NIFTY FINANCIAL SERVICES
2016-09-16,8165.0,NIFTY FINANCIAL SERVICES
2016-09-23,8217.0,NIFTY FINANCIAL SERVICES
2016-09-30,7953.0,NIFTY FINANCIAL SERVICES
2016-10-07,8022.0,NIFTY FINANCIAL SERVICES
2016-10-14,7795.0,NIFTY FINANCIAL SERVICES
2016-10-21,8055.0,NIFTY FINANCIAL SERVICES
2016-10-28,8060.0,NIFTY FINANCIAL SERVICES
2016-11-04,7872.0,NIFTY FINANCIAL SERVICES
2016-11-11,7862.0,NIFTY FINANCIAL SERVICES
2016-11-18,7603.0,NIFTY FINANCIAL SERVICES
2016-11-25,7508.0,NIFTY FINANCIAL SERVICES
2016-12-02,7433.0,NIFTY FINANCIAL SERVICES
2016-12-09,7586.0,NIFTY FINANCIAL SERVICES
2016-12-16,7450.0,NIFTY FINANCIAL SERVICES
2016-12-23,7251.0,NIFTY FINANCIAL SERVICES
2016-12-30,7407.0,NIFTY FINANCIAL SERVICES
2017-01-06,7368.0,NIFTY FINANCIAL SERVICES
2017-01-13,7577.0,NIFTY FINANCIAL SERVICES
2017-01-20,7506.0,NIFTY FINANCIAL SERVICES
2017-01-27,7980.0,NIFTY FINANCIAL SERVICES
2017-02-03,8146.0,NIFTY FINANCIAL SERVICES
2017-02-10,8141.0,NIFTY FINANCIAL SERVICES
2017-02-17,8282.0,NIFTY FINANCIAL SERVICES
2017-02-24,8383.0,NIFTY FINANCIAL SERVICES
2017-03-03,8253.0,NIFTY FINANCIAL SERVICES
2017-03-10,8321.0,NIFTY FINANCIAL SERVICES
2017-03-17,8593.0,NIFTY FINANCIAL SERVICES
2017-03-24,8591.0,NIFTY FINANCIAL SERVICES
2017-03-31,8734.0,NIFTY FINANCIAL SERVICES
2017-04-07,8742.0,NIFTY FINANCIAL SERVICES
2017-04-14,8822.0,NIFTY FINANCIAL SERVICES
2017-04-21,8817.0,NIFTY FINANCIAL SERVICES
2017-04-28,9066.0,NIFTY FINANCIAL SERVICES
2017-05-05,9164.0,NIFTY FINANCIAL SERVICES
2017-05-12,9233.0,NIFTY FINANCIAL SERVICES
2017-05-19,9247.0,NIFTY FINANCIAL SERVICES
2017-05-26,9420.0,NIFTY FINANCIAL SERVICES
2017-06-02,9514.0,NIFTY FINANCIAL SERVICES
2017-06-09,9664.0,NIFTY FINANCIAL SERVICES
2017-06-16,9626.0,NIFTY FINANCIAL SERVICES
2017-06-23,9644.0,NIFTY FINANCIAL SERVICES
2017-06-30,9494.0,NIFTY FINANCIAL SERVICES
2017-07-07,9566.0,NIFTY FINANCIAL SERVICES
2017-07-14,9740.0,NIFTY FINANCIAL SERVICES
2017-07-21,9888.0,NIFTY FINANCIAL SERVICES
2017-07-28,10168.0,NIFTY FINANCIAL SERVICES
2017-08-04,10138.0,NIFTY FINANCIAL SERVICES
2017-08-11,9837.0,NIFTY FINANCIAL SERVICES
2017-08-18,9942.0,NIFTY FINANCIAL SERVICES
2017-08-25,10041.0,NIFTY FINANCIAL SERVICES
2017-09-01,10103.0,NIFTY FINANCIAL SERVICES
2017-09-08,10121.0,NIFTY FINANCIAL SERVICES
2017-09-15,10238.0,NIFTY FINANCIAL SERVICES
2017-09-22,10065.0,NIFTY FINANCIAL SERVICES
2017-09-29,9939.0,NIFTY FINANCIAL SERVICES
2017-10-06,9985.0,NIFTY FINANCIAL SERVICES
2017-10-13,10165.0,NIFTY FINANCIAL SERVICES
2017-10-20,9935.0,NIFTY FINANCIAL SERVICES
2017-10-27,10179.0,NIFTY FINANCIAL SERVICES
2017-11-03,10531.0,NIFTY FINANCIAL SERVICES
2017-11-10,10407.0,NIFTY FINANCIAL SERVICES
2017-11-17,10499.0,NIFTY FINANCIAL SERVICES
2017-11-24,10506.0,NIFTY FINANCIAL SERVICES
2017-12-01,10256.0,NIFTY FINANCIAL SERVICES
2017-12-08,10328.0,NIFTY FINANCIAL SERVICES
2017-12-15,10418.0,NIFTY FINANCIAL SERVICES
2017-12-22,10523.0,NIFTY FINANCIAL SERVICES
2017-12-29,10475.0,NIFTY FINANCIAL SERVICES
2018-01-05,10473.0,NIFTY FINANCIAL SERVICES
2018-01-12,10532.0,NIFTY FINANCIAL SERVICES
2018-01-19,11073.0,NIFTY FINANCIAL SERVICES
2018-01-26,11233.0,NIFTY FINANCIAL SERVICES
2018-02-02,10887.0,NIFTY FINANCIAL SERVICES
2018-02-09,10467.0,NIFTY FINANCIAL SERVICES
2018-02-16,10465.0,NIFTY FINANCIAL SERVICES
2018-02-23,10519.0,NIFTY FINANCIAL SERVICES
2018-03-02,10373.0,NIFTY FINANCIAL SERVICES
2018-03-09,10194.0,NIFTY FINANCIAL SERVICES
2018-03-16,10211.0,NIFTY FINANCIAL SERVICES
2018-03-23,9973.0,NIFTY FINANCIAL SERVICES
2018-03-30,10208.0,NIFTY FINANCIAL SERVICES
2018-04-06,10468.0,NIFTY FINANCIAL SERVICES
2018-04-13,10570.0,NIFTY FINANCIAL SERVICES
2018-04-20,10501.0,NIFTY FINANCIAL SERVICES
2018-04-27,10615.0,NIFTY FINANCIAL SERVICES
2018-05-04,10736.0,NIFTY FINANCIAL SERVICES
2018-05-11,10988.0,NIFTY FINANCIAL SERVICES
2018-05-18,10783.0,NIFTY FINANCIAL SERVICES
2018-05-25,10886.0,NIFTY FINANCIAL SERVICES
2018-06-01,11058.0,NIFTY FINANCIAL SERVICES
2018-06-08,11003.0,NIFTY FINANCIAL SERVICES
2018-06-15,10976.0,NIFTY FINANCIAL SERVICES
2018-06-22,11214.0,NIFTY FINANCIAL SERVICES
2018-06-29,11007.0,NIFTY FINANCIAL SERVICES
2018-07-06,11024.0,NIFTY FINANCIAL SERVICES
2018-07-13,11259.0,NIFTY FINANCIAL SERVICES
2018-07-20,11271.0,NIFTY FINANCIAL SERVICES
2018-07-27,11691.0,NIFTY FINANCIAL SERVICES
