Date,Close,Index
2015-11-13,2687.0,NIFTY INFRASTRUCTURE
2015-11-20,2744.0,NIFTY INFRASTRUCTURE
2015-11-27,2768.0,NIFTY INFRASTRUCTURE
2015-12-04,2697.0,NIFTY INFRASTRUCTURE
2015-12-11,2602.0,NIFTY INFRASTRUCTURE
2015-12-18,2677.0,NIFTY INFRASTRUCTURE
2015-12-25,2746.0,NIFTY INFRASTRUCTURE
2016-01-01,2793.0,NIFTY INFRASTRUCTURE
2016-01-08,2632.0,NIFTY INFRASTRUCTURE
2016-01-15,2444.0,NIFTY INFRASTRUCTURE
2016-01-22,2444.0,NIFTY INFRASTRUCTURE
2016-01-29,2424.0,NIFTY INFRASTRUCTURE
2016-02-05,2409.0,NIFTY INFRASTRUCTURE
2016-02-12,2276.0,NIFTY INFRASTRUCTURE
2016-02-19,2390.0,NIFTY INFRASTRUCTURE
2016-02-26,2306.0,NIFTY INFRASTRUCTURE
2016-03-04,2448.0,NIFTY INFRASTRUCTURE
2016-03-11,2451.0,NIFTY INFRASTRUCTURE
2016-03-18,2489.0,NIFTY INFRASTRUCTURE
2016-03-25,2550.0,NIFTY INFRASTRUCTURE
2016-04-01,2552.0,NIFTY INFRASTRUCTURE
2016-04-08,2506.0,NIFTY INFRASTRUCTURE
2016-04-15,2615.0,NIFTY INFRASTRUCTURE
2016-04-22,2649.0,NIFTY INFRASTRUCTURE
2016-04-29,2638.0,NIFTY INFRASTRUCTURE
2016-05-06,2603.0,NIFTY INFRASTRUCTURE
2016-05-13,2613.0,NIFTY INFRASTRUCTURE
2016-05-20,2560.0,NIFTY INFRASTRUCTURE
2016-05-27,2756.0,NIFTY INFRASTRUCTURE
2016-06-03,2760.0,NIFTY INFRASTRUCTURE
2016-06-10,2792.0,NIFTY INFRASTRUCTURE
2016-06-17,2785.0,NIFTY INFRASTRUCTURE
2016-06-24,2720.0,NIFTY INFRASTRUCTURE
2016-07-01,2882.0,NIFTY INFRASTRUCTURE
2016-07-08,2857.0,NIFTY INFRASTRUCTURE
2016-07-15,2939.0,NIFTY INFRASTRUCTURE
2016-07-22,2934.0,NIFTY INFRASTRUCTURE
2016-07-29,2966.0,NIFTY INFRASTRUCTURE
2016-08-05,2929.0,NIFTY INFRASTRUCTURE
2016-08-12,2904.0,NIFTY INFRASTRUCTURE
2016-08-19,2947.0,NIFTY INFRASTRUCTURE
2016-08-26,2877.0,NIFTY INFRASTRUCTURE
2016-09-02,2908.0,NIFTY INFRASTRUCTURE
2016-09-09,2935.0,NIFTY INFRASTRUCTURE
2016-09-16,2865.0,NIFTY INFRASTRUCTURE
2016-09-23,2903.0,NIFTY INFRASTRUCTURE
2016-09-30,2793.0,NIFTY INFRASTRUCTURE
2016-10-07,2846.0,NIFTY INFRASTRUCTURE
2016-10-14,2811.0,NIFTY INFRASTRUCTURE
2016-10-21,2890.0,NIFTY INFRASTRUCTURE
2016-10-28,2870.0,NIFTY INFRASTRUCTURE
2016-11-04,2774.0,NIFTY INFRASTRUCTURE
2016-11-11,2742.0,NIFTY INFRASTRUCTURE
2016-11-18,2718.0,NIFTY INFRASTRUCTURE
2016-11-25,2707.0,NIFTY INFRASTRUCTURE
2016-12-02,2738.0,NIFTY INFRASTRUCTURE
2016-12-09,2780.0,NIFTY INFRASTRUCTURE
2016-12-16,2736.0,NIFTY INFRASTRUCTURE
2016-12-23,2670.0,NIFTY INFRASTRUCTURE
2016-12-30,2712.0,NIFTY INFRASTRUCTURE
2017-01-06,2796.0,NIFTY INFRASTRUCTURE
2017-01-13,2870.0,NIFTY INFRASTRUCTURE
2017-01-20,2841.0,NIFTY INFRASTRUCTURE
2017-01-27,2930.0,NIFTY INFRASTRUCTURE
2017-02-03,2989.0,NIFTY INFRASTRUCTURE
2017-02-10,3039.0,NIFTY INFRASTRUCTURE
2017-02-17,3011.0,NIFTY INFRASTRUCTURE
2017-02-24,3013.0,NIFTY INFRASTRUCTURE
2017-03-03,2966.0,NIFTY INFRASTRUCTURE
2017-03-10,2987.0,NIFTY INFRASTRUCTURE
2017-03-17,3066.0,NIFTY INFRASTRUCTURE
2017-03-24,3045.0,NIFTY INFRASTRUCTURE
2017-03-31,3097.0,NIFTY INFRASTRUCTURE
2017-04-07,3191.0,NIFTY INFRASTRUCTURE
2017-04-14,3160.0,NIFTY INFRASTRUCTURE
2017-04-21,3197.0,NIFTY INFRASTRUCTURE
2017-04-28,3255.0,NIFTY INFRASTRUCTURE
2017-05-05,3217.0,NIFTY INFRASTRUCTURE
2017-05-12,3273.0,NIFTY INFRASTRUCTURE
2017-05-19,3248.0,NIFTY INFRASTRUCTURE
2017-05-26,3250.0,NIFTY INFRASTRUCTURE
2017-06-02,3254.0,NIFTY INFRASTRUCTURE
2017-06-09,3236.0,NIFTY INFRASTRUCTURE
2017-06-16,3208.0,NIFTY INFRASTRUCTURE
2017-06-23,3199.0,NIFTY INFRASTRUCTURE
2017-06-30,3201.0,NIFTY INFRASTRUCTURE
2017-07-07,3241.0,NIFTY INFRASTRUCTURE
2017-07-14,3339.0,NIFTY INFRASTRUCTURE
2017-07-21,3356.0,NIFTY INFRASTRUCTURE
2017-07-28,3359.0,NIFTY INFRASTRUCTURE
2017-08-04,3408.0,NIFTY INFRASTRUCTURE
2017-08-11,3257.0,NIFTY INFRASTRUCTURE
2017-08-18,3327.0,NIFTY INFRASTRUCTURE
2017-08-25,3306.0,NIFTY INFRASTRUCTURE
2017-09-01,3328.0,NIFTY INFRASTRUCTURE
2017-09-08,3307.0,NIFTY INFRASTRUCTURE
2017-09-15,3369.0,NIFTY INFRASTRUCTURE
2017-09-22,3312.0,NIFTY INFRASTRUCTURE
2017-09-29,3246.0,NIFTY INFRASTRUCTURE
2017-10-06,3268.0,NIFTY INFRASTRUCTURE
2017-10-13,3352.0,NIFTY INFRASTRUCTURE
2017-10-20,3406.0,NIFTY INFRASTRUCTURE
2017-10-27,3547.0,NIFTY INFRASTRUCTURE
2017-11-03,3631.0,NIFTY INFRASTRUCTURE
2017-11-10,3584.0,NIFTY INFRASTRUCTURE
2017-11-17,3494.0,NIFTY INFRASTRUCTURE
2017-11-24,3525.0,NIFTY INFRASTRUCTURE
2017-12-01,3471.0,NIFTY INFRASTRUCTURE
2017-12-08,3524.0,NIFTY INFRASTRUCTURE
2017-12-15,3480.0,NIFTY INFRASTRUCTURE
2017-12-22,3615.0,NIFTY INFRASTRUCTURE
2017-12-29,3638.0,NIFTY INFRASTRUCTURE
