Date,Close,Index
2022-01-14,18282.0,NIFTY MIDCAP150 QUALITY 50
2022-01-21,17607.0,NIFTY MIDCAP150 QUALITY 50
2022-01-28,17047.0,NIFTY MIDCAP150 QUALITY 50
2022-02-04,17206.0,NIFTY MIDCAP150 QUALITY 50
2022-02-11,16745.0,NIFTY MIDCAP150 QUALITY 50
2022-02-18,16348.0,NIFTY MIDCAP150 QUALITY 50
2022-02-25,15940.0,NIFTY MIDCAP150 QUALITY 50
2022-03-04,15731.0,NIFTY MIDCAP150 QUALITY 50
2022-03-11,16180.0,NIFTY MIDCAP150 QUALITY 50
2022-03-18,16455.0,NIFTY MIDCAP150 QUALITY 50
2022-03-25,16329.0,NIFTY MIDCAP150 QUALITY 50
2022-04-01,16734.0,NIFTY MIDCAP150 QUALITY 50
2022-04-08,17147.0,NIFTY MIDCAP150 QUALITY 50
2022-04-15,16996.0,NIFTY MIDCAP150 QUALITY 50
2022-04-22,16846.0,NIFTY MIDCAP150 QUALITY 50
2022-04-29,16551.0,NIFTY MIDCAP150 QUALITY 50
2022-05-06,15854.0,NIFTY MIDCAP150 QUALITY 50
2022-05-13,15182.0,NIFTY MIDCAP150 QUALITY 50
2022-05-20,15504.0,NIFTY MIDCAP150 QUALITY 50
2022-05-27,15373.0,NIFTY MIDCAP150 QUALITY 50
2022-06-03,15750.0,NIFTY MIDCAP150 QUALITY 50
2022-06-10,15443.0,NIFTY MIDCAP150 QUALITY 50
2022-06-17,14758.0,NIFTY MIDCAP150 QUALITY 50
2022-06-24,14892.0,NIFTY MIDCAP150 QUALITY 50
2022-07-01,15039.0,NIFTY MIDCAP150 QUALITY 50
2022-07-08,15476.0,NIFTY MIDCAP150 QUALITY 50
2022-07-15,15539.0,NIFTY MIDCAP150 QUALITY 50
2022-07-22,16018.0,NIFTY MIDCAP150 QUALITY 50
2022-07-29,16337.0,NIFTY MIDCAP150 QUALITY 50
2022-08-05,16788.0,NIFTY MIDCAP150 QUALITY 50
2022-08-12,17020.0,NIFTY MIDCAP150 QUALITY 50
2022-08-19,17137.0,NIFTY MIDCAP150 QUALITY 50
2022-08-26,17020.0,NIFTY MIDCAP150 QUALITY 50
2022-09-02,16992.0,NIFTY MIDCAP150 QUALITY 50
2022-09-09,17291.0,NIFTY MIDCAP150 QUALITY 50
2022-09-16,16880.0,NIFTY MIDCAP150 QUALITY 50
2022-09-23,16847.0,NIFTY MIDCAP150 QUALITY 50
2022-09-30,16699.0,NIFTY MIDCAP150 QUALITY 50
2022-10-07,16872.0,NIFTY MIDCAP150 QUALITY 50
2022-10-14,16466.0,NIFTY MIDCAP150 QUALITY 50
2022-10-21,16337.0,NIFTY MIDCAP150 QUALITY 50
2022-10-28,16223.0,NIFTY MIDCAP150 QUALITY 50
2022-11-04,16558.0,NIFTY MIDCAP150 QUALITY 50
2022-11-11,16465.0,NIFTY MIDCAP150 QUALITY 50
2022-11-18,16304.0,NIFTY MIDCAP150 QUALITY 50
2022-11-25,16506.0,NIFTY MIDCAP150 QUALITY 50
2022-12-02,16902.0,NIFTY MIDCAP150 QUALITY 50
2022-12-09,16649.0,NIFTY MIDCAP150 QUALITY 50
2022-12-16,16339.0,NIFTY MIDCAP150 QUALITY 50
2022-12-23,15705.0,NIFTY MIDCAP150 QUALITY 50
2022-12-30,16031.0,NIFTY MIDCAP150 QUALITY 50
2023-01-06,15985.0,NIFTY MIDCAP150 QUALITY 50
2023-01-13,15964.0,NIFTY MIDCAP150 QUALITY 50
2023-01-20,15834.0,NIFTY MIDCAP150 QUALITY 50
2023-01-27,15710.0,NIFTY MIDCAP150 QUALITY 50
2023-02-03,15850.0,NIFTY MIDCAP150 QUALITY 50
2023-02-10,15940.0,NIFTY MIDCAP150 QUALITY 50
2023-02-17,15781.0,NIFTY MIDCAP150 QUALITY 50
2023-02-24,15764.0,NIFTY MIDCAP150 QUALITY 50
2023-03-03,15784.0,NIFTY MIDCAP150 QUALITY 50
2023-03-10,15732.0,NIFTY MIDCAP150 QUALITY 50
2023-03-17,15398.0,NIFTY MIDCAP150 QUALITY 50
2023-03-24,15169.0,NIFTY MIDCAP150 QUALITY 50
2023-03-31,15269.0,NIFTY MIDCAP150 QUALITY 50
2023-04-07,15592.0,NIFTY MIDCAP150 QUALITY 50
2023-04-14,15845.0,NIFTY MIDCAP150 QUALITY 50
2023-04-21,15792.0,NIFTY MIDCAP150 QUALITY 50
2023-04-28,15984.0,NIFTY MIDCAP150 QUALITY 50
2023-05-05,16057.0,NIFTY MIDCAP150 QUALITY 50
2023-05-12,16368.0,NIFTY MIDCAP150 QUALITY 50
2023-05-19,16344.0,NIFTY MIDCAP150 QUALITY 50
2023-05-26,16672.0,NIFTY MIDCAP150 QUALITY 50
2023-06-02,16893.0,NIFTY MIDCAP150 QUALITY 50
2023-06-09,16806.0,NIFTY MIDCAP150 QUALITY 50
2023-06-16,17229.0,NIFTY MIDCAP150 QUALITY 50
2023-06-23,17144.0,NIFTY MIDCAP150 QUALITY 50
2023-06-30,17420.0,NIFTY MIDCAP150 QUALITY 50
