Date,Close,Index
2016-03-18,8804.0,NIFTY PRIVATE BANK
2016-03-25,8915.0,NIFTY PRIVATE BANK
2016-04-01,9100.0,NIFTY PRIVATE BANK
2016-04-08,8764.0,NIFTY PRIVATE BANK
2016-04-15,9186.0,NIFTY PRIVATE BANK
2016-04-22,9408.0,NIFTY PRIVATE BANK
2016-04-29,9506.0,NIFTY PRIVATE BANK
2016-05-06,9213.0,NIFTY PRIVATE BANK
2016-05-13,9492.0,NIFTY PRIVATE BANK
2016-05-20,9442.0,NIFTY PRIVATE BANK
2016-05-27,9997.0,NIFTY PRIVATE BANK
2016-06-03,10135.0,NIFTY PRIVATE BANK
2016-06-10,10196.0,NIFTY PRIVATE BANK
2016-06-17,10017.0,NIFTY PRIVATE BANK
2016-06-24,9835.0,NIFTY PRIVATE BANK
2016-07-01,10179.0,NIFTY PRIVATE BANK
2016-07-08,10198.0,NIFTY PRIVATE BANK
2016-07-15,10700.0,NIFTY PRIVATE BANK
2016-07-22,10582.0,NIFTY PRIVATE BANK
2016-07-29,10716.0,NIFTY PRIVATE BANK
2016-08-05,10655.0,NIFTY PRIVATE BANK
2016-08-12,10672.0,NIFTY PRIVATE BANK
2016-08-19,10880.0,NIFTY PRIVATE BANK
2016-08-26,10774.0,NIFTY PRIVATE BANK
2016-09-02,11173.0,NIFTY PRIVATE BANK
2016-09-09,11340.0,NIFTY PRIVATE BANK
2016-09-16,11116.0,NIFTY PRIVATE BANK
2016-09-23,11117.0,NIFTY PRIVATE BANK
2016-09-30,10742.0,NIFTY PRIVATE BANK
2016-10-07,10758.0,NIFTY PRIVATE BANK
2016-10-14,10583.0,NIFTY PRIVATE BANK
2016-10-21,11028.0,NIFTY PRIVATE BANK
2016-10-28,10948.0,NIFTY PRIVATE BANK
2016-11-04,10721.0,NIFTY PRIVATE BANK
2016-11-11,10937.0,NIFTY PRIVATE BANK
2016-11-18,10401.0,NIFTY PRIVATE BANK
2016-11-25,10201.0,NIFTY PRIVATE BANK
2016-12-02,10062.0,NIFTY PRIVATE BANK
2016-12-09,10305.0,NIFTY PRIVATE BANK
2016-12-16,10071.0,NIFTY PRIVATE BANK
2016-12-23,9852.0,NIFTY PRIVATE BANK
2016-12-30,10043.0,NIFTY PRIVATE BANK
2017-01-06,10149.0,NIFTY PRIVATE BANK
2017-01-13,10531.0,NIFTY PRIVATE BANK
2017-01-20,10465.0,NIFTY PRIVATE BANK
2017-01-27,10924.0,NIFTY PRIVATE BANK
2017-02-03,11142.0,NIFTY PRIVATE BANK
2017-02-10,11175.0,NIFTY PRIVATE BANK
2017-02-17,11401.0,NIFTY PRIVATE BANK
2017-02-24,11607.0,NIFTY PRIVATE BANK
2017-03-03,11389.0,NIFTY PRIVATE BANK
2017-03-10,11480.0,NIFTY PRIVATE BANK
2017-03-17,11759.0,NIFTY PRIVATE BANK
2017-03-24,11708.0,NIFTY PRIVATE BANK
2017-03-31,11803.0,NIFTY PRIVATE BANK
2017-04-07,11831.0,NIFTY PRIVATE BANK
2017-04-14,11992.0,NIFTY PRIVATE BANK
2017-04-21,11863.0,NIFTY PRIVATE BANK
2017-04-28,12309.0,NIFTY PRIVATE BANK
2017-05-05,12458.0,NIFTY PRIVATE BANK
2017-05-12,12489.0,NIFTY PRIVATE BANK
2017-05-19,12508.0,NIFTY PRIVATE BANK
2017-05-26,12990.0,NIFTY PRIVATE BANK
2017-06-02,13004.0,NIFTY PRIVATE BANK
2017-06-09,13188.0,NIFTY PRIVATE BANK
2017-06-16,13082.0,NIFTY PRIVATE BANK
2017-06-23,13094.0,NIFTY PRIVATE BANK
2017-06-30,12991.0,NIFTY PRIVATE BANK
2017-07-07,13097.0,NIFTY PRIVATE BANK
2017-07-14,13350.0,NIFTY PRIVATE BANK
2017-07-21,13565.0,NIFTY PRIVATE BANK
2017-07-28,13814.0,NIFTY PRIVATE BANK
2017-08-04,13781.0,NIFTY PRIVATE BANK
2017-08-11,13400.0,NIFTY PRIVATE BANK
2017-08-18,13469.0,NIFTY PRIVATE BANK
2017-08-25,13599.0,NIFTY PRIVATE BANK
2017-09-01,13742.0,NIFTY PRIVATE BANK
2017-09-08,13712.0,NIFTY PRIVATE BANK
2017-09-15,13955.0,NIFTY PRIVATE BANK
2017-09-22,13714.0,NIFTY PRIVATE BANK
2017-09-29,13569.0,NIFTY PRIVATE BANK
2017-10-06,13657.0,NIFTY PRIVATE BANK
2017-10-13,13999.0,NIFTY PRIVATE BANK
2017-10-20,13557.0,NIFTY PRIVATE BANK
2017-10-27,13661.0,NIFTY PRIVATE BANK
2017-11-03,14121.0,NIFTY PRIVATE BANK
2017-11-10,13990.0,NIFTY PRIVATE BANK
2017-11-17,14111.0,NIFTY PRIVATE BANK
2017-11-24,14160.0,NIFTY PRIVATE BANK
2017-12-01,13887.0,NIFTY PRIVATE BANK
2017-12-08,13995.0,NIFTY PRIVATE BANK
2017-12-15,14041.0,NIFTY PRIVATE BANK
2017-12-22,14134.0,NIFTY PRIVATE BANK
2017-12-29,14140.0,NIFTY PRIVATE BANK
2018-01-05,14234.0,NIFTY PRIVATE BANK
2018-01-12,14368.0,NIFTY PRIVATE BANK
2018-01-19,15050.0,NIFTY PRIVATE BANK
2018-01-26,15374.0,NIFTY PRIVATE BANK
2018-02-02,14813.0,NIFTY PRIVATE BANK
2018-02-09,14224.0,NIFTY PRIVATE BANK
2018-02-16,14169.0,NIFTY PRIVATE BANK
2018-02-23,14280.0,NIFTY PRIVATE BANK
2018-03-02,14112.0,NIFTY PRIVATE BANK
2018-03-09,13766.0,NIFTY PRIVATE BANK
2018-03-16,13886.0,NIFTY PRIVATE BANK
2018-03-23,13418.0,NIFTY PRIVATE BANK
2018-03-30,13688.0,NIFTY PRIVATE BANK
