Date,Close,Index
2015-11-13,3107.0,NIFTY PSU BANK
2015-11-20,3122.0,NIFTY PSU BANK
2015-11-27,3217.0,NIFTY PSU BANK
2015-12-04,3085.0,NIFTY PSU BANK
2015-12-11,2886.0,NIFTY PSU BANK
2015-12-18,2904.0,NIFTY PSU BANK
2015-12-25,2909.0,NIFTY PSU BANK
2016-01-01,2908.0,NIFTY PSU BANK
2016-01-08,2646.0,NIFTY PSU BANK
2016-01-15,2313.0,NIFTY PSU BANK
2016-01-22,2339.0,NIFTY PSU BANK
2016-01-29,2293.0,NIFTY PSU BANK
2016-02-05,2201.0,NIFTY PSU BANK
2016-02-12,1968.0,NIFTY PSU BANK
2016-02-19,2126.0,NIFTY PSU BANK
2016-02-26,2021.0,NIFTY PSU BANK
2016-03-04,2389.0,NIFTY PSU BANK
2016-03-11,2294.0,NIFTY PSU BANK
2016-03-18,2409.0,NIFTY PSU BANK
2016-03-25,2455.0,NIFTY PSU BANK
2016-04-01,2500.0,NIFTY PSU BANK
2016-04-08,2332.0,NIFTY PSU BANK
2016-04-15,2448.0,NIFTY PSU BANK
2016-04-22,2563.0,NIFTY PSU BANK
2016-04-29,2444.0,NIFTY PSU BANK
2016-05-06,2352.0,NIFTY PSU BANK
2016-05-13,2354.0,NIFTY PSU BANK
2016-05-20,2175.0,NIFTY PSU BANK
2016-05-27,2400.0,NIFTY PSU BANK
2016-06-03,2398.0,NIFTY PSU BANK
2016-06-10,2519.0,NIFTY PSU BANK
2016-06-17,2634.0,NIFTY PSU BANK
2016-06-24,2619.0,NIFTY PSU BANK
2016-07-01,2742.0,NIFTY PSU BANK
2016-07-08,2770.0,NIFTY PSU BANK
2016-07-15,2955.0,NIFTY PSU BANK
2016-07-22,2797.0,NIFTY PSU BANK
2016-07-29,2863.0,NIFTY PSU BANK
2016-08-05,2915.0,NIFTY PSU BANK
2016-08-12,2961.0,NIFTY PSU BANK
2016-08-19,3136.0,NIFTY PSU BANK
2016-08-26,3019.0,NIFTY PSU BANK
2016-09-02,3129.0,NIFTY PSU BANK
2016-09-09,3288.0,NIFTY PSU BANK
2016-09-16,3154.0,NIFTY PSU BANK
2016-09-23,3176.0,NIFTY PSU BANK
2016-09-30,3130.0,NIFTY PSU BANK
2016-10-07,3211.0,NIFTY PSU BANK
2016-10-14,3103.0,NIFTY PSU BANK
2016-10-21,3196.0,NIFTY PSU BANK
2016-10-28,3177.0,NIFTY PSU BANK
2016-11-04,2961.0,NIFTY PSU BANK
2016-11-11,3320.0,NIFTY PSU BANK
2016-11-18,3383.0,NIFTY PSU BANK
2016-11-25,3209.0,NIFTY PSU BANK
2016-12-02,3114.0,NIFTY PSU BANK
2016-12-09,3231.0,NIFTY PSU BANK
2016-12-16,3169.0,NIFTY PSU BANK
2016-12-23,2991.0,NIFTY PSU BANK
2016-12-30,2982.0,NIFTY PSU BANK
2017-01-06,2970.0,NIFTY PSU BANK
2017-01-13,3048.0,NIFTY PSU BANK
2017-01-20,3040.0,NIFTY PSU BANK
2017-01-27,3234.0,NIFTY PSU BANK
2017-02-03,3445.0,NIFTY PSU BANK
2017-02-10,3414.0,NIFTY PSU BANK
2017-02-17,3275.0,NIFTY PSU BANK
2017-02-24,3298.0,NIFTY PSU BANK
2017-03-03,3224.0,NIFTY PSU BANK
2017-03-10,3274.0,NIFTY PSU BANK
2017-03-17,3327.0,NIFTY PSU BANK
2017-03-24,3360.0,NIFTY PSU BANK
2017-03-31,3527.0,NIFTY PSU BANK
2017-04-07,3484.0,NIFTY PSU BANK
2017-04-14,3546.0,NIFTY PSU BANK
2017-04-21,3473.0,NIFTY PSU BANK
2017-04-28,3659.0,NIFTY PSU BANK
2017-05-05,3750.0,NIFTY PSU BANK
2017-05-12,3726.0,NIFTY PSU BANK
2017-05-19,3769.0,NIFTY PSU BANK
2017-05-26,3539.0,NIFTY PSU BANK
2017-06-02,3527.0,NIFTY PSU BANK
2017-06-09,3519.0,NIFTY PSU BANK
2017-06-16,3463.0,NIFTY PSU BANK
2017-06-23,3444.0,NIFTY PSU BANK
2017-06-30,3302.0,NIFTY PSU BANK
2017-07-07,3381.0,NIFTY PSU BANK
2017-07-14,3520.0,NIFTY PSU BANK
2017-07-21,3511.0,NIFTY PSU BANK
2017-07-28,3592.0,NIFTY PSU BANK
2017-08-04,3602.0,NIFTY PSU BANK
2017-08-11,3293.0,NIFTY PSU BANK
2017-08-18,3306.0,NIFTY PSU BANK
2017-08-25,3323.0,NIFTY PSU BANK
2017-09-01,3296.0,NIFTY PSU BANK
2017-09-08,3220.0,NIFTY PSU BANK
2017-09-15,3278.0,NIFTY PSU BANK
2017-09-22,3153.0,NIFTY PSU BANK
2017-09-29,3042.0,NIFTY PSU BANK
2017-10-06,3102.0,NIFTY PSU BANK
2017-10-13,3045.0,NIFTY PSU BANK
2017-10-20,2943.0,NIFTY PSU BANK
2017-10-27,3821.0,NIFTY PSU BANK
2017-11-03,3975.0,NIFTY PSU BANK
2017-11-10,4001.0,NIFTY PSU BANK
2017-11-17,4069.0,NIFTY PSU BANK
2017-11-24,4007.0,NIFTY PSU BANK
2017-12-01,3767.0,NIFTY PSU BANK
2017-12-08,3767.0,NIFTY PSU BANK
2017-12-15,3735.0,NIFTY PSU BANK
2017-12-22,3820.0,NIFTY PSU BANK
2017-12-29,3701.0,NIFTY PSU BANK
2018-01-05,3695.0,NIFTY PSU BANK
2018-01-12,3639.0,NIFTY PSU BANK
2018-01-19,3711.0,NIFTY PSU BANK
2018-01-26,3758.0,NIFTY PSU BANK
2018-02-02,3493.0,NIFTY PSU BANK
2018-02-09,3481.0,NIFTY PSU BANK
2018-02-16,3189.0,NIFTY PSU BANK
2018-02-23,3190.0,NIFTY PSU BANK
2018-03-02,3021.0,NIFTY PSU BANK
2018-03-09,2858.0,NIFTY PSU BANK
2018-03-16,2932.0,NIFTY PSU BANK
2018-03-23,2716.0,NIFTY PSU BANK
2018-03-30,2878.0,NIFTY PSU BANK
2018-04-06,3019.0,NIFTY PSU BANK
2018-04-13,2941.0,NIFTY PSU BANK
2018-04-20,2799.0,NIFTY PSU BANK
2018-04-27,2815.0,NIFTY PSU BANK
2018-05-04,2784.0,NIFTY PSU BANK
2018-05-11,2842.0,NIFTY PSU BANK
2018-05-18,2657.0,NIFTY PSU BANK
2018-05-25,2950.0,NIFTY PSU BANK
2018-06-01,2938.0,NIFTY PSU BANK
2018-06-08,3019.0,NIFTY PSU BANK
2018-06-15,3033.0,NIFTY PSU BANK
