Date,Close,Index
2015-11-13,10067.0,NIFTY SERVICES SECTOR
2015-11-20,10124.0,NIFTY SERVICES SECTOR
2015-11-27,10273.0,NIFTY SERVICES SECTOR
2015-12-04,10003.0,NIFTY SERVICES SECTOR
2015-12-11,9834.0,NIFTY SERVICES SECTOR
2015-12-18,10054.0,NIFTY SERVICES SECTOR
2015-12-25,10186.0,NIFTY SERVICES SECTOR
2016-01-01,10324.0,NIFTY SERVICES SECTOR
2016-01-08,9880.0,NIFTY SERVICES SECTOR
2016-01-15,9554.0,NIFTY SERVICES SECTOR
2016-01-22,9639.0,NIFTY SERVICES SECTOR
2016-01-29,9766.0,NIFTY SERVICES SECTOR
2016-02-05,9646.0,NIFTY SERVICES SECTOR
2016-02-12,8932.0,NIFTY SERVICES SECTOR
2016-02-19,9167.0,NIFTY SERVICES SECTOR
2016-02-26,8900.0,NIFTY SERVICES SECTOR
2016-03-04,9602.0,NIFTY SERVICES SECTOR
2016-03-11,9557.0,NIFTY SERVICES SECTOR
2016-03-18,9761.0,NIFTY SERVICES SECTOR
2016-03-25,9909.0,NIFTY SERVICES SECTOR
2016-04-01,9914.0,NIFTY SERVICES SECTOR
2016-04-08,9653.0,NIFTY SERVICES SECTOR
2016-04-15,9998.0,NIFTY SERVICES SECTOR
2016-04-22,10153.0,NIFTY SERVICES SECTOR
2016-04-29,10149.0,NIFTY SERVICES SECTOR
2016-05-06,9996.0,NIFTY SERVICES SECTOR
2016-05-13,10176.0,NIFTY SERVICES SECTOR
2016-05-20,10083.0,NIFTY SERVICES SECTOR
2016-05-27,10597.0,NIFTY SERVICES SECTOR
2016-06-03,10697.0,NIFTY SERVICES SECTOR
2016-06-10,10584.0,NIFTY SERVICES SECTOR
2016-06-17,10563.0,NIFTY SERVICES SECTOR
2016-06-24,10462.0,NIFTY SERVICES SECTOR
2016-07-01,10648.0,NIFTY SERVICES SECTOR
2016-07-08,10631.0,NIFTY SERVICES SECTOR
2016-07-15,10904.0,NIFTY SERVICES SECTOR
2016-07-22,10840.0,NIFTY SERVICES SECTOR
2016-07-29,11007.0,NIFTY SERVICES SECTOR
2016-08-05,11010.0,NIFTY SERVICES SECTOR
2016-08-12,11082.0,NIFTY SERVICES SECTOR
2016-08-19,11083.0,NIFTY SERVICES SECTOR
2016-08-26,10960.0,NIFTY SERVICES SECTOR
2016-09-02,11224.0,NIFTY SERVICES SECTOR
2016-09-09,11226.0,NIFTY SERVICES SECTOR
2016-09-16,11110.0,NIFTY SERVICES SECTOR
2016-09-23,11161.0,NIFTY SERVICES SECTOR
2016-09-30,10926.0,NIFTY SERVICES SECTOR
2016-10-07,10974.0,NIFTY SERVICES SECTOR
2016-10-14,10757.0,NIFTY SERVICES SECTOR
2016-10-21,11071.0,NIFTY SERVICES SECTOR
2016-10-28,10974.0,NIFTY SERVICES SECTOR
2016-11-04,10718.0,NIFTY SERVICES SECTOR
2016-11-11,10567.0,NIFTY SERVICES SECTOR
2016-11-18,10341.0,NIFTY SERVICES SECTOR
2016-11-25,10400.0,NIFTY SERVICES SECTOR
2016-12-02,10299.0,NIFTY SERVICES SECTOR
2016-12-09,10503.0,NIFTY SERVICES SECTOR
2016-12-16,10397.0,NIFTY SERVICES SECTOR
2016-12-23,10175.0,NIFTY SERVICES SECTOR
2016-12-30,10413.0,NIFTY SERVICES SECTOR
2017-01-06,10349.0,NIFTY SERVICES SECTOR
