Date,Close,Index
2022-01-14,3721.0,NIFTY100 ESG
2022-01-21,3581.0,NIFTY100 ESG
2022-01-28,3449.0,NIFTY100 ESG
2022-02-04,3546.0,NIFTY100 ESG
2022-02-11,3499.0,NIFTY100 ESG
2022-02-18,3485.0,NIFTY100 ESG
2022-02-25,3369.0,NIFTY100 ESG
2022-03-04,3282.0,NIFTY100 ESG
2022-03-11,3358.0,NIFTY100 ESG
2022-03-18,3476.0,NIFTY100 ESG
2022-03-25,3429.0,NIFTY100 ESG
2022-04-01,3518.0,NIFTY100 ESG
2022-04-08,3578.0,NIFTY100 ESG
2022-04-15,3537.0,NIFTY100 ESG
2022-04-22,3463.0,NIFTY100 ESG
2022-04-29,3439.0,NIFTY100 ESG
2022-05-06,3286.0,NIFTY100 ESG
2022-05-13,3150.0,NIFTY100 ESG
2022-05-20,3210.0,NIFTY100 ESG
2022-05-27,3211.0,NIFTY100 ESG
2022-06-03,3220.0,NIFTY100 ESG
2022-06-10,3157.0,NIFTY100 ESG
2022-06-17,2975.0,NIFTY100 ESG
2022-06-24,3089.0,NIFTY100 ESG
2022-07-01,3107.0,NIFTY100 ESG
2022-07-08,3208.0,NIFTY100 ESG
2022-07-15,3175.0,NIFTY100 ESG
2022-07-22,3297.0,NIFTY100 ESG
2022-07-29,3391.0,NIFTY100 ESG
2022-08-05,3437.0,NIFTY100 ESG
2022-08-12,3467.0,NIFTY100 ESG
2022-08-19,3502.0,NIFTY100 ESG
2022-08-26,3455.0,NIFTY100 ESG
2022-09-02,3461.0,NIFTY100 ESG
2022-09-09,3512.0,NIFTY100 ESG
2022-09-16,3436.0,NIFTY100 ESG
2022-09-23,3409.0,NIFTY100 ESG
2022-09-30,3376.0,NIFTY100 ESG
2022-10-07,3409.0,NIFTY100 ESG
2022-10-14,3361.0,NIFTY100 ESG
2022-10-21,3418.0,NIFTY100 ESG
2022-10-28,3443.0,NIFTY100 ESG
2022-11-04,3494.0,NIFTY100 ESG
2022-11-11,3512.0,NIFTY100 ESG
2022-11-18,3491.0,NIFTY100 ESG
2022-11-25,3529.0,NIFTY100 ESG
2022-12-02,3581.0,NIFTY100 ESG
2022-12-09,3518.0,NIFTY100 ESG
2022-12-16,3473.0,NIFTY100 ESG
2022-12-23,3381.0,NIFTY100 ESG
2022-12-30,3438.0,NIFTY100 ESG
2023-01-06,3392.0,NIFTY100 ESG
2023-01-13,3426.0,NIFTY100 ESG
2023-01-20,3423.0,NIFTY100 ESG
2023-01-27,3335.0,NIFTY100 ESG
2023-02-03,3328.0,NIFTY100 ESG
2023-02-10,3334.0,NIFTY100 ESG
2023-02-17,3323.0,NIFTY100 ESG
2023-02-24,3241.0,NIFTY100 ESG
2023-03-03,3244.0,NIFTY100 ESG
2023-03-10,3224.0,NIFTY100 ESG
2023-03-17,3183.0,NIFTY100 ESG
2023-03-24,3160.0,NIFTY100 ESG
2023-03-31,3203.0,NIFTY100 ESG
2023-04-07,3246.0,NIFTY100 ESG
2023-04-14,3287.0,NIFTY100 ESG
2023-04-21,3245.0,NIFTY100 ESG
2023-04-28,3331.0,NIFTY100 ESG
2023-05-05,3352.0,NIFTY100 ESG
2023-05-12,3410.0,NIFTY100 ESG
2023-05-19,3389.0,NIFTY100 ESG
2023-05-26,3473.0,NIFTY100 ESG
2023-06-02,3507.0,NIFTY100 ESG
2023-06-09,3497.0,NIFTY100 ESG
2023-06-16,3552.0,NIFTY100 ESG
2023-06-23,3519.0,NIFTY100 ESG
2023-06-30,3615.0,NIFTY100 ESG
