Date,Close,Index
2018-02-09,8085.0,NIFTY100 LOW VOLATILITY 30
2018-02-16,8099.0,NIFTY100 LOW VOLATILITY 30
2018-02-23,8074.0,NIFTY100 LOW VOLATILITY 30
2018-03-02,8084.0,NIFTY100 LOW VOLATILITY 30
2018-03-09,7968.0,NIFTY100 LOW VOLATILITY 30
2018-03-16,7950.0,NIFTY100 LOW VOLATILITY 30
2018-03-23,7858.0,NIFTY100 LOW VOLATILITY 30
2018-03-30,7937.0,NIFTY100 LOW VOLATILITY 30
2018-04-06,8134.0,NIFTY100 LOW VOLATILITY 30
2018-04-13,8250.0,NIFTY100 LOW VOLATILITY 30
2018-04-20,8449.0,NIFTY100 LOW VOLATILITY 30
2018-04-27,8495.0,NIFTY100 LOW VOLATILITY 30
2018-05-04,8413.0,NIFTY100 LOW VOLATILITY 30
2018-05-11,8466.0,NIFTY100 LOW VOLATILITY 30
2018-05-18,8405.0,NIFTY100 LOW VOLATILITY 30
2018-05-25,8401.0,NIFTY100 LOW VOLATILITY 30
2018-06-01,8460.0,NIFTY100 LOW VOLATILITY 30
2018-06-08,8462.0,NIFTY100 LOW VOLATILITY 30
2018-06-15,8532.0,NIFTY100 LOW VOLATILITY 30
2018-06-22,8436.0,NIFTY100 LOW VOLATILITY 30
2018-06-29,8434.0,NIFTY100 LOW VOLATILITY 30
2018-07-06,8503.0,NIFTY100 LOW VOLATILITY 30
2018-07-13,8657.0,NIFTY100 LOW VOLATILITY 30
2018-07-20,8562.0,NIFTY100 LOW VOLATILITY 30
2018-07-27,8688.0,NIFTY100 LOW VOLATILITY 30
2018-08-03,8794.0,NIFTY100 LOW VOLATILITY 30
2018-08-10,8820.0,NIFTY100 LOW VOLATILITY 30
2018-08-17,8890.0,NIFTY100 LOW VOLATILITY 30
2018-08-24,8996.0,NIFTY100 LOW VOLATILITY 30
2018-08-31,9149.0,NIFTY100 LOW VOLATILITY 30
2018-09-07,9063.0,NIFTY100 LOW VOLATILITY 30
2018-09-14,9008.0,NIFTY100 LOW VOLATILITY 30
2018-09-21,8790.0,NIFTY100 LOW VOLATILITY 30
2018-09-28,8592.0,NIFTY100 LOW VOLATILITY 30
2018-10-05,8241.0,NIFTY100 LOW VOLATILITY 30
2018-10-12,8309.0,NIFTY100 LOW VOLATILITY 30
2018-10-19,8196.0,NIFTY100 LOW VOLATILITY 30
2018-10-26,7992.0,NIFTY100 LOW VOLATILITY 30
2018-11-02,8216.0,NIFTY100 LOW VOLATILITY 30
2018-11-09,8286.0,NIFTY100 LOW VOLATILITY 30
2018-11-16,8371.0,NIFTY100 LOW VOLATILITY 30
2018-11-23,8246.0,NIFTY100 LOW VOLATILITY 30
2018-11-30,8528.0,NIFTY100 LOW VOLATILITY 30
2018-12-07,8438.0,NIFTY100 LOW VOLATILITY 30
2018-12-14,8625.0,NIFTY100 LOW VOLATILITY 30
2018-12-21,8597.0,NIFTY100 LOW VOLATILITY 30
2018-12-28,8587.0,NIFTY100 LOW VOLATILITY 30
2019-01-04,8450.0,NIFTY100 LOW VOLATILITY 30
2019-01-11,8461.0,NIFTY100 LOW VOLATILITY 30
2019-01-18,8535.0,NIFTY100 LOW VOLATILITY 30
2019-01-25,8384.0,NIFTY100 LOW VOLATILITY 30
2019-02-01,8573.0,NIFTY100 LOW VOLATILITY 30
2019-02-08,8587.0,NIFTY100 LOW VOLATILITY 30
2019-02-15,8412.0,NIFTY100 LOW VOLATILITY 30
2019-02-22,8404.0,NIFTY100 LOW VOLATILITY 30
2019-03-01,8515.0,NIFTY100 LOW VOLATILITY 30
2019-03-08,8563.0,NIFTY100 LOW VOLATILITY 30
2019-03-15,8734.0,NIFTY100 LOW VOLATILITY 30
2019-03-22,8726.0,NIFTY100 LOW VOLATILITY 30
2019-03-29,8789.0,NIFTY100 LOW VOLATILITY 30
2019-04-05,8830.0,NIFTY100 LOW VOLATILITY 30
